ability_id,source_type,source_id,name,text,source_file
df57-7a59-75eb-ce63:leader:2e28-2c16-b363-684a,unit,df57-7a59-75eb-ce63,Leader,"This model can be attached to the following units:
■ Dark Reapers
■ Dire Avengers
■ Fire Dragons
■ Guardian Defenders
■ Howling Banshees
■ Storm Guardians
■ Striking Scorpions",Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:invulnerable-save-(autarch):4e60-b725-47dd-7a85,unit,df57-7a59-75eb-ce63,Invulnerable Save (Autarch),An Autarch has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:aspect-training:ed49-065d-5a54-6aae,unit,df57-7a59-75eb-ce63,Aspect Training,"While this model is leading a Howling Banshees unit, it has the Fights First ability.
While this model is leading a Striking Scorpions unit, it has the Infiltrators, Scouts 7"" and Stealth abilities.",Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:path-of-command:e4c4-6600-236a-29c7,unit,497a-263e-966a-5a15,Path of Command,"Once per battle round, one model from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that usage of that stratagem by 1CP.",Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:invulnerable-save-(autarch):654a-5947-a783-1e20,unit,497a-263e-966a-5a15,Invulnerable Save (Autarch),An Autarch Wayleaper has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:indomitable-strength-of-will:4e02-1f2d-97be-dac4,unit,497a-263e-966a-5a15,Indomitable Strength of Will,"While this model is leading a unit, each time you spend a Battle Focus token to enable that unit to perform an Agile Manoeuvre, roll one D6: on a 3+ you gain 1 Battle Focus token.",Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:leader:5ad1-258f-9f2d-0504,unit,497a-263e-966a-5a15,Leader,"This model can be attached to the following units:
■ Swooping Hawks
■ Warp Spiders",Aeldari - Aeldari Library.cat
554c-8b4f-1059-28a7:molten-form:7376-d1ad-1ed5-8c11,unit,554c-8b4f-1059-28a7,Molten Form,"Each time an attack is allocated to this model, halve the Damage characteristic of that attack.",Aeldari - Aeldari Library.cat
554c-8b4f-1059-28a7:the-bloody-handed-(aura):380b-10c4-cb34-501f,unit,554c-8b4f-1059-28a7,The Bloody Handed (Aura),"While a friendly ^^Aeldari^^ unit is within 6"" of this model, add 1 to Advance and Charge rolls made for that unit.",Aeldari - Aeldari Library.cat
554c-8b4f-1059-28a7:damaged:-1-5-wounds-remaining:bf22-b7a6-e939-3f3,unit,554c-8b4f-1059-28a7,Damaged: 1-5 Wounds Remaining,"While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the Hit roll.",Aeldari - Aeldari Library.cat
554c-8b4f-1059-28a7:invulnerable-save-(avatar):c5e4-23b2-5b94-729,unit,554c-8b4f-1059-28a7,Invulnerable Save (Avatar),The Avatar of Khaine has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
8732-df2f-a542-805f:invulnerable-save-(baharroth):dc6f-b8cd-e6a1-2b8d,unit,8732-df2f-a542-805f,Invulnerable Save (Baharroth),Baharroth has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
8732-df2f-a542-805f:leader:8722-32a2-d608-7083,unit,8732-df2f-a542-805f,Leader,"This model can be attached to the following unit:
■ Swooping Hawks",Aeldari - Aeldari Library.cat
8732-df2f-a542-805f:cry-of-the-wind:8d0d-e90d-b26b-1a8d,unit,8732-df2f-a542-805f,Cry of the Wind,"Each time this model is set-up on the battlefield, until the end of the turn, each time this model makes a ranged attack, a successful unmodified Hit roll scores a Critical Hit.",Aeldari - Aeldari Library.cat
8732-df2f-a542-805f:cloudstrider:b0c4-6b2b-96e1-d492,unit,8732-df2f-a542-805f,Cloudstrider,"While this model is leading a unit, at the end of your opponent's turn, if that unit is not within Engagement Range of one or more enemy units, you can remove it from the battlefield and place it into Strategic Reserves. In addition, while this model is leading a unit, when that unit is set-up on the battlefield using the Deep Strike ability, in your Movement phase, it can use this ability. if it does, that unit can be set-up anywhere on the battlefield that is more than 6"" horizontally away from all enemy models, but until the end of the turn, it is not eligible to declare a charge.",Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043:skyhunter:8c70-416b-87ca-936e,unit,90c9-aaac-5ef8-f043,Skyhunter,"Each time this model makes a ranged attack that targets a unit that can Fly, add 1 to the Hit roll and add 1 to the Wound roll.",Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043:damaged:-1-4-wounds-remaining:75c5-5a9-b3a-c568,unit,90c9-aaac-5ef8-f043,Damaged: 1-4 Wounds Remaining,"While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the Hit roll.",Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043:invulnerable-save:b63e-6275-5079-3b9c,unit,90c9-aaac-5ef8-f043,Invulnerable Save,This unit has a 5+ Invulnerable save,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:invulnerable-save:48b5-ca9e-816c-8c5,unit,6863-bf42-238a-fd0b,Invulnerable Save,This unit has a 5+ Invulnerable save,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:inescapable-accuracy:3a61-eed0-8af5-c4ac,unit,6863-bf42-238a-fd0b,Inescapable Accuracy,"Each time a model in this unit makes a ranged attack, you can ignore any or all modifiers to that attack’s Ballistic Skill characteristic and any or all modifiers to the Hit roll.",Aeldari - Aeldari Library.cat
5768-1f87-3a16-d901:death-is-not-enough:cd7a-5c89-a4d7-770b,unit,5768-1f87-3a16-d901,Death is Not Enough,"In your Shooting phase, after this model has shot, select one enemy unit (excluding Monsters and Vehicles) hit by one or more of those attacks. That enemy unit must take a Battle-shock test. If one or more of those attacks destroyed a model in that enemy unit, subtract 1 from that test.",Aeldari - Aeldari Library.cat
5768-1f87-3a16-d901:cruel-amusement:409-e43f-2c32-248a,unit,5768-1f87-3a16-d901,Cruel Amusement,"In your Shooting phase, each time this model is selected to shoot, select one of the abilities below. Until the end of the phase, this model’s Shrieker Cannon has that ability:
■ [IGNORES COVER]
■ [PRECISION]
■ [SUSTAINED HITS 3]",Aeldari - Aeldari Library.cat
5768-1f87-3a16-d901:invulnerable-save:e825-aa02-e35f-d8fc,unit,5768-1f87-3a16-d901,Invulnerable Save,This unit has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:bladestorm:735b-f532-a22f-da46,unit,e6c2-f3b2-6d3e-c3d3,Bladestorm,Ranged weapons equipped by models in this unit have the [Sustained Hits 1] ability while targeting an enemy unit within half range.,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:invulnerable-save:642f-fcab-5d51-f13b,unit,e6c2-f3b2-6d3e-c3d3,Invulnerable Save,This unit has a 5+ Invulnerable save,Aeldari - Aeldari Library.cat
f48e-276e-a997-c90e:invulnerable-save-(eldrad):e5fe-bd04-433b-8c90,unit,f48e-276e-a997-c90e,Invulnerable Save (Eldrad),Eldrad Ulthran has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
f48e-276e-a997-c90e:diviner-of-the-futures:c1d3-7a60-1ab-7cce,unit,f48e-276e-a997-c90e,Diviner of the Futures,"At the start of your Command phase, if this model is on the battlefield, you gain 1CP.",Aeldari - Aeldari Library.cat
f48e-276e-a997-c90e:doom-(psychic):98aa-81a5-6eaf-b4d1,unit,f48e-276e-a997-c90e,Doom (Psychic),"At the end of your Movement phase, select one enemy unit within 18"" of and visible to this model. Until the start of your next Command phase, each time a friendly ^^Aeldari^^ model makes an attack that targets that enemy unit, add 1 to the Wound roll",Aeldari - Aeldari Library.cat
f48e-276e-a997-c90e:leader:8e59-8a27-382f-ebbb,unit,f48e-276e-a997-c90e,Leader,"This model can be attached to the following units:
■ Guardian Defenders
■ Storm Guardians
■ Warlock Conclave",Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:damaged:-1-4-wounds-remaining:7850-aaa9-8d27-c347,unit,1d83-167-486c-bac4,Damaged: 1-4 Wounds Remaining,"While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the Hit roll.",Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:fire-support:1e42-6c14-1938-93a3,unit,1d83-167-486c-bac4,Fire Support,"In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks. Until the end of the turn, each time a friendly model that disembarked from this Transport this turn makes an attack that targets that enemy unit, you can re-roll the Wound roll",Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:branching-fates-(psychic):1db8-859e-c4c7-d8b2,unit,b2f5-8219-f875-917e,Branching Fates (Psychic),"While this model is leading a unit, once per phase you can change the result of one Hit roll, one Wound roll, or one Damage roll made for a model in that unit (excluding ^^Support Weapon^^ models) to an unmodified 6.",Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:invulnerable-save-(farseer):5ee2-f2d0-472b-274c,unit,b2f5-8219-f875-917e,Invulnerable Save (Farseer),A Farseer has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:guide-(psychic):9aa5-e161-4264-9617,unit,b2f5-8219-f875-917e,Guide (Psychic),"At the end of your Movement phase, select one enemy unit within 18"" of and visible to this model. Until the start of your next Command phase, each time a friendly Aeldari model makes an attack that targets that enemy unit, add 1 to the Hit roll. Each unit can only be selected for this ability once per turn.",Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:leader:b5a6-cb04-951e-3c0e,unit,b2f5-8219-f875-917e,Leader,"This model can be attached to the following units:
■ Guardian Defenders
■ Storm Guardians
■ Warlock Conclave",Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:invulnerable-save-(farseer):a5f6-a46f-82c2-cdfb,unit,833b-55bc-73be-8862,Invulnerable Save (Farseer),A Farseer Skyrunner has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:branching-fates-(psychic):47ca-e9d7-e55f-17f8,unit,833b-55bc-73be-8862,Branching Fates (Psychic),"While this model is leading a unit, once per phase you can change the result of one Hit roll, one Wound roll, or one Damage roll made for a model in that unit to an unmodified 6.",Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:misfortune-(psychic):5845-10af-ea52-4dd3,unit,833b-55bc-73be-8862,Misfortune (Psychic),"At the end of your Movement phase, select one enemy unit within 18"" of and visible to this model. Until the start of your next Command phase, each time a model in that unit makes an attack, subtract 1 from the Wound roll. Each unit can only be selected for this ability once per turn.",Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:leader:60c7-3eec-1396-ae4d,unit,833b-55bc-73be-8862,Leader,"This model can be attached to the following units:
■ Warlock Skyrunners
■ Windriders",Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:invulnerable-save:5b81-960-3f68-5499,unit,5374-9e93-8af2-819e,Invulnerable Save,This unit has a 5+ Invulnerable save,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:assured-destruction:6661-26b2-c0eb-985,unit,5374-9e93-8af2-819e,Assured Destruction,"In your Shooting phase, each time a model in this unit makes a ranged attack that targets a ^^Monster^^ or ^^Vehicle^^ unit, you can re-roll the Hit roll, you can re-roll the Wound roll and you can re-roll the Damage roll.",Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:damaged:-1-4-wounds-remaining:e0e4-d593-3230-8d98,unit,9940-a69b-682e-ccf4,Damaged: 1-4 Wounds Remaining,"While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the Hit roll.",Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:crystal-matrix:2cf-e1fe-fd6e-6857,unit,9940-a69b-682e-ccf4,Crystal Matrix,"Each time this model is selected to shoot, you can re-roll one Hit roll and you can re-roll one Wound roll when resolving those attacks.",Aeldari - Aeldari Library.cat
9262-3993-1368-be5a:invulnerable-save-(fuegan):b17f-b753-359-e5f4,unit,9262-3993-1368-be5a,Invulnerable Save (Fuegan),Fuegan has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
9262-3993-1368-be5a:burning-lance:1cfc-9876-dfba-d7db,unit,9262-3993-1368-be5a,Burning Lance,"While this model is leading a unit, add 6"" to the Range characteristic of Melta weapons equipped by models in that unit.",Aeldari - Aeldari Library.cat
9262-3993-1368-be5a:unquenchable-resolve:ad3f-9c8e-278f-e31d,unit,9262-3993-1368-be5a,Unquenchable Resolve,"The first time this model is destroyed, at the end of the phase, roll one D6. On a 2+, set this model back up on the battlefield as close as possible to where it was destroyed and not within Engagement Range of one or more enemy units, with its full wounds remaining.",Aeldari - Aeldari Library.cat
9262-3993-1368-be5a:leader:6419-2c4e-129a-9939,unit,9262-3993-1368-be5a,Leader,"This model can be attached to the following unit:
■ Fire Dragons",Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:fleet-of-foot:b52d-d46c-dd8c-a825,unit,e78a-4442-4ed2-66bf,Fleet of Foot,"This unit can perform the Fade Back Agile Manoeuvre without spending a Battle Focus token to do so. It can do so even if other units have done so in the same phase, and doing so does not prevent other units from performing the same Agile Manoeuvre in the same phase.",Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:crewed-platform:20e4-a0c1-1706-6030,unit,e78a-4442-4ed2-66bf,Crewed Platform,"When the last Guardian Defender model in this unit is destroyed, any remaining Heavy Weapon Platform models in this unit are also destroyed.",Aeldari - Aeldari Library.cat
"551b-900c-3681-8f11:mindshock-pod-(aura,-psychic):6723-452c-f397-3431",unit,551b-900c-3681-8f11,"Mindshock Pod (Aura, Psychic)","While an enemy unit is within 9"" of this model, subtract 1 from Battle-shock and Leadership tests taken for that unit.",Aeldari - Aeldari Library.cat
551b-900c-3681-8f11:damaged:-1-4-wounds-remaining:988d-b648-3ebe-8168,unit,551b-900c-3681-8f11,Damaged: 1-4 Wounds Remaining,"While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the Hit roll.",Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:invulnerable-save:8d9d-fa61-1677-f0b1,unit,7fcb-9262-474a-7cec,Invulnerable Save,This unit has a 5+ Invulnerable Save. This invulnerable save is improved to 4+ against melee attacks.,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:acrobatic:efd8-528f-195b-b89c,unit,7fcb-9262-474a-7cec,Acrobatic,This unit is eligible to declare a charge in a turn in which it Advanced or Fell Back,Aeldari - Aeldari Library.cat
2713-f82d-5189-d5de:invulnerable-save-(illic-nightspear):9027-648a-c521-559a,unit,2713-f82d-5189-d5de,Invulnerable Save (Illic Nightspear),Illic Nightspear has a 5+ invulnerable save against ranged attacks.,Aeldari - Aeldari Library.cat
2713-f82d-5189-d5de:bringer-of-the-true-death:a3dc-6461-d829-8416,unit,2713-f82d-5189-d5de,Bringer of the True Death,"While this model is leading a unit, each time a model in that unit makes an attack, you can re-roll the Wound roll.",Aeldari - Aeldari Library.cat
2713-f82d-5189-d5de:hunter-unseen:5d64-2ac1-4588-f50e,unit,2713-f82d-5189-d5de,Hunter Unseen,"This model’s unit can only be selected as the target of a ranged attack if the attacking model is within 12"".",Aeldari - Aeldari Library.cat
2713-f82d-5189-d5de:leader:8585-b6c9-635-ea46,unit,2713-f82d-5189-d5de,Leader,"This model can be attached to the following unit:
■ Rangers",Aeldari - Aeldari Library.cat
77f9-e8de-225f-9e68:invulnerable-save-(jain-zar):119f-842c-536a-9e6c,unit,77f9-e8de-225f-9e68,Invulnerable Save (Jain Zar),Jain Zar has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
77f9-e8de-225f-9e68:leader:5da1-b785-137b-f626,unit,77f9-e8de-225f-9e68,Leader,"This model can be attached to the following unit:
■ Howling Banshees",Aeldari - Aeldari Library.cat
77f9-e8de-225f-9e68:whirling-death:cac-7c38-5f32-9215,unit,77f9-e8de-225f-9e68,Whirling Death,"While this model is leading a unit, each time that unit Advances, do not make an Advance roll. Instead, until the end of the phase, add 6"" to the Move characteristic of models in that unit and each time a model in that unit makes an Advance move, ignore any vertical distance when determining the total distance that model can be moved during that move.",Aeldari - Aeldari Library.cat
77f9-e8de-225f-9e68:storm-of-silence:cacb-844c-4611-5ce0,unit,77f9-e8de-225f-9e68,Storm of Silence,"Each time this model makes an attack that targets a ^^Character^^ unit, you can re-roll the Wound roll.",Aeldari - Aeldari Library.cat
c9ed-d190-419c-78d3:invulnerable-save-(phoenix-lord):9a09-b3a1-4860-fad7,unit,c9ed-d190-419c-78d3,Invulnerable Save (Phoenix Lord),Karandras has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
c9ed-d190-419c-78d3:leader:4e33-5788-f631-d1c9,unit,c9ed-d190-419c-78d3,Leader,"This model can be attached to the following unit:
■ Striking Scorpions",Aeldari - Aeldari Library.cat
c9ed-d190-419c-78d3:shadow-hunter:a209-ec97-7374-3ece,unit,c9ed-d190-419c-78d3,Shadow Hunter,"While this model is leading a unit, each time a model in that unit makes an attack, add 1 to the Hit roll.",Aeldari - Aeldari Library.cat
c9ed-d190-419c-78d3:sustained-assault:accc-4cc2-b9f-d892,unit,c9ed-d190-419c-78d3,Sustained Assault,"Each time this model makes a melee attack, if it made a Charge move this turn, a successful unmodified Hit roll of 4+ scores a Critical Hit",Aeldari - Aeldari Library.cat
c9ed-d190-419c-78d3:the-scorpion's-bite:b404-720d-3391-4b5c,unit,c9ed-d190-419c-78d3,The Scorpion's Bite,Melee weapons equipped by the bearer have the [DEVASTATING WOUNDS] ability when targeting units without the ^^Titanic^^ keyword,Aeldari - Aeldari Library.cat
6f18-95b7-2662-8925:leader:fafe-182b-3e5d-ff24,unit,6f18-95b7-2662-8925,Leader,"This model can be attached to the following unit:
■ Dark Reapers",Aeldari - Aeldari Library.cat
6f18-95b7-2662-8925:invulnerable-save-(maugan-ra):65b8-249d-5400-3e1a,unit,6f18-95b7-2662-8925,Invulnerable Save (Maugan Ra),Maugan Ra has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
6f18-95b7-2662-8925:harvester-of-souls:a8f3-2713-fe69-43ef,unit,6f18-95b7-2662-8925,Harvester of Souls,"While this model is leading a unit, in your Shooting phase, after selecting targets for that unit's attacks, if every attack targets the same unit, roll one D6 for the target unit and one D6 for every other enemy unit within 3"" of the target unit. On a 5+, the unit being rolled for is struck by explosive debris; after resolving all of that unit's attacks against the target unit, each unit struck by explosive debris suffers D3 mortal wounds.",Aeldari - Aeldari Library.cat
6f18-95b7-2662-8925:face-of-death:1724-8784-29f7-515b,unit,6f18-95b7-2662-8925,Face of Death,"In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks. That enemy unit must take a Battle-shock test, subtracting 1 from the result.",Aeldari - Aeldari Library.cat
908a-fc2b-5a53-599f:damaged:-1-4-wounds-remaining:6b47-7c69-10b3-8fd,unit,908a-fc2b-5a53-599f,Damaged: 1-4 Wounds Remaining,"While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the Hit roll.",Aeldari - Aeldari Library.cat
908a-fc2b-5a53-599f:monofilament-web:9d73-6e1c-aa29-3ef2,unit,908a-fc2b-5a53-599f,Monofilament Web,"In your Shooting phase, after this model has shot, if one or more of those attacks made with its doomweaver scored a hit against an enemy unit, until the start of your next turn, that enemy unit is pinned. While a unit is pinned, subtract 2 from that unit's Move characteristic and subtract 2 from Charge rolls made for it.",Aeldari - Aeldari Library.cat
1fbf-55d9-5ca8-4e9e:invulnerable-save-(prince-yriel):d3a1-7c39-dc89-d47d,unit,1fbf-55d9-5ca8-4e9e,Invulnerable Save (Prince Yriel),Prince Yriel has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
1fbf-55d9-5ca8-4e9e:leader:a5c9-19d8-137-fdac,unit,1fbf-55d9-5ca8-4e9e,Leader,"This model can be attached to the following units:
■ Corsair Voidreavers
■ Corsair Voidscarred
■ Guardian Defenders
■ Storm Guardians",Aeldari - Aeldari Library.cat
1fbf-55d9-5ca8-4e9e:hero-of-iyanden:c346-7829-381-cff7,unit,1fbf-55d9-5ca8-4e9e,Hero of Iyanden,"While this model is leading a unit, add 1 to the Objective Control characteristic of models in that unit.",Aeldari - Aeldari Library.cat
1fbf-55d9-5ca8-4e9e:prince-of-corsairs:f443-d07a-2d15-f9fb,unit,1fbf-55d9-5ca8-4e9e,Prince of Corsairs,"If your army includes this model, after both players have deployed their armies, select up to three Aeldari units from your army and redeploy them. When doing so, you can set those units up in Strategic Reserves if you wish, regardless of how many units are already in Strategic Reserves.",Aeldari - Aeldari Library.cat
b98b-701f-9c0c-5437:invulnerable-save:af0f-2e2-2d6e-8636,unit,b98b-701f-9c0c-5437,Invulnerable Save,Models in this unit have a 5+ invulnerable save against ranged attacks only.,Aeldari - Aeldari Library.cat
b98b-701f-9c0c-5437:path-of-the-outcast:4bbf-ae84-7e55-3704,unit,b98b-701f-9c0c-5437,Path of the Outcast,"Once per turn, when an enemy unit ends a Normal, Advance or Fall Back move within 9"" of this unit, it can make a Normal move of up to D6"".",Aeldari - Aeldari Library.cat
8c34-52ba-cbd0-9ca4:leader:64bb-9606-28a6-466d,unit,8c34-52ba-cbd0-9ca4,Leader,"This model can be attached to the following unit:
■ Troupe",Aeldari - Aeldari Library.cat
8c34-52ba-cbd0-9ca4:invulnerable-save:f44c-2c18-c772-4472,unit,8c34-52ba-cbd0-9ca4,Invulnerable Save,This unit has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
8c34-52ba-cbd0-9ca4:fog-of-dreams-(psychic):4865-43fe-839c-719b,unit,8c34-52ba-cbd0-9ca4,Fog of Dreams (Psychic),"While this model is leading a unit, that unit can only be selected as the target of a ranged attack if the attacking model is within 18"".",Aeldari - Aeldari Library.cat
8c34-52ba-cbd0-9ca4:treacherous-illusion-(psychic):9e3e-7c14-55e3-d4f5,unit,8c34-52ba-cbd0-9ca4,Treacherous Illusion (Psychic),Melee weapons equipped by enemy models have the [Hazardous] ability while targeting this model's unit.,Aeldari - Aeldari Library.cat
433-faed-ea62-c531:invulnerable-save:ae63-f9e1-4cef-a3ff,unit,433-faed-ea62-c531,Invulnerable Save,This unit has a 5+ Invulnerable Save.,Aeldari - Aeldari Library.cat
433-faed-ea62-c531:extreme-mobility:6345-82e7-bdaf-72da,unit,433-faed-ea62-c531,Extreme Mobility,"Each time this unit makes a Normal, Advance, Fall Back or Charge move, ignore any vertical distance when determining the total distance models in this unit can be moved during that move.",Aeldari - Aeldari Library.cat
c1ff-dc11-9853-e3e3:invulnerable-save:9bbe-49fd-e250-ab6b,unit,c1ff-dc11-9853-e3e3,Invulnerable Save,Models in this unit have a 5+ invulnerable save against ranged attacks only.,Aeldari - Aeldari Library.cat
c1ff-dc11-9853-e3e3:target-acquisition:3d07-90f6-1c18-dda0,unit,c1ff-dc11-9853-e3e3,Target Acquisition,"In your Shooting phase, after this unit has shot, select one enemy unit hit by one or more of those attacks made with a long rifle. Until the end of the phase, that enemy unit cannot have the Benefit of Cover.",Aeldari - Aeldari Library.cat
ca42-3b82-829d-eaf3:invulnerable-save:ae3a-1e8b-fd80-c8e1,unit,ca42-3b82-829d-eaf3,Invulnerable Save,This unit has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
ca42-3b82-829d-eaf3:acrobatic-grace:86c3-f40-66e8-f70c,unit,ca42-3b82-829d-eaf3,Acrobatic Grace,"Each time an attack targets this unit, subtract 1 from the Hit roll.",Aeldari - Aeldari Library.cat
f88f-60c5-3daf-3d2f:invulnerable-save:431c-4567-65fe-f354,unit,f88f-60c5-3daf-3d2f,Invulnerable Save,This unit has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
f88f-60c5-3daf-3d2f:blitz:fa26-abd-b188-cbb2,unit,f88f-60c5-3daf-3d2f,Blitz,"Once per battle, in your Movement phase, before this model makes a Normal move it can use this ability. If it does, until the end of
the turn, add 2D6"" to this model’s Move characteristic and add 3 to the
Attacks characteristic of this model’s Solitaire weapons.",Aeldari - Aeldari Library.cat
f88f-60c5-3daf-3d2f:blur-of-movement:98ed-81a6-809f-2cd9,unit,f88f-60c5-3daf-3d2f,Blur of Movement,This model is eligible to declare a charge in a turn in which it Advanced.,Aeldari - Aeldari Library.cat
e53b-7d09-eb7c-c6c7:invulnerable-save-(spiritseer):b5db-90c2-7d23-91f9,unit,e53b-7d09-eb7c-c6c7,Invulnerable Save (Spiritseer),A Spiritseer has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
e53b-7d09-eb7c-c6c7:spirit-mark-(psychic):255b-3bb3-dbc6-f9bb,unit,e53b-7d09-eb7c-c6c7,Spirit Mark (Psychic),"Once per turn, in your Movement phase, when this model starts or ends a move, select one friendly Wraith Construct unit within 6"" of this model (excluding Titanic units) and one enemy unit visible to this model. Until the start of your next Movement phase, weapons equipped by models in that friendly unit have the [Sustained Hits 1] ability while targeting that enemy unit.",Aeldari - Aeldari Library.cat
e53b-7d09-eb7c-c6c7:tears-of-isha-(psychic):f781-d34a-675f-28bf,unit,e53b-7d09-eb7c-c6c7,Tears of Isha (Psychic),"In your Command phase, select one friendly Wraith Construct unit within 6"" of this model. If one or more models in that unit are destroyed, you can return one destroyed model to that unit. Otherwise, one model in that unit regains up to D3 lost wounds. Each unit can only be selected for this ability once per turn.",Aeldari - Aeldari Library.cat
