unit_id,faction,name,toughness,save,invulnerable_save,wounds,leadership,objective_control,feel_no_pain,damage_cap
7de7-2e7a-3454-ee84,Chaos - Chaos Knights,Dark Commune,,,,,,,,
2693-0f93-e1d8-f300,Chaos - Chaos Knights,Fellgor Beastmen,,,,,,1,,
7562-d429-6153-a823,Chaos - Chaos Knights,Gellerpox Infected [Legends],,,,,,,,
68a3-27e6-94e0-dda7,Chaos - Chaos Knights,Mutoid Vermin [Legends],,,,,,0,,
a1b1-8647-15af-9731,Chaos - Chaos Knights,Negavolt Cultists [Legends],,,,,,1,,
68ad-03fb-10b7-fc0b,Chaos - Chaos Knights,Renegade Heavy Weapons Squad [Legends],,,,,,2,,
2ad8-b5f2-1b54-0eb8,Chaos - Chaos Knights,Renegade Ogryn Beast Handler [Legends],,,,,,,,
6abc-4bee-f011-f490,Chaos - Chaos Knights,Renegade Ogryn Brutes [Legends],,,,,,1,,
6324-e721-420d-4436,Chaos - Chaos Knights,Renegade Plague Ogryns [Legends],,,,,,1,,
ce8e-af89-58fe-94bd,Chaos - Chaos Knights,Traitor Enforcer,,,,,,,,
6c40-644a-53f2-69c2,Chaos - Chaos Knights,Traitor Guardsmen Squad,,,,,,2,,
23aa-b45a-6d5d-e92b,Chaos - Chaos Space Marines,Accursed Cultists,,,,,,,,
7373-47b7-11a3-2b48,Chaos - Chaos Space Marines,Chaos Bikers,,,,,,2,,
7263-70e5-b424-61eb,Chaos - Chaos Space Marines,Chaos Spawn,,,,,,0,,
203d-c50f-a438-4982,Chaos - Chaos Space Marines,Chaos Terminator Squad,,,,,,,,
4e85-615b-5d49-dfa4,Chaos - Chaos Space Marines,Chosen,,,,,,,,
1267-78f1-7774-859,Chaos - Chaos Space Marines,Cultist Mob,,,,,,1,,
478-9d24-e5c8-c6f7,Chaos - Chaos Space Marines,Cultist Mob with Firearms [Legends],,,,,,1,,
d2b8-454a-d061-b592,Chaos - Chaos Space Marines,Dark Apostle,,,,,,,,
1780-25b8-ce0b-898d,Chaos - Chaos Space Marines,Dark Commune,,,,,,,,
cd9c-96e7-6dcb-bedf,Chaos - Chaos Space Marines,Fabius Bile,,,,,,,,
6bf7-888c-7aa6-6831,Chaos - Chaos Space Marines,Fellgor Beastmen,,,,,,1,,
e1c2-8417-403a-68,Chaos - Chaos Space Marines,Gellerpox Infected [Legends],,,,,,,,
946c-d784-c8be-f21,Chaos - Chaos Space Marines,Havocs,,,,,,,,
3832-4208-11e9-ca22,Chaos - Chaos Space Marines,Khorne Berzerkers,,,,,,,,
615-e6bf-cfd2-9384,Chaos - Chaos Space Marines,Legionaries,,,,,,,,
7299-5b5-2b56-ef50,Chaos - Chaos Space Marines,Mutilators [Legends],,,,,,,,
afed-8173-a1e0-cbae,Chaos - Chaos Space Marines,Mutoid Vermin [Legends],,,,,,0,,
9238-473a-54ee-6b0e,Chaos - Chaos Space Marines,Negavolt Cultists [Legends],,,,,,1,,
f666-1f5d-0c20-06c1,Chaos - Chaos Space Marines,Nemesis Claw,,,,,,1,,
371f-09ee-951e-88b3,Chaos - Chaos Space Marines,Noise Marines,,,,,,,,
2311-fa63-364-22a3,Chaos - Chaos Space Marines,Obliterators,,,,,,2,,
9030-f62d-417-fc92,Chaos - Chaos Space Marines,Plague Marines,,,,,,2,,
cb1-5bcf-9e36-8136,Chaos - Chaos Space Marines,Possessed,,,,,,1,,
acb5-dbf2-e3a6-ad94,Chaos - Chaos Space Marines,Raptors,,,,,,1,,
9df-7c70-84d2-e095,Chaos - Chaos Space Marines,Renegade Heavy Weapons Squad [Legends],,,,,,2,,
658e-a63f-bac7-6201,Chaos - Chaos Space Marines,Renegade Ogryn Beast Handler [Legends],,,,,,,,
24c4-fa24-67ff-eef,Chaos - Chaos Space Marines,Renegade Ogryn Brutes [Legends],,,,,,1,,
a7bb-ec24-40e6-5b8c,Chaos - Chaos Space Marines,Renegade Plague Ogryns [Legends],,,,,,1,,
f2e7-80c9-853d-2c6c,Chaos - Chaos Space Marines,Rubric Marines,,,,,,2,,
f69d-2171-5f95-9c88,Chaos - Chaos Space Marines,Traitor Enforcer,,,,,,,,
8dc5-4dcb-d77f-7d23,Chaos - Chaos Space Marines,Traitor Guardsmen Squad,,,,,,2,,
9f33-ff4a-d948-4636,Chaos - Chaos Space Marines,Warp Talons,,,,,,1,,
5f38-3bbb-ce09-485b,Chaos - Death Guard,Beasts of Nurgle,,,,,,3,,
5b4e-dcf1-5c6f-4d35,Chaos - Death Guard,Blightlord Terminators,,,,,,1,,
1d85-475f-5ab-9823,Chaos - Death Guard,Chaos Spawn,,,,,,1,,
d579-88cd-c634-f800,Chaos - Death Guard,Death Guard Cultists,,,,,,1,,
efa6-3620-2b6c-ce70,Chaos - Death Guard,Death Guard Possessed [Legends],,,,,,1,,
83e8-ebb7-785a-2115,Chaos - Death Guard,Deathshroud Terminators,,,,,,1,,
6d29-1c06-c787-64e0,Chaos - Death Guard,Gellerpox Infected [Legends],,,,,,,,
2dfd-cddb-9fef-494b,Chaos - Death Guard,Mutoid Vermin [Legends],,,,,,0,,
35b2-7490-1a7b-cd99,Chaos - Death Guard,Myphitic Blight-hauler,,,,,,,,
7e32-0162-71e2-57a0,Chaos - Death Guard,Nurglings,,,,,,0,,
cd03-e1f3-fa31-a271,Chaos - Death Guard,Plague Drones,,,,,,2,,
8467-b3a2-2597-de0d,Chaos - Death Guard,Plague Marines,,,,,,2,,
904b-0319-7b2e-2145,Chaos - Death Guard,Plaguebearers,,,,,,2,,
7c30-1e92-2faa-eb03,Chaos - Death Guard,Poxwalkers,,,,,,1,,
896c-5816-3abd-5199,Chaos - Emperor's Children,Chaos Spawn,,,,,,1,,
5926-4deb-a85d-c73a,Chaos - Emperor's Children,Chaos Terminators,,,,,,1,,
06f6-b870-4e43-4ed9,Chaos - Emperor's Children,Daemonettes,,,,,,1,,
c2ca-f754-cc05-0743,Chaos - Emperor's Children,Fiends,,,,,,,,
183e-f3bb-3ce6-7b55,Chaos - Emperor's Children,Flawless Blades,,,,,,1,,
e456-0afc-9b42-226c,Chaos - Emperor's Children,Infractors,,,,,,2,,
5817-0d6c-973c-68f8,Chaos - Emperor's Children,Noise Marines,,,,,,,,
c9df-2c38-25e5-ffc7,Chaos - Emperor's Children,Seekers,,,,,,,,
4494-dd7d-69f7-306c,Chaos - Emperor's Children,Tormentors,,,,,,2,,
aec5-4419-39e7-3e63,Chaos - Thousand Sons,Blue Horrors,,,,,,,,
60de-4c77-95e1-1337,Chaos - Thousand Sons,Chaos Spawn,,,,,,1,,
694f-a205-b260-783c,Chaos - Thousand Sons,Flamers,,,,,,1,,
4c73-cbd1-f052-80c3,Chaos - Thousand Sons,Pink Horrors,,,,,,1,,
5d3d-e13b-8b76-dad3,Chaos - Thousand Sons,Rubric Marines,,,,,,2,,
b1cf-c5-5121-92a4,Chaos - Thousand Sons,Scarab Occult Terminators,,,,,,1,,
7cbe-2406-8e67-aff5,Chaos - Thousand Sons,Screamers,,,,,,1,,
fe4b-b3a4-69b7-3088,Chaos - Thousand Sons,Sekhetar Robots,,,,,,,,
1703-3edd-5eb3-fcef,Chaos - Thousand Sons,Tzaangor Enlightened,,,,,,2,,
8b9f-917f-37c1-99c3,Chaos - Thousand Sons,Tzaangor Enlightened with Fatecaster greatbows,,,,,,2,,
f5b9-50c8-5c60-d8ea,Chaos - Thousand Sons,Tzaangors,,,,,,1,,
e65f-c7c7-1d18-1a60,Chaos - World Eaters,Bloodcrushers,,,,,,2,,
9188-4709-00ba-e5e0,Chaos - World Eaters,Bloodletters,,,,,,1,,
edde-57bf-bccc-d8b2,Chaos - World Eaters,Chaos Spawn,,,,,,1,,
45f6-8429-a1d9-2a51,Chaos - World Eaters,Chaos Terminators,,,,,,1,,
9435-1f44-7e5b-d510,Chaos - World Eaters,Eightbound,,,,,,1,,
9932-3d2b-1e47-d53b,Chaos - World Eaters,Exalted Eightbound,,,,,,1,,
b657-1743-6e3a-0838,Chaos - World Eaters,Flesh Hounds,,,,,,1,,
b399-9b66-e550-8050,Chaos - World Eaters,Goremongers,,,,,,1,,
6f81-4538-a414-251e,Chaos - World Eaters,Jakhals,,,,,,1,,
f909-00c7-8ba4-018a,Chaos - World Eaters,Khorne Berzerkers,,,,,,,,
f51d-bc51-f301-9dee,Xenos - Genestealer Cults,Aberrants,,,,,,,,
cf71-a12a-2730-c40b,Xenos - Genestealer Cults,Achilles Ridgerunners,,,,,,,,
04cc-6196-1755-ad58,Xenos - Genestealer Cults,Acolyte Hybrids with Autopistols,,,,,,,,
a197-f6c3-5d4a-5326,Xenos - Genestealer Cults,Acolyte Hybrids with Hand Flamers,,,,,,,,
3a81-2b84-bf4c-4f85,Xenos - Genestealer Cults,Atalan Jackals,,,,,,,,
8a84-a8fd-977e-9118,Xenos - Genestealer Cults,Hybrid Metamorphs,,,,,,,,
b5d2-8681-6bba-f05b,Xenos - Genestealer Cults,Neophyte Hybrids,,,,,,,,
965b-496a-3a1b-22a8,Xenos - Genestealer Cults,Purestrain Genestealers,,,,,,,,
4b94-c22e-84f9-8d32,Imperium - Adepta Sororitas,Aestred Thurga and Agathae Dolan,,,,,,,,
ca59-3760-5efc-9846,Imperium - Adepta Sororitas,Arco-Flagellants,,,,,,1,,
f26d-450d-1c55-caeb,Imperium - Adepta Sororitas,Battle Sisters Squad,,,,,,,,
f1af-4984-1a52-c5,Imperium - Adepta Sororitas,Celestian Sacresants,,,,,,,,
5d01-db4e-c389-a0bc,Imperium - Adepta Sororitas,Crusaders [Legends],,,,,,,,
8569-2390-d4db-30fd,Imperium - Adepta Sororitas,Daemonifuge,,,,,,,,
325e-1297-4d00-1f75,Imperium - Adepta Sororitas,Death Cult Assassins [Legends],,,,,,,,
d929-b22d-3040-9707,Imperium - Adepta Sororitas,Dominion Squad,,,,,,,,
3c3f-f02d-c05c-492a,Imperium - Adepta Sororitas,Mortifiers,,,,,,,,
e75d-a7ac-7fcc-d302,Imperium - Adepta Sororitas,Paragon Warsuits,,,,,,,,
327d-a6df-26b-bb9b,Imperium - Adepta Sororitas,Penitent Engines,,,,,,,,
7d63-7b55-a632-6a10,Imperium - Adepta Sororitas,Repentia Squad,,,,,,,,
c49d-f150-4b3-c118,Imperium - Adepta Sororitas,Retributor Squad,,,,,,,,
21f1-8ed6-52c6-54c7,Imperium - Adepta Sororitas,Saint Celestine,,,,,,,,
eade-6ec7-7236-bfdb,Imperium - Adepta Sororitas,Sanctifiers,,,,,,1,,
bee9-172b-7db7-f748,Imperium - Adepta Sororitas,Seraphim Squad,,,,,,,,
4269-a229-1461-67d0,Imperium - Adepta Sororitas,Sisters Novitiate Squad,,,,,,,,
22f0-a7d8-b2b6-e26,Imperium - Adepta Sororitas,Zephyrim Squad,,,,,,1,,
00ab-41c4-cf52-4ad2,Imperium - Adeptus Custodes,Agamatus Custodians,,,,,,2,,
c8a6-a4c5-703e-b717,Imperium - Adeptus Custodes,Allarus Custodians,,,,,,2,,
03bc-0141-b967-40e0,Imperium - Adeptus Custodes,Aquilon Custodians,,,,,,2,,
91b3-2e1c-e642-d213,Imperium - Adeptus Custodes,Custodian Guard,,,,,,,,
af0f-5212-907e-7125,Imperium - Adeptus Custodes,Custodian Guard with Adrasite and Pyrithite spears,,,,,,,,
9610-b148-8433-93b8,Imperium - Adeptus Custodes,Custodian Wardens,,,,,,2,,
3ec3-a4df-fdbf-5507,Imperium - Adeptus Custodes,Prosecutors,,,,,,,,
6f9f-e6aa-ba13-aab1,Imperium - Adeptus Custodes,Sagittarum Custodians,,,,,,,,
201e-e502-a8d1-3974,Imperium - Adeptus Custodes,Venatari Custodians,,,,,,,,
918b-c9ed-7af7-74df,Imperium - Adeptus Custodes,Vertus Praetors,,,,,,2,,
dd2d-568a-9c56-1b6e,Imperium - Adeptus Custodes,Vigilators,,,,,,,,
503b-f7be-eeeb-9e31,Imperium - Adeptus Custodes,Witchseekers,,,,,,,,
fd5a-f7a3-833c-85b,Imperium - Adeptus Mechanicus,Corpuscarii Electro-Priests,,,,,,1,,
841-f339-8086-efe2,Imperium - Adeptus Mechanicus,Fulgurite Electro-Priests,,,,,,1,,
7efb-de37-79c4-cccb,Imperium - Adeptus Mechanicus,Ironstrider Ballistarii,,,,,,,,
bd6c-8683-8bc4-962d,Imperium - Adeptus Mechanicus,Kastelan Robots,,,,,,,,
a46f-848-b87d-4484,Imperium - Adeptus Mechanicus,Kataphron Breachers,,,,,,1,,
7bee-a476-2167-76e7,Imperium - Adeptus Mechanicus,Kataphron Destroyers,,,,,,1,,
b31e-5003-5b63-a305,Imperium - Adeptus Mechanicus,Pteraxii Skystalkers,,,,,,1,,
958-a256-360-8620,Imperium - Adeptus Mechanicus,Pteraxii Sterylizors,,,,,,1,,
705b-2635-fcab-48f9,Imperium - Adeptus Mechanicus,Secutarii Hoplites [Legends],,,,,,1,,
7774-a50b-cb1e-8372,Imperium - Adeptus Mechanicus,Secutarii Peltasts [Legends],,,,,,1,,
5797-adb8-930-e832,Imperium - Adeptus Mechanicus,Serberys Raiders,,,,,,2,,
e775-4fe1-832b-95ca,Imperium - Adeptus Mechanicus,Serberys Sulphurhounds,,,,,,2,,
a523-606f-b05c-851e,Imperium - Adeptus Mechanicus,Servitor Battleclade,,,,,,1,,
2183-5b38-1726-2a11,Imperium - Adeptus Mechanicus,Servitors [Legends],,,,,,0,,
9b4-26b2-9e6d-a62d,Imperium - Adeptus Mechanicus,Sicarian Infiltrators,,,,,,1,,
8863-9784-8377-aa7a,Imperium - Adeptus Mechanicus,Sicarian Ruststalkers,,,,,,1,,
de59-f65c-181a-8509,Imperium - Adeptus Mechanicus,Skitarii Rangers,,,,,,2,,
ba33-c21-bddc-ab0,Imperium - Adeptus Mechanicus,Skitarii Vanguard,,,,,,2,,
d99a-6563-8c08-23c,Imperium - Adeptus Mechanicus,Sydonian Dragoons with radium jezzails,,,,,,,,
3053-c0c1-aedd-b211,Imperium - Adeptus Mechanicus,Sydonian Dragoons with taser lances,,,,,,,,
52e7-9347-3f16-9eec,Imperium - Adeptus Mechanicus,Sydonian Skatros,,,,,,1,,
fac5-a242-951a-e1b2,Imperium - Agents of the Imperium,Daemonhost [Legends],,,,,,,,
bbbf-a0fb-d032-3a61,Imperium - Agents of the Imperium,Damned Legionnaires [Legends],,,,,,1,,
0744-61ce-619d-ffe1,Imperium - Agents of the Imperium,Deathwatch Kill Team,,,,,,2,,
0b74-440c-ee1d-ca50,Imperium - Agents of the Imperium,Deathwatch Terminator Squad [Legends],,,,,,,,
ec63-524d-55a-3065,Imperium - Agents of the Imperium,Exaction Squad,,,,,,1,,
edce-f61c-8029-897f,Imperium - Agents of the Imperium,Fortis Kill Team [Legends],,,,,,,,
15c0-9294-7eb8-f3a7,Imperium - Agents of the Imperium,Grey Knights Terminator Squad,,,,,,2,,
24d5-9987-4d2-b42b,Imperium - Agents of the Imperium,Imperial Navy Breachers,,,,,,2,,
c538-aaf0-5788-5c07,Imperium - Agents of the Imperium,Indomitor Kill Team [Legends],,,,,,,,
4469-7239-717e-9abd,Imperium - Agents of the Imperium,Inquisitorial Agents,,,,,,1,,
88af-6e47-7162-b1be,Imperium - Agents of the Imperium,Kill Team Cassius [Legends],,,,,,,,
4681-2af4-acf9-2bce,Imperium - Agents of the Imperium,Proteus Kill Team [Legends],,,,,,,,
9360-d8b2-cd92-9e7f,Imperium - Agents of the Imperium,Rogue Trader Entourage,,,,,,,,
4e74-3710-7a66-9d6c,Imperium - Agents of the Imperium,Sanctifiers,,,,,,1,,
73fc-a193-7da1-d9c4,Imperium - Agents of the Imperium,Sisters of Battle Squad,,,,,,2,,
f527-0a42-15b4-1924,Imperium - Agents of the Imperium,Spectrus Kill Team [Legends],,,,,,,,
6db9-cede-3810-f1f0,Imperium - Agents of the Imperium,Subductor Squad,,,,,,1,,
50a9-30aa-e03a-847d,Imperium - Agents of the Imperium,Veteran Bike Squad [Legends],,,,,,,,
d44c-5cde-cb79-3ec3,Imperium - Agents of the Imperium,Vigilant Squad,,,,,,2,,
3953-4e12-fe7b-97e9,Imperium - Agents of the Imperium,Voidsmen-at-Arms,,,,,,2,,
7e34-20cf-1149-74a1,Imperium - Astra Militarum - Library,Armoured Sentinels,,,,,,,,
2299-bed9-3e-2b60,Imperium - Astra Militarum - Library,Attilan Rough Riders,,,,,,,,
37ad-63e5-1786-87cf,Imperium - Astra Militarum - Library,Bullgryn Squad,,,,,,,,
4d28-f2a7-67c1-eb2e,Imperium - Astra Militarum - Library,Cadian Command Squad,,,,,,,,
91a9-15e-b5f0-700f,Imperium - Astra Militarum - Library,Cadian Heavy Weapons Squad,,,,,,,,
a2aa-7688-dcb1-4132,Imperium - Astra Militarum - Library,Cadian Shock Troops,,,,,,,,
7d22-9fb6-a7e0-c21b,Imperium - Astra Militarum - Library,Catachan Command Squad,,,,,,,,
dfcb-7854-1d6d-cd02,Imperium - Astra Militarum - Library,Catachan Heavy Weapons Squad,,,,,,,,
fe5a-764e-37ed-7cef,Imperium - Astra Militarum - Library,Catachan Jungle Fighters,,,,,,,,
8a25-2a0c-87d2-3ea6,Imperium - Astra Militarum - Library,Death Korps Grenadier Squad [Legends],,,,,,,,
ade0-fa44-d4cf-4fc8,Imperium - Astra Militarum - Library,Death Korps of Krieg,,,,,,,,
f1a-7c78-ffdc-bf5b,Imperium - Astra Militarum - Library,Death Riders,,,,,,,,
d4da-78a0-ef0-1e7e,Imperium - Astra Militarum - Library,Elysian Sniper Squad [Legends],,,,,,,,
64a9-4cb2-400e-efd1,Imperium - Astra Militarum - Library,Field Ordnance Battery,,,,,,,,
653d-80-d715-7d55,Imperium - Astra Militarum - Library,Gaunt’s Ghosts,,,,,,,,
2408-cf76-fe11-c6da,Imperium - Astra Militarum - Library,Hell's Last [Legends],,,,,,,,
abe4-ca71-d5a7-3883,Imperium - Astra Militarum - Library,Kasrkin,,,,,,,,
3e90-9359-2aaa-205e,Imperium - Astra Militarum - Library,Krieg Combat Engineers,,,,,,,,
fbcd-274b-0196-b4f6,Imperium - Astra Militarum - Library,Krieg Command Squad,,,,,,,,
1669-d311-eff9-243b,Imperium - Astra Militarum - Library,Krieg Heavy Weapons Squad,,,,,,,,
497-36ad-8ecb-f7c7,Imperium - Astra Militarum - Library,Militarum Tempestus Command Squad,,,,,,,,
421a-6683-9e78-fb7,Imperium - Astra Militarum - Library,Mukaali Riders [Legends],,,,,,,,
5c5f-8f23-7f13-2af6,Imperium - Astra Militarum - Library,Munitorum Servitors [Legends],,,,,,,,
c9eb-2007-af01-a853,Imperium - Astra Militarum - Library,Ogryn Squad,,,,,,,,
1d02-5302-f162-65d6,Imperium - Astra Militarum - Library,Quartermaster Cadre Squad [Legends],,,,,,,,
31ec-a804-92ad-97,Imperium - Astra Militarum - Library,Rapier Laser Destroyer Battery [Legends],,,,,,1,,
8293-a070-2c87-de30,Imperium - Astra Militarum - Library,Ratlings,,,,,,,,
5da1-9869-294e-8187,Imperium - Astra Militarum - Library,Regimental Attachés [Legends],,,,,,,,
7d5b-1aae-55-2f5b,Imperium - Astra Militarum - Library,Rein and Raus [Legends],,,,,,,,
3597-3243-6870-70a1,Imperium - Astra Militarum - Library,Sabre Weapons Battery [Legends],,,,,,,,
4424-a6ec-6d9e-a936,Imperium - Astra Militarum - Library,Scout Sentinels,,,,,,,,
1502-bae3-93b4-c89a,Imperium - Astra Militarum - Library,Tarantula Battery [Legends],,,,,,,,
aa9f-f137-1638-0369,Imperium - Astra Militarum - Library,Tempestus Aquilons,,,,,,1,,
679b-f37f-2388-748,Imperium - Astra Militarum - Library,Tempestus Scions,,,,,,,,
8165-e372-4fd6-3274,Imperium - Adeptus Astartes - Black Templars,Chaplain Grimaldus,,,,,,1,,
8bbe-e7fc-44b7-ed94,Imperium - Adeptus Astartes - Black Templars,Crusader Squad,,,,,,,,
2da2-ad08-6057-5a1c,Imperium - Adeptus Astartes - Black Templars,Crusader Squad [Legends],,,,,,,,
a499-86fa-4d0c-b06d,Imperium - Adeptus Astartes - Black Templars,Sternguard Veteran Squad,,,,,,,,
206c-6b4d-4aaa-7e79,Imperium - Adeptus Astartes - Black Templars,Sword Brethren Squad,,,,,,,,
80ad-6e62-65e3-e667,Imperium - Adeptus Astartes - Black Templars,Terminator Squad,,,,,,,,
bb83-db85-6ce1-9a61,Imperium - Adeptus Astartes - Blood Angels,Death Company Intercessors,,,,,,1,,
3825-ac3a-75ec-fa0d,Imperium - Adeptus Astartes - Blood Angels,Death Company Marines,,,,,,1,,
4aab-3ca5-0435-ed5e,Imperium - Adeptus Astartes - Blood Angels,Death Company Marines with Bolt Rifles,,,,,,1,,
6562-9dcd-afea-d4ae,Imperium - Adeptus Astartes - Blood Angels,Death Company Marines with Boltguns [Legends],,,,,,1,,
bcfe-f4fb-5c44-652d,Imperium - Adeptus Astartes - Blood Angels,Death Company Marines with Boltguns and Jump Packs [Legends],,,,,,1,,
65f6-18df-f6df-7e39,Imperium - Adeptus Astartes - Blood Angels,Death Company Marines with Jump Packs,,,,,,1,,
25e4-ead-faac-2531,Imperium - Adeptus Astartes - Blood Angels,Sanguinary Guard,,,,,,,,
48fb-ebd6-dd17-729b,Imperium - Adeptus Astartes - Dark Angels,Deathwing Command Squad [Legends],,,,,,,,
a6cc-9a65-dbf1-71b0,Imperium - Adeptus Astartes - Dark Angels,Deathwing Knights,,,,,,,,
6135-d842-8e61-889d,Imperium - Adeptus Astartes - Dark Angels,Deathwing Terminator Squad,,,,,,,,
f34-e2f9-c98e-1916,Imperium - Adeptus Astartes - Dark Angels,Inner Circle Companions,,,,,,,,
212d-f302-aaaf-5c12,Imperium - Adeptus Astartes - Dark Angels,Ravenwing Black Knights,,,,,,,,
