keyword_id,keyword,description
crusaders,Crusaders,
cryptothralls,Cryptothralls,
cthonian,Cthonian,
cult-mechanicus,Cult Mechanicus,
cultist-mob,Cultist Mob,
cultist-mob-with-firearms,Cultist Mob with Firearms,
cultists,Cultists,
cults-of-the-dark-gods,Cults of the Dark Gods,
custodian-guard,Custodian Guard,
custodian-wardens,Custodian Wardens,
daemon,Daemon,
daemonettes,Daemonettes,
daemonhost,Daemonhost,
daemonifuge,Daemonifuge,
damned,Damned,
damned-legionaires,Damned Legionaires,
dark-reapers,Dark Reapers,
death-company,Death Company,
death-company-intercessors,Death Company Intercessors,
death-company-marines,Death Company Marines,
death-company-marines-with-bolt-rifles,Death Company Marines with Bolt Rifles,
death-company-marines-with-boltguns,Death Company Marines with Boltguns,
death-company-marines-with-boltguns-and-jump-packs,Death Company Marines with Boltguns and Jump Packs,
death-company-marines-with-jump-packs,Death Company Marines with Jump Packs,
death-cult-assassins,Death Cult Assassins,
death-korps-grenadier-squad,Death Korps Grenadier Squad,
death-korps-of-krieg,Death Korps of Krieg,
death-riders,Death Riders,
deathmarks,Deathmarks,
deathshroud-terminators,Deathshroud Terminators,
deathwatch,Deathwatch,
deathwatch-kill-team,Deathwatch Kill Team,
deathwatch-terminator-squad,Deathwatch Terminator Squad,
deathwing,Deathwing,
deathwing-command-squad,Deathwing Command Squad,
deathwing-knights,Deathwing Knights,
deathwing-terminator-squad,Deathwing Terminator Squad,
defenders,Defenders,
deffkoptas,Deffkoptas,
deffkoptas-with-big-shootas,Deffkoptas with Big Shootas,
desolation-squad,Desolation Squad,
destroyer-cult,Destroyer Cult,
destroyers,Destroyers,
devastator-squad,Devastator Squad,
dire-avengers,Dire Avengers,
dominion-squad,Dominion Squad,
dragoons-with-radium-jezzails,Dragoons with Radium Jezzails,
dragoons-with-taser-lances,Dragoons with Taser Lances,
drone,Drone,
earthshakers,Earthshakers,
eightbound,Eightbound,
einhyr-hearthguard,Einhyr Hearthguard,
electro-priests,Electro-Priests,
eliminator-squad,Eliminator Squad,
elysian-sniper-squad,Elysian Sniper Squad,
endless-multitude,Endless Multitude,
epic-hero,Epic Hero,
eradicator-squad,Eradicator Squad,
exaction-squad,Exaction Squad,
exalted-eightbound,Exalted Eightbound,
exoarmour,Exoarmour,
exoframe,Exoframe,
faction:-adepta-sororitas,Faction: Adepta Sororitas,
faction:-adeptus-astartes,Faction: Adeptus Astartes,
faction:-adeptus-custodes,Faction: Adeptus Custodes,
faction:-adeptus-mechanicus,Faction: Adeptus Mechanicus,
faction:-agents-of-the-imperium,Faction: Agents of the Imperium,
faction:-astra-militarum,Faction: Astra Militarum,
faction:-asuryani,Faction: Asuryani,
faction:-black-templars,Faction: Black Templars,
faction:-blood-angels,Faction: Blood Angels,
faction:-blood-legions,Faction: Blood Legions,
faction:-dark-angels,Faction: Dark Angels,
faction:-death-guard,Faction: Death Guard,
faction:-deathwatch,Faction: Deathwatch,
faction:-drukhari,Faction: Drukhari,
faction:-emperor's-children,Faction: Emperor's Children,
faction:-genestealer-cults,Faction: Genestealer Cults,
faction:-grey-knights,Faction: Grey Knights,
faction:-harlequins,Faction: Harlequins,
faction:-heretic-astartes,Faction: Heretic Astartes,
faction:-imperial-knights,Faction: Imperial Knights,
faction:-leagues-of-votann,Faction: Leagues of Votann,
faction:-legiones-daemonica,Faction: Legiones Daemonica,
faction:-legions-of-excess,Faction: Legions of Excess,
faction:-necrons,Faction: Necrons,
faction:-orks,Faction: Orks,
faction:-plague-legions,Faction: Plague Legions,
faction:-scintillating-legions,Faction: Scintillating Legions,
faction:-space-wolves,Faction: Space Wolves,
faction:-t'au-empire,Faction: T'au Empire,
faction:-thousand-sons,Faction: Thousand Sons,
faction:-tyranids,Faction: Tyranids,
faction:-ultramarines,Faction: Ultramarines,
faction:-unaligned-forces,Faction: Unaligned Forces,
faction:-world-eaters,Faction: World Eaters,
faction:-ynnari,Faction: Ynnari,
farstalkers,Farstalkers,
fellgor-beastmen,Fellgor Beastmen,
fenrisian-wolves,Fenrisian Wolves,
field-ordnance-battery,Field Ordnance Battery,
fiends,Fiends,
fire-dragons,Fire Dragons,
fire-warrior,Fire Warrior,
fireknife,Fireknife,
firestrike-servo-turrets,Firestrike Servo-turrets,
flamers,Flamers,
flash-gitz,Flash Gitz,
flawless-blades,Flawless Blades,
flayed-ones,Flayed Ones,
flesh-hounds,Flesh Hounds,
fly,Fly,
fortification,Fortification,
fortis-kill-team,Fortis Kill Team,
fulgurite,Fulgurite,
furies,Furies,
gargoyles,Gargoyles,
gaunt’s-ghosts,Gaunt’s Ghosts,
gellerpox-infected,Gellerpox Infected,
genestealers,Genestealers,
goremongers,Goremongers,
gravis,Gravis,
great-devourer,Great Devourer,
grenades,Grenades,
gretchin,Gretchin,
grey-hunters,Grey Hunters,
grey-knights-terminator-squad,Grey Knights Terminator Squad,
grot-tanks,Grot Tanks,
grotesques,Grotesques,
grots,Grots,
guardian-defenders,Guardian Defenders,
guardians,Guardians,
haemonculus-covens,Haemonculus Covens,
harlequin-allies,Harlequin Allies,
harvester,Harvester,
havocs,Havocs,
headtakers,Headtakers,
hearthkyn-warriors,Hearthkyn Warriors,
heavy-gun-drones,Heavy Gun Drones,
heavy-intercessor-squad,Heavy Intercessor Squad,
hell's-last,Hell's Last,
hellblaster-squad,Hellblaster Squad,
hellflayer,Hellflayer,
hellions,Hellions,
hernkyn,Hernkyn,
hernkyn-pioneers,Hernkyn Pioneers,
hernkyn-yaegirs,Hernkyn Yaegirs,
hive-guard,Hive Guard,
honor-guard,Honor Guard,
hormagaunts,Hormagaunts,
horrors,Horrors,
hounds,Hounds,
hounds-of-morkai,Hounds of Morkai,
howling-banshees,Howling Banshees,
hunting-wolves,Hunting Wolves,
hybrid-metamorphs,Hybrid Metamorphs,
hyperadapted-raveners,Hyperadapted Raveners,
immortals,Immortals,
imperial-navy-breachers,Imperial Navy Breachers,
imperium,Imperium,
inceptor-squad,Inceptor Squad,
incubi,Incubi,
incursor-squad,Incursor Squad,
indomitor-kill-team,Indomitor Kill Team,
infantry,Infantry,
infernus-squad,Infernus Squad,
infiltrator-squad,Infiltrator Squad,
infiltrators,Infiltrators,
infractors,Infractors,
inner-circle-companions,Inner Circle Companions,
inquisitorial-agents,Inquisitorial Agents,
interceptor-squad,Interceptor Squad,
intercessor-squad,Intercessor Squad,
ironkin-steeljacks,Ironkin Steeljacks,
ironkin-steeljacks-with-heavy-volkanite-disintegrators,Ironkin Steeljacks with Heavy Volkanite Disintegrators,
ironkin-steeljacks-with-melee-weapons,Ironkin Steeljacks with Melee Weapons,
ironstrider-ballistarii,Ironstrider Ballistarii,
jakhals,Jakhals,
jump-pack,Jump Pack,
kabal,Kabal,
kabalite-warriors,Kabalite Warriors,
kapricus,Kapricus,
kasrkin,Kasrkin,
kastelan-robots,Kastelan Robots,
kataphron,Kataphron,
khorne,Khorne,
khorne-battleline,Khorne Battleline,
khorne-non-battleline,Khorne non-Battleline,
kill-team,Kill Team,
kill-team-cassius,Kill Team Cassius,
killa-kans,Killa Kans,
knarloc-riders,Knarloc Riders,
kommandos,Kommandos,
krieg,Krieg,
krieg-combat-engineers,Krieg Combat Engineers,
krieg-heavy-weapons-squad,Krieg Heavy Weapons Squad,
kroot,Kroot,
krootox-rampagers,Krootox Rampagers,
krootox-riders,Krootox Riders,
legio-cybernetica,Legio Cybernetica,
legionaries,Legionaries,
lokhust-destroyers,Lokhust Destroyers,
lokhust-heavy-destroyers,Lokhust Heavy Destroyers,
long-fangs,Long Fangs,
lootas,Lootas,
lychguard,Lychguard,
mandrakes,Mandrakes,
markerlight,Markerlight,
mega-armour,Mega Armour,
meganobz,Meganobz,
mek-gunz,Mek Gunz,
militarum-tempestus,Militarum Tempestus,
mob,Mob,
monster,Monster,
mortifiers,Mortifiers,
mounted,Mounted,
mucolid-spores,Mucolid Spores,
mukaali-riders,Mukaali Riders,
munitorum-servitors,Munitorum Servitors,
mutant,Mutant,
mutilators,Mutilators,
mutoid-vermin,Mutoid Vermin,
myphitic-blight-hauler,Myphitic Blight-hauler,
necron-warriors,Necron Warriors,
negavolt-cultists,Negavolt Cultists,
nemesis-claw,Nemesis Claw,
neophyte-hybrids,Neophyte Hybrids,
neurogaunts,Neurogaunts,
nobz,Nobz,
nobz-on-warbikes,Nobz on Warbikes,
noise-marines,Noise Marines,
nurgle,Nurgle,
nurgle-battleline,Nurgle Battleline,
nurgle-non-battleline,Nurgle non-Battleline,
nurglings,Nurglings,
obliterators,Obliterators,
ogryn,Ogryn,
ogryn-squad,Ogryn Squad,
ophydian-destroyers,Ophydian Destroyers,
ordo-hereticus,Ordo Hereticus,
ordo-malleus,Ordo Malleus,
ordo-xenos,Ordo Xenos,
outrider-squad,Outrider Squad,
paladin-squad,Paladin Squad,
paragon-warsuits,Paragon Warsuits,
pathfinder-team,Pathfinder Team,
penitent,Penitent,
penitent-engines,Penitent Engines,
phobos,Phobos,
piranha,Piranha,
plague-drones,Plague Drones,
plague-marines,Plague Marines,
plague-toads,Plague Toads,
plaguebearers,Plaguebearers,
platoon,Platoon,
possessed,Possessed,
pox-riders,Pox Riders,
poxwalkers,Poxwalkers,
primaris-crusader-squad,Primaris Crusader Squad,
primaris-sword-brethren,Primaris Sword Brethren,
prosecutors,Prosecutors,
proteus-kill-team,Proteus Kill Team,
psyker,Psyker,
pteraxii,Pteraxii,
purestrain-genestealers,Purestrain Genestealers,
purgation-squad,Purgation Squad,
purifier-squad,Purifier Squad,
pyrovores,Pyrovores,
quartermaster-cadre-squad,Quartermaster Cadre Squad,
rangers,Rangers,
rapier-laser-destroyer-battery,Rapier Laser Destroyer Battery,
raptors,Raptors,
ratlings,Ratlings,
raveners,Raveners,
ravenwing,Ravenwing,
ravenwing-black-knights,Ravenwing Black Knights,
ravenwing-command-squad,Ravenwing Command Squad,
reavers,Reavers,
regiment,Regiment,
regimental-attachés,Regimental Attachés,
rein-and-raus,Rein and Raus,
reiver-squad,Reiver Squad,
relic-terminator-squad,Relic Terminator Squad,
remora-stealth-drones,Remora Stealth Drones,
renegade-heavy-weapons-squad,Renegade Heavy Weapons Squad,
renegade-ogryn-beast-handler,Renegade Ogryn Beast Handler,
renegade-ogryn-brutes,Renegade Ogryn Brutes,
renegade-plague-ogryns,Renegade Plague Ogryns,
repentia-squad,Repentia Squad,
requisitioned,Requisitioned,
retinue,Retinue,
retributor-squad,Retributor Squad,
ripper-swarm,Ripper Swarm,
rogue-trader-entourage,Rogue Trader Entourage,
rubric-marines,Rubric Marines,
rubricae,Rubricae,
ruststalkers,Ruststalkers,
sabre-weapons-battery,Sabre Weapons Battery,
sagittarum-custodians,Sagittarum Custodians,
sanctifiers,Sanctifiers,
sanguinary-guard,Sanguinary Guard,
scarab-occult,Scarab Occult,
scarab-swarms,Scarab Swarms,
scourges,Scourges,
scout-bike-squad,Scout Bike Squad,
scout-sentinels,Scout Sentinels,
scout-sniper-squad,Scout Sniper Squad,
scout-squad,Scout Squad,
screamers,Screamers,
secutarii-hoplites,Secutarii Hoplites,
secutarii-peltasts,Secutarii Peltasts,
seeker-chariot,Seeker Chariot,
seekers,Seekers,
sekhetar-robots,Sekhetar Robots,
seraphim-squad,Seraphim Squad,
serberys-raiders,Serberys Raiders,
serberys-sulphurhounds,Serberys Sulphurhounds,
servitor-battleclade,Servitor Battleclade,
servitors,Servitors,
shadow-legion,Shadow Legion,
shadow-spectres,Shadow Spectres,
shining-spears,Shining Spears,
shroud-runners,Shroud Runners,
sicarian,Sicarian,
sisters-novitiate-squad,Sisters Novitiate Squad,
sisters-of-battle-squad,Sisters of Battle Squad,
skatros,Skatros,
skitarii,Skitarii,
skorchas,Skorchas,
skorpekh-destroyers,Skorpekh Destroyers,
sky-slasher-swarms,Sky-slasher Swarms,
skyclaws,Skyclaws,
skystalkers,Skystalkers,
skyweavers,Skyweavers,
slaanesh,Slaanesh,
slaanesh-battleline,Slaanesh Battleline,
slaanesh-non-battleline,Slaanesh non-Battleline,
smoke,Smoke,
spawn,Spawn,
spectrus-kill-team,Spectrus Kill Team,
speed-freeks,Speed Freeks,
spindle-drones,Spindle Drones,
spore-mines,Spore Mines,
spyders,Spyders,
squadron,Squadron,
squighog-boyz,Squighog Boyz,
starscythe,Starscythe,
stealth,Stealth,
sternguard-veteran-squad,Sternguard Veteran Squad,
sterylizors,Sterylizors,
storm-guardians,Storm Guardians,
stormboyz,Stormboyz,
strike-squad,Strike Squad,
strike-team,Strike Team,
striking-scorpions,Striking Scorpions,
subductor-squad,Subductor Squad,
summoned,Summoned,
sunforge,Sunforge,
suppressor-squad,Suppressor Squad,
swarm,Swarm,
swooping-hawks,Swooping Hawks,
sydonian,Sydonian,
synapse,Synapse,
tactical-drones,Tactical Drones,
tactical-squad,Tactical Squad,
tacticus,Tacticus,
talonstrike-kill-team,Talonstrike Kill Team,
talos,Talos,
tankbustas,Tankbustas,
tarantula-battery,Tarantula Battery,
tempestus-aquilons,Tempestus Aquilons,
tempestus-scions,Tempestus Scions,
termagants,Termagants,
terminator,Terminator,
terminator-assault-squad,Terminator Assault Squad,
terminator-squad,Terminator Squad,
tetras,Tetras,
thunderfire-cannon,Thunderfire Cannon,
thunderkyn,Thunderkyn,
thunderwolf-cavalry,Thunderwolf Cavalry,
tomb-blades,Tomb Blades,
tormentors,Tormentors,
traitor-guardsmen-squad,Traitor Guardsmen Squad,
triarch,Triarch,
triarch-praetorians,Triarch Praetorians,
troupe,Troupe,
tyranid-warriors,Tyranid Warriors,
tyranid-warriors-with-melee-bio-weapons,Tyranid Warriors with Melee Bio-weapons,
tyranid-warriors-with-ranged-bio-weapons,Tyranid Warriors with Ranged Bio-weapons,
tyrannic-war-veterans,Tyrannic War Veterans,
tyrant-guard,Tyrant Guard,
tzaangor-enlightened,Tzaangor Enlightened,
tzaangor-enlightened-with-fatecaster-greatbows,Tzaangor Enlightened with Fatecaster greatbows,
tzaangors,Tzaangors,
tzeentch,Tzeentch,
tzeentch-battleline,Tzeentch Battleline,
tzeentch-non-battleline,Tzeentch non-Battleline,
vanguard,Vanguard,
vanguard-invader,Vanguard Invader,
vanguard-veteran-squad,Vanguard Veteran Squad,
vanguard-veteran-squad-with-jump-packs,Vanguard Veteran Squad with Jump Packs,
vehicle,Vehicle,
venatari-custodians,Venatari Custodians,
venomthropes,Venomthropes,
vertus-praetors,Vertus Praetors,
vespid-stingwings,Vespid Stingwings,
veteran-bike-squad,Veteran Bike Squad,
vigilant-squad,Vigilant Squad,
vigilators,Vigilators,
voidfarer-character,Voidfarer Character,
voidfarers,Voidfarers,
voidsmen-at-arms,Voidsmen-at-Arms,
von-ryan's-leapers,Von Ryan's Leapers,
vypers,Vypers,
walker,Walker,
war-walkers,War Walkers,
warbikers,Warbikers,
warbuggies,Warbuggies,
warlock,Warlock,
warlock-conclave,Warlock Conclave,
warlock-skyrunners,Warlock Skyrunners,
warp-spiders,Warp Spiders,
warp-talons,Warp Talons,
wartrakks,Wartrakks,
windriders,Windriders,
witchseekers,Witchseekers,
wolf-guard,Wolf Guard,
wolf-guard-terminators,Wolf Guard Terminators,
wolf-scouts,Wolf Scouts,
wracks,Wracks,
wraith-construct,Wraith Construct,
wraithblades,Wraithblades,
wraithguard,Wraithguard,
wraiths,Wraiths,
wulfen,Wulfen,
wulfen-with-storm-shields,Wulfen with Storm Shields,
wych-cult,Wych Cult,
wyches,Wyches,
xv9-hazard,XV9 Hazard,
ynnari,Ynnari,
zephyrim-squad,Zephyrim Squad,
zoanthropes,Zoanthropes,
