review_rank,review_priority,review_hint,unit_id,unit_name,faction_contains,selection_type,models_min,models_max,review_category,suggestion_score,suggestion_reason,suggested_guide_faction,suggested_guide_unit_name,suggested_guide_model_name,suggested_base_size_text,override_base_size_text,override_base_type,override_base_shape,override_base_width_mm,override_base_depth_mm,override_guide_faction,override_guide_unit_name,override_guide_model_name,review_decision,review_notes
21,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Dreadnought'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",c954-8157-25fd-5f99,Furioso Dreadnought [Legends],Imperium - Adeptus Astartes - Blood Angels,model,1,1,unmatched_unit,0.75,name similarity 0.73; token overlap 0.50; faction compatible,SPACE MARINES,Dreadnought,,60mm,,,,,,,,,,
22,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Land Raider'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",bbc6-900e-c5f2-d634,Land Raider Prometheus [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.75,name similarity 0.67; token overlap 0.67; faction compatible,SPACE MARINES,Land Raider,,Hull,,,,,,,,,,
23,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Wolf Guard Battle Leader'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",bcab-c09a-6584-3b26,Wolf Guard Battle Leader in Terminator Armour [Legends],Imperium - Adeptus Astartes - Space Wolves,model,1,1,unmatched_unit,0.75,name similarity 0.71; token overlap 0.57; faction compatible,SPACE WOLVES,Wolf Guard Battle Leader,,40mm,,,,,,,,,,
24,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Venerable Contemptor Dreadnought'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",783a-1c02-b377-b169,Relic Contemptor Dreadnought [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.75,name similarity 0.83; token overlap 0.50,ADEPTUS CUSTODES,Venerable Contemptor Dreadnought,,60mm,,,,,,,,,,
25,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Tesseract Vault'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",ef1-14e1-cf28-4701,Tesseract Ark [Legends],Xenos - Necrons,model,1,1,unmatched_unit,0.75,name similarity 0.79; token overlap 0.33; faction compatible,NECRONS,Tesseract Vault,,120x92mm Oval Base,,,,,,,,,,
26,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Carnifexes'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",92a2-7511-1173-a696,Carnifex,Xenos - Tyranids,model,1,1,unmatched_unit,0.75,name similarity 0.89; token overlap 0.00; faction compatible,TYRANIDS,Carnifexes,,105x70mm Oval Base,,,,,,,,,,
27,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Ravenwing Command Squad'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",48fb-ebd6-dd17-729b,Deathwing Command Squad [Legends],Imperium - Adeptus Astartes - Dark Angels,unit,6,11,unmatched_unit,0.74,name similarity 0.76; token overlap 0.33; faction compatible,DARK ANGELS,Ravenwing Command Squad,,75x42mm Oval Base,,,,,,,,,,
28,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Canoptek Macrocytes'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",a7e1-5b53-1d89-e1e3,Canoptek Acanthrites [Legends],Xenos - Necrons,unit,3,6,unmatched_unit,0.74,name similarity 0.77; token overlap 0.33; faction compatible,NECRONS,Canoptek Macrocytes,,28.5mm,,,,,,,,,,
29,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Victrix Honour Guard'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",f4a3-1616-2f8e-59a3,Ultramarines Honour Guard [Legends],Imperium - Adeptus Astartes - Ultramarines,unit,4,4,unmatched_unit,0.74,name similarity 0.71; token overlap 0.50; faction compatible,SPACE MARINES,Victrix Honour Guard,,40mm,,,,,,,,,,
30,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Chaos Lord'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",2dfd-2e5f-53f2-b695,Chaos Lord on Bike [Legends],Chaos - Chaos Space Marines,model,1,1,unmatched_unit,0.74,name similarity 0.71; token overlap 0.50; faction compatible,CHAOS SPACE MARINES,Chaos Lord,,40mm,,,,,,,,,,
31,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Dreadnought'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",64c7-8b87-1b4f-7850,Ironclad Dreadnought [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.74,name similarity 0.71; token overlap 0.50; faction compatible,SPACE MARINES,Dreadnought,,60mm,,,,,,,,,,
32,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Wolf Guard Headtakers'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",5d99-8592-a934-48d9,Wolf Guard Pack Leader [Legends],Imperium - Adeptus Astartes - Space Wolves,model,1,1,unmatched_unit,0.74,name similarity 0.74; token overlap 0.40; faction compatible,SPACE WOLVES,Wolf Guard Headtakers,,40mm,,,,,,,,,,
33,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Commissar'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",50b8-1f13-9807-0069,Commissar Graves,Imperium - Astra Militarum - Library,model,1,1,unmatched_unit,0.74,name similarity 0.72; token overlap 0.50; faction compatible,ASTRA MILITARUM,Commissar,,28.5mm,,,,,,,,,,
34,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Blitza-bommer'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",dd02-c92c-fb0a-54ec,Fighta-Bommer [Legends],Xenos - Orks,model,1,1,unmatched_unit,0.74,name similarity 0.77; token overlap 0.33; faction compatible,ORKS,Blitza-bommer,,120x92mm Oval Base,,,,,,,,,,
35,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Death Korps of Krieg'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",8a25-2a0c-87d2-3ea6,Death Korps Grenadier Squad [Legends],Imperium - Astra Militarum - Library,unit,12,12,unmatched_unit,0.73,name similarity 0.73; token overlap 0.40; faction compatible,ASTRA MILITARUM,Death Korps of Krieg,,25mm,,,,,,,,,,
36,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Wolf Guard Headtakers'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",8486-fe44-efc3-e51b,Wolf Guard [Legends],Imperium - Adeptus Astartes - Space Wolves,unit,5,10,unmatched_unit,0.73,name similarity 0.65; token overlap 0.67; faction compatible,SPACE WOLVES,Wolf Guard Headtakers,,40mm,,,,,,,,,,
37,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Inquisitor Draxus'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",6315-d3e6-aa1c-69e4,Inquisitor Ostromandeus [Legends],Imperium - Agents of the Imperium,unit,2,2,unmatched_unit,0.73,name similarity 0.75; token overlap 0.33; faction compatible,IMPERIAL AGENTS,Inquisitor Draxus,,32mm,,,,,,,,,,
38,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Knight Desecrator'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",c0a2-eb65-6d34-5bc6,Knight Ruinator,Chaos - Chaos Knights Library,model,1,1,unmatched_unit,0.73,name similarity 0.75; token overlap 0.33; faction compatible,CHAOS KNIGHTS,Knight Desecrator,,170x109mm Oval Base,,,,,,,,,,
39,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Captain'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",ae0a-e23c-2184-7c65,Captain Tycho [Legends],Imperium - Adeptus Astartes - Blood Angels,model,1,1,unmatched_unit,0.73,name similarity 0.70; token overlap 0.50; faction compatible,SPACE MARINES,Captain,,40mm,,,,,,,,,,
40,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Chaplain with Jump Pack'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",45af-a02e-e8e2-49f,Librarian with Jump Pack [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.73,name similarity 0.70; token overlap 0.50; faction compatible,SPACE MARINES,Chaplain with Jump Pack,,32mm,,,,,,,,,,
41,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Ironstrider Ballistarii'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",6b3e-11ad-7a9d-ca5d,Ironstrider Alpha [Crucible],Imperium - Adeptus Mechanicus,model,1,1,unmatched_unit,0.73,name similarity 0.75; token overlap 0.33; faction compatible,ADEPTUS MECHANICUS,Ironstrider Ballistarii,,105x70mm Oval Base,,,,,,,,,,
42,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Leman Russ Vanquisher'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",731f-e022-6394-3690,Macharius Vanquisher [Legends],Imperium - Astra Militarum - Library,model,1,1,unmatched_unit,0.73,name similarity 0.78; token overlap 0.25; faction compatible,ASTRA MILITARUM,Leman Russ Vanquisher,,Hull,,,,,,,,,,
43,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Chimera'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",b6a7-4d64-1155-70c1,Storm Chimera [Legends],Imperium - Astra Militarum - Library,model,1,1,unmatched_unit,0.73,name similarity 0.70; token overlap 0.50; faction compatible,ASTRA MILITARUM,Chimera,,Hull,,,,,,,,,,
44,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Hand of the Archon'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",b221-43a3-8bee-117c,Court of the Archon [Legends],Aeldari - Aeldari Library,unit,4,4,unmatched_unit,0.72,name similarity 0.69; token overlap 0.50; faction compatible,DRUKHARI,Hand of the Archon,,25mm,,,,,,,,,,
45,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Farseer Skyrunner'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",915f-4ee6-3358-31ca,Skyrunner [Crucible],Aeldari - Aeldari Library,model,1,1,unmatched_unit,0.72,name similarity 0.69; token overlap 0.50; faction compatible,AELDARI,Farseer Skyrunner,,Small Flying Base,,,,,,,,,,
46,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Dreadnought'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",b6e0-b465-801c-24c8,Librarian Dreadnought [Legends],Imperium - Adeptus Astartes - Blood Angels,model,1,1,unmatched_unit,0.72,name similarity 0.69; token overlap 0.50; faction compatible,SPACE MARINES,Dreadnought,,60mm,,,,,,,,,,
47,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Deathwatch Veterans'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",9a75-f3a2-bff5-9f08,Deathwatch Agent [Crucible],Imperium - Agents of the Imperium,model,1,1,unmatched_unit,0.72,name similarity 0.74; token overlap 0.33; faction compatible,DEATHWATCH,Deathwatch Veterans,,32mm,,,,,,,,,,
48,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Commissar'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",3962-1fa9-7088-aedd,Commissar Yarrick,Imperium - Astra Militarum - Library,model,1,1,unmatched_unit,0.72,name similarity 0.69; token overlap 0.50; faction compatible,ASTRA MILITARUM,Commissar,,28.5mm,,,,,,,,,,
49,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Redemptor Dreadnought'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",d38d-c3a2-f753-efea,Deredeo Dreadnought [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.72,name similarity 0.85; token overlap 0.33,SPACE MARINES,Redemptor Dreadnought,,90mm,,,,,,,,,,
50,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Land Raider'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",34c8-1025-33f7-baaf,Land Raider Proteus [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.72,name similarity 0.73; token overlap 0.67,GREY KNIGHTS,Land Raider,,Hull,,,,,,,,,,
51,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Canoptek Tomb Crawlers'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",9519-5dbc-ab5-c720,Canoptek Tomb Sentinel [Legends],Xenos - Necrons,model,1,1,unmatched_unit,0.72,name similarity 0.68; token overlap 0.50; faction compatible,NECRONS,Canoptek Tomb Crawlers,,50mm,,,,,,,,,,
52,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Wolf Guard Battle Leader'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",a60f-7d3a-d2f8-60cd,Wolf Guard Pack Leader with Jump Pack [Legends],Imperium - Adeptus Astartes - Space Wolves,model,1,1,unmatched_unit,0.71,name similarity 0.68; token overlap 0.50; faction compatible,SPACE WOLVES,Wolf Guard Battle Leader,,40mm,,,,,,,,,,
53,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Knight Defender'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",10d8-d702-f556-5d3c,Knight Destrier,Imperium - Imperial Knights - Library,model,1,1,unmatched_unit,0.71,name similarity 0.73; token overlap 0.33; faction compatible,IMPERIAL KNIGHTS,Knight Defender,,170x109mm Oval Base,,,,,,,,,,
54,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Scout Squad'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",699f-a59e-baa6-ba8b,Scout Bike Squad [Legends],Imperium - Adeptus Astartes - Space Marines,unit,4,7,unmatched_unit,0.70,name similarity 0.67; token overlap 0.50; faction compatible,SPACE MARINES,Scout Squad,,28.5mm,,,,,,,,,,
55,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Plague Drones'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",a5c9-6285-af1e-3cc3,Plague Toads [Legends],Chaos - Daemons Library,unit,3,3,unmatched_unit,0.70,name similarity 0.72; token overlap 0.33; faction compatible,CHAOS DAEMONS,Plague Drones,,Large Flying Base,,,,,,,,,,
56,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Krootox Riders'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",f4b8-7132-6738-547c,Knarloc Riders [Legends],Xenos - T'au Empire,unit,3,3,unmatched_unit,0.70,name similarity 0.71; token overlap 0.33; faction compatible,T’AU EMPIRE,Krootox Riders,,50mm,,,,,,,,,,
57,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Apothecary'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",449f-a74d-e85a-2684,Apothecary on Bike [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.70,name similarity 0.71; token overlap 0.33; faction compatible,SPACE MARINES,Apothecary,,40mm,,,,,,,,,,
58,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Chaplain on Bike'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",97c3-20c8-4c99-39e5,Company Champion on Bike [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.70,name similarity 0.70; token overlap 0.40; faction compatible,SPACE MARINES,Chaplain on Bike,,90x52.5mm Oval Base,,,,,,,,,,
59,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Chaplain on Bike'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",1039-4a94-c791-9e1d,Librarian on Bike [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.70,name similarity 0.67; token overlap 0.50; faction compatible,SPACE MARINES,Chaplain on Bike,,90x52.5mm Oval Base,,,,,,,,,,
60,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Thunderhawk Gunship'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",1051-f1e8-4ef2-4575,Thunderhawk Transporter [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.70,name similarity 0.71; token overlap 0.33; faction compatible,SPACE MARINES,Thunderhawk Gunship,,Unique,,,,,,,,,,
61,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Chaplain'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",b180-3cac-9124-b818,Chaplain Cassius [Legends],Imperium - Adeptus Astartes - Ultramarines,model,1,1,unmatched_unit,0.70,name similarity 0.67; token overlap 0.50; faction compatible,SPACE MARINES,Chaplain,,40mm,,,,,,,,,,
62,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Inquisitor'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",d4d2-5f39-6a24-60ab,Inquisitor Eisenhorn [Legends],Imperium - Agents of the Imperium,model,1,1,unmatched_unit,0.70,name similarity 0.67; token overlap 0.50; faction compatible,IMPERIAL AGENTS,Inquisitor,,32mm,,,,,,,,,,
63,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Inquisitor'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",4349-390e-e183-f0b,Inquisitor Karamazov [Legends],Imperium - Agents of the Imperium,model,1,1,unmatched_unit,0.70,name similarity 0.67; token overlap 0.50; faction compatible,IMPERIAL AGENTS,Inquisitor,,32mm,,,,,,,,,,
64,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Manticore'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",adbb-4624-738f-61ec,Manticore Platform [Legends],Imperium - Astra Militarum - Library,model,1,1,unmatched_unit,0.70,name similarity 0.67; token overlap 0.50; faction compatible,ASTRA MILITARUM,Manticore,,Hull,,,,,,,,,,
65,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Land Raider'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",3006-ffe-2b0c-6b1b,Land Raider Achilles [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.70,name similarity 0.71; token overlap 0.67,GREY KNIGHTS,Land Raider,,Hull,,,,,,,,,,
66,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Gretchin'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",6a69-8e75-49ae-408f,Upstart Gretchin [Crucible],Xenos - Orks,model,1,1,unmatched_unit,0.70,name similarity 0.67; token overlap 0.50; faction compatible,ORKS,Gretchin,,25mm,,,,,,,,,,
