weapon_id,unit_id,name,weapon_type,attacks,skill,strength,ap,damage,keywords,hit_modifier,wound_modifier,reroll_hits,reroll_wounds,lethal_hits,sustained_hits,devastating_wounds,source_file
497a-263e-966a-5a15:dragon-fusion-pistol,497a-263e-966a-5a15,Dragon Fusion Pistol,ranged,1,2+,9,-4,D6,"Assault, Melta 3, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:dragon-fusion-gun,497a-263e-966a-5a15,Dragon Fusion Gun,ranged,1,2+,9,-4,D6,"Assault, Melta 3",,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:death-spinner,497a-263e-966a-5a15,Death Spinner,ranged,D6,N/A,4,-1,1,"Ignores Cover, Torrent",,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:➤-reaper-launcher---starshot,497a-263e-966a-5a15,➤ Reaper Launcher - Starshot,ranged,1,3+,10,-2,3,"Heavy, Ignores Cover",,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:➤-reaper-launcher---starswarm,497a-263e-966a-5a15,➤ Reaper Launcher - Starswarm,ranged,2,3+,4,-2,1,"Heavy, Ignores Cover",,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:shuriken-pistol,497a-263e-966a-5a15,Shuriken Pistol,ranged,1,2+,4,-1,1,"Assault, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:star-glaive,497a-263e-966a-5a15,Star Glaive,melee,4,2+,6,-3,3,-,,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:banshee-blade,497a-263e-966a-5a15,Banshee Blade,melee,5,2+,4,-2,2,Anti-Infantry 3+,,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:scorpion-chainsword,497a-263e-966a-5a15,Scorpion Chainsword,melee,7,2+,4,-1,1,Sustained Hits 1,,,,,,,,Aeldari - Aeldari Library.cat
554c-8b4f-1059-28a7:the-wailing-doom,554c-8b4f-1059-28a7,The Wailing Doom,ranged,1,2+,16,-4,D6+2,Sustained Hits D3,,,,,,,,Aeldari - Aeldari Library.cat
554c-8b4f-1059-28a7:➤-the-wailing-doom---strike,554c-8b4f-1059-28a7,➤ The Wailing Doom - Strike,melee,6,2+,16,-4,D6+2,-,,,,,,,,Aeldari - Aeldari Library.cat
554c-8b4f-1059-28a7:➤-the-wailing-doom---sweep,554c-8b4f-1059-28a7,➤ The Wailing Doom - Sweep,melee,12,2+,8,-2,2,-,,,,,,,,Aeldari - Aeldari Library.cat
8732-df2f-a542-805f:the-shining-blade,8732-df2f-a542-805f,The Shining Blade,melee,6,2+,5,-2,2,Sustained Hits 1,,,,,,,,Aeldari - Aeldari Library.cat
8732-df2f-a542-805f:fury-of-the-tempest,8732-df2f-a542-805f,Fury of the Tempest,ranged,4,2+,6,-1,2,"Assault, Lethal Hits",,,,,,,,Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043:bright-lance,90c9-aaac-5ef8-f043,Bright Lance,ranged,1,3+,12,-3,D6+2,-,,,,,,,,Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043:starcannon,90c9-aaac-5ef8-f043,Starcannon,ranged,2,3+,8,-3,2,-,,,,,,,,Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043:wraithbone-hull,90c9-aaac-5ef8-f043,Wraithbone Hull,melee,3,4+,6,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043:pulse-laser,90c9-aaac-5ef8-f043,Pulse Laser,ranged,3,3+,9,-2,D6,-,,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:➤-reaper-launcher---starshot,6863-bf42-238a-fd0b,➤ Reaper Launcher - Starshot,ranged,1,3+,10,-2,3,Ignores Cover,,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:➤-reaper-launcher---starswarm,6863-bf42-238a-fd0b,➤ Reaper Launcher - Starswarm,ranged,2,3+,5,-2,1,Ignores Cover,,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:➤-missile-launcher---starshot,6863-bf42-238a-fd0b,➤ Missile Launcher - Starshot,ranged,1,2+,10,-2,D6,Ignores Cover,,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:➤-missile-launcher---sunburst,6863-bf42-238a-fd0b,➤ Missile Launcher - Sunburst,ranged,D6,2+,4,-1,1,"Blast, Ignores Cover",,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:tempest-launcher,6863-bf42-238a-fd0b,Tempest Launcher,ranged,2D6,3+,4,-1,1,"Blast, Indirect Fire",,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:shuriken-cannon,6863-bf42-238a-fd0b,Shuriken Cannon,ranged,3,3+,6,-1,2,"Ignores Cover, Lethal Hits",,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:close-combat-weapon,6863-bf42-238a-fd0b,Close combat weapon,melee,2,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
c987-279a-41a9-cf8d:close-combat-weapon,c987-279a-41a9-cf8d,Close combat weapon,melee,2,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
c987-279a-41a9-cf8d:➤-reaper-launcher---starshot,c987-279a-41a9-cf8d,➤ Reaper Launcher - Starshot,ranged,1,3+,10,-2,3,Ignores Cover,,,,,,,,Aeldari - Aeldari Library.cat
c987-279a-41a9-cf8d:➤-reaper-launcher---starswarm,c987-279a-41a9-cf8d,➤ Reaper Launcher - Starswarm,ranged,2,3+,5,-2,1,Ignores Cover,,,,,,,,Aeldari - Aeldari Library.cat
d6b7-fd85-14f8-eb54:➤-reaper-launcher---starshot,d6b7-fd85-14f8-eb54,➤ Reaper Launcher - Starshot,ranged,1,3+,10,-2,3,Ignores Cover,,,,,,,,Aeldari - Aeldari Library.cat
d6b7-fd85-14f8-eb54:➤-reaper-launcher---starswarm,d6b7-fd85-14f8-eb54,➤ Reaper Launcher - Starswarm,ranged,2,3+,5,-2,1,Ignores Cover,,,,,,,,Aeldari - Aeldari Library.cat
d6b7-fd85-14f8-eb54:➤-missile-launcher---starshot,d6b7-fd85-14f8-eb54,➤ Missile Launcher - Starshot,ranged,1,2+,10,-2,D6,Ignores Cover,,,,,,,,Aeldari - Aeldari Library.cat
d6b7-fd85-14f8-eb54:➤-missile-launcher---sunburst,d6b7-fd85-14f8-eb54,➤ Missile Launcher - Sunburst,ranged,D6,2+,4,-1,1,"Blast, Ignores Cover",,,,,,,,Aeldari - Aeldari Library.cat
d6b7-fd85-14f8-eb54:tempest-launcher,d6b7-fd85-14f8-eb54,Tempest Launcher,ranged,2D6,3+,4,-1,1,"Blast, Indirect Fire",,,,,,,,Aeldari - Aeldari Library.cat
d6b7-fd85-14f8-eb54:shuriken-cannon,d6b7-fd85-14f8-eb54,Shuriken Cannon,ranged,3,3+,6,-1,2,"Ignores Cover, Lethal Hits",,,,,,,,Aeldari - Aeldari Library.cat
d6b7-fd85-14f8-eb54:close-combat-weapon,d6b7-fd85-14f8-eb54,Close combat weapon,melee,2,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
5768-1f87-3a16-d901:shrieker-cannon,5768-1f87-3a16-d901,Shrieker Cannon,ranged,3,2+,6,-2,2,-,,,,,,,,Aeldari - Aeldari Library.cat
5768-1f87-3a16-d901:jester's-blade,5768-1f87-3a16-d901,Jester's Blade,melee,4,2+,4,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:power-glaive,e6c2-f3b2-6d3e-c3d3,Power Glaive,melee,3,3+,5,-3,1,-,,,,,,,,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:diresword,e6c2-f3b2-6d3e-c3d3,Diresword,melee,4,3+,4,-2,1,-,,,,,,,,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:avenger-shuriken-catapult,e6c2-f3b2-6d3e-c3d3,Avenger Shuriken Catapult,ranged,4,3+,4,-1,1,Assault,,,,,,,,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:shuriken-pistol,e6c2-f3b2-6d3e-c3d3,Shuriken Pistol,ranged,1,3+,4,-1,1,"Assault, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:close-combat-weapon,e6c2-f3b2-6d3e-c3d3,Close Combat Weapon,melee,2,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
b542-fa0c-e63b-53dc:close-combat-weapon,b542-fa0c-e63b-53dc,Close Combat Weapon,melee,2,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
b542-fa0c-e63b-53dc:avenger-shuriken-catapult,b542-fa0c-e63b-53dc,Avenger Shuriken Catapult,ranged,4,3+,4,-1,1,Assault,,,,,,,,Aeldari - Aeldari Library.cat
3bfb-bdff-19cf-570d:power-glaive,3bfb-bdff-19cf-570d,Power Glaive,melee,3,3+,5,-3,1,-,,,,,,,,Aeldari - Aeldari Library.cat
3bfb-bdff-19cf-570d:diresword,3bfb-bdff-19cf-570d,Diresword,melee,4,3+,4,-2,1,-,,,,,,,,Aeldari - Aeldari Library.cat
3bfb-bdff-19cf-570d:avenger-shuriken-catapult,3bfb-bdff-19cf-570d,Avenger Shuriken Catapult,ranged,4,3+,4,-1,1,Assault,,,,,,,,Aeldari - Aeldari Library.cat
3bfb-bdff-19cf-570d:shuriken-pistol,3bfb-bdff-19cf-570d,Shuriken Pistol,ranged,1,3+,4,-1,1,"Assault, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
3bfb-bdff-19cf-570d:close-combat-weapon,3bfb-bdff-19cf-570d,Close Combat Weapon,melee,2,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
f48e-276e-a997-c90e:mind-war,f48e-276e-a997-c90e,Mind War,ranged,1,2+,5,-2,D6,"Anti-character 4+, Precision, Psychic",,,,,,,,Aeldari - Aeldari Library.cat
f48e-276e-a997-c90e:staff-of-ulthamar-and-witchblade,f48e-276e-a997-c90e,Staff of Ulthamar and witchblade,melee,3,2+,5,-1,2,"Anti-Infantry 2+, Psychic",,,,,,,,Aeldari - Aeldari Library.cat
f48e-276e-a997-c90e:shuriken-pistol,f48e-276e-a997-c90e,Shuriken Pistol,ranged,1,2+,4,-1,1,"Assault, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:shuriken-cannon,1d83-167-486c-bac4,Shuriken Cannon,ranged,3,3+,6,-1,2,Lethal Hits,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:starcannon,1d83-167-486c-bac4,Starcannon,ranged,2,3+,8,-3,2,-,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:scatter-laser,1d83-167-486c-bac4,Scatter Laser,ranged,6,3+,5,0,1,Sustained Hits 1,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:bright-lance,1d83-167-486c-bac4,Bright Lance,ranged,1,3+,12,-3,D6+2,-,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:➤-missile-launcher---starshot,1d83-167-486c-bac4,➤ Missile Launcher - Starshot,ranged,1,3+,10,-2,D6,-,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:➤-missile-launcher---sunburst,1d83-167-486c-bac4,➤ Missile Launcher - Sunburst,ranged,D6,3+,4,-1,1,Blast,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:twin-shuriken-catapult,1d83-167-486c-bac4,Twin Shuriken Catapult,ranged,2,3+,4,-1,1,"Assault, Twin Linked",,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:wraithbone-hull,1d83-167-486c-bac4,Wraithbone hull,melee,3,4+,6,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:pulse-laser,1d83-167-486c-bac4,Pulse Laser,ranged,3,3+,9,-2,D6,-,,,,,,,,Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:singing-spear,b2f5-8219-f875-917e,Singing Spear,ranged,1,2+,9,0,3,"Assault, Psychic",,,,,,,,Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:witchblade,b2f5-8219-f875-917e,Witchblade,melee,2,2+,3,0,2,"Anti-Infantry 2+, Psychic",,,,,,,,Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:shuriken-pistol,b2f5-8219-f875-917e,Shuriken Pistol,ranged,1,3+,4,-1,1,"Assault, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:eldritch-storm,b2f5-8219-f875-917e,Eldritch Storm,ranged,D6,3+,6,-2,D3,"Blast, Psychic",,,,,,,,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:singing-spear,833b-55bc-73be-8862,Singing Spear,ranged,1,3+,9,0,3,"Assault, Psychic",,,,,,,,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:witchblade,833b-55bc-73be-8862,Witchblade,melee,2,2+,3,0,2,"Anti-Infantry 2+, Psychic",,,,,,,,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:twin-shuriken-catapult,833b-55bc-73be-8862,Twin Shuriken Catapult,ranged,2,3+,4,-1,1,"Assault, Twin Linked",,,,,,,,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:shuriken-pistol,833b-55bc-73be-8862,Shuriken Pistol,ranged,1,3+,4,-1,1,"Assault, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:eldritch-storm,833b-55bc-73be-8862,Eldritch Storm,ranged,D6,3+,6,-2,D3,"Blast, Psychic",,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:dragon-fusion-pistol,5374-9e93-8af2-819e,Dragon Fusion Pistol,ranged,1,3+,9,-4,D6,"Assault, Melta 3, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:dragon-axe,5374-9e93-8af2-819e,Dragon Axe,melee,3,3+,6,-4,D6,-,,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:firepike,5374-9e93-8af2-819e,Firepike,ranged,1,3+,12,-4,D6,"Assault, Melta 3",,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:dragon's-breath-flamer,5374-9e93-8af2-819e,Dragon's Breath Flamer,ranged,D6+2,N/A,6,-2,1,"Assault, Ignores cover, Torrent",,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:exarch's-dragon-fusion-gun,5374-9e93-8af2-819e,Exarch's Dragon Fusion Gun,ranged,1,3+,9,-4,D6,"Assault, Melta 6",,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:close-combat-weapon,5374-9e93-8af2-819e,Close combat weapon,melee,2,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:dragon-fusion-gun,5374-9e93-8af2-819e,Dragon Fusion Gun,ranged,1,3+,9,-4,D6,"Assault, Melta 3",,,,,,,,Aeldari - Aeldari Library.cat
b164-9141-3a78-fb7b:close-combat-weapon,b164-9141-3a78-fb7b,Close combat weapon,melee,2,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
b164-9141-3a78-fb7b:dragon-fusion-gun,b164-9141-3a78-fb7b,Dragon Fusion Gun,ranged,1,3+,9,-4,D6,"Assault, Melta 3",,,,,,,,Aeldari - Aeldari Library.cat
28a8-c192-56f-8b00:dragon-fusion-pistol,28a8-c192-56f-8b00,Dragon Fusion Pistol,ranged,1,3+,9,-4,D6,"Assault, Melta 3, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
28a8-c192-56f-8b00:dragon-axe,28a8-c192-56f-8b00,Dragon Axe,melee,3,3+,6,-4,D6,-,,,,,,,,Aeldari - Aeldari Library.cat
28a8-c192-56f-8b00:firepike,28a8-c192-56f-8b00,Firepike,ranged,1,3+,12,-4,D6,"Assault, Melta 3",,,,,,,,Aeldari - Aeldari Library.cat
28a8-c192-56f-8b00:dragon's-breath-flamer,28a8-c192-56f-8b00,Dragon's Breath Flamer,ranged,D6+2,N/A,6,-2,1,"Assault, Ignores cover, Torrent",,,,,,,,Aeldari - Aeldari Library.cat
28a8-c192-56f-8b00:exarch's-dragon-fusion-gun,28a8-c192-56f-8b00,Exarch's Dragon Fusion Gun,ranged,1,3+,9,-4,D6,"Assault, Melta 6",,,,,,,,Aeldari - Aeldari Library.cat
28a8-c192-56f-8b00:close-combat-weapon,28a8-c192-56f-8b00,Close combat weapon,melee,2,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:shuriken-cannon,9940-a69b-682e-ccf4,Shuriken Cannon,ranged,3,3+,6,-1,2,Lethal Hits,,,,,,,,Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:twin-shuriken-catapult,9940-a69b-682e-ccf4,Twin Shuriken Catapult,ranged,2,3+,4,-1,1,"Assault, Twin Linked",,,,,,,,Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:wraithbone-hull,9940-a69b-682e-ccf4,Wraithbone Hull,melee,3,4+,6,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:➤-prism-cannon---dispersed-pulse,9940-a69b-682e-ccf4,➤ Prism Cannon - dispersed pulse,ranged,2D6,3+,6,-2,2,Blast,,,,,,,,Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:➤-prism-cannon---focused-lances,9940-a69b-682e-ccf4,➤ Prism Cannon - focused lances,ranged,2,3+,18,-4,6,Linked Fire,,,,,,,,Aeldari - Aeldari Library.cat
9262-3993-1368-be5a:the-fire-axe,9262-3993-1368-be5a,The Fire Axe,melee,6,2+,5,-4,3,-,,,,,,,,Aeldari - Aeldari Library.cat
9262-3993-1368-be5a:➤-searsong---beam,9262-3993-1368-be5a,➤ Searsong - Beam,ranged,3,2+,8,-3,2,"Assault, Melta 1, Sustained hits 2",,,,,,,,Aeldari - Aeldari Library.cat
9262-3993-1368-be5a:➤-searsong---lance,9262-3993-1368-be5a,➤ Searsong - Lance,ranged,1,2+,14,-4,D6,"Assault, Melta 6",,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:close-combat-weapon,e78a-4442-4ed2-66bf,Close Combat Weapon,melee,1,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:shuriken-cannon,e78a-4442-4ed2-66bf,Shuriken Cannon,ranged,3,3+,6,-1,2,Lethal Hits,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:starcannon,e78a-4442-4ed2-66bf,Starcannon,ranged,2,3+,8,-3,2,-,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:scatter-laser,e78a-4442-4ed2-66bf,Scatter Laser,ranged,6,3+,5,0,1,Sustained Hits 1,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:bright-lance,e78a-4442-4ed2-66bf,Bright Lance,ranged,1,3+,12,-3,D6+2,-,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:➤-missile-launcher---starshot,e78a-4442-4ed2-66bf,➤ Missile Launcher - Starshot,ranged,1,3+,10,-2,D6,-,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:➤-missile-launcher---sunburst,e78a-4442-4ed2-66bf,➤ Missile Launcher - Sunburst,ranged,D6,3+,4,-1,1,Blast,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:shuriken-catapult,e78a-4442-4ed2-66bf,Shuriken Catapult,ranged,2,3+,4,-1,1,Assault,,,,,,,,Aeldari - Aeldari Library.cat
aadc-3bf5-718f-9b32:shuriken-catapult,aadc-3bf5-718f-9b32,Shuriken Catapult,ranged,2,3+,4,-1,1,Assault,,,,,,,,Aeldari - Aeldari Library.cat
aadc-3bf5-718f-9b32:close-combat-weapon,aadc-3bf5-718f-9b32,Close Combat Weapon,melee,1,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
a0fe-e6a5-ab71-82ca:close-combat-weapon,a0fe-e6a5-ab71-82ca,Close Combat Weapon,melee,1,3+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
a0fe-e6a5-ab71-82ca:shuriken-cannon,a0fe-e6a5-ab71-82ca,Shuriken Cannon,ranged,3,3+,6,-1,2,Lethal Hits,,,,,,,,Aeldari - Aeldari Library.cat
a0fe-e6a5-ab71-82ca:starcannon,a0fe-e6a5-ab71-82ca,Starcannon,ranged,2,3+,8,-3,2,-,,,,,,,,Aeldari - Aeldari Library.cat
a0fe-e6a5-ab71-82ca:scatter-laser,a0fe-e6a5-ab71-82ca,Scatter Laser,ranged,6,3+,5,0,1,Sustained Hits 1,,,,,,,,Aeldari - Aeldari Library.cat
a0fe-e6a5-ab71-82ca:bright-lance,a0fe-e6a5-ab71-82ca,Bright Lance,ranged,1,3+,12,-3,D6+2,-,,,,,,,,Aeldari - Aeldari Library.cat
a0fe-e6a5-ab71-82ca:➤-missile-launcher---starshot,a0fe-e6a5-ab71-82ca,➤ Missile Launcher - Starshot,ranged,1,3+,10,-2,D6,-,,,,,,,,Aeldari - Aeldari Library.cat
a0fe-e6a5-ab71-82ca:➤-missile-launcher---sunburst,a0fe-e6a5-ab71-82ca,➤ Missile Launcher - Sunburst,ranged,D6,3+,4,-1,1,Blast,,,,,,,,Aeldari - Aeldari Library.cat
551b-900c-3681-8f11:wraithbone-hull,551b-900c-3681-8f11,Wraithbone Hull,melee,3,4+,6,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
551b-900c-3681-8f11:heavy-d-scythe,551b-900c-3681-8f11,Heavy D-Scythe,ranged,D6,4+,12,-4,2,Blast,,,,,,,,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:mirrorswords,7fcb-9262-474a-7cec,Mirrorswords,melee,4,2+,4,-2,2,Anti-Infantry 3+,,,,,,,,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:shuriken-pistol,7fcb-9262-474a-7cec,Shuriken Pistol,ranged,1,3+,4,-1,1,"Assault, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:triskele,7fcb-9262-474a-7cec,Triskele,melee,6,2+,3,-1,1,Anti-Infantry 3+,,,,,,,,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:executioner,7fcb-9262-474a-7cec,Executioner,melee,3,2+,6,-3,3,Anti-Infantry 3+,,,,,,,,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:banshee-blade,7fcb-9262-474a-7cec,Banshee Blade,melee,2,2+,4,-2,2,Anti-Infantry 3+,,,,,,,,Aeldari - Aeldari Library.cat
11cf-b2e1-4900-d949:shuriken-pistol,11cf-b2e1-4900-d949,Shuriken Pistol,ranged,1,3+,4,-1,1,"Assault, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
11cf-b2e1-4900-d949:banshee-blade,11cf-b2e1-4900-d949,Banshee Blade,melee,2,2+,4,-2,2,Anti-Infantry 3+,,,,,,,,Aeldari - Aeldari Library.cat
7fe3-e0ce-74fa-d501:mirrorswords,7fe3-e0ce-74fa-d501,Mirrorswords,melee,4,2+,4,-2,2,Anti-Infantry 3+,,,,,,,,Aeldari - Aeldari Library.cat
7fe3-e0ce-74fa-d501:shuriken-pistol,7fe3-e0ce-74fa-d501,Shuriken Pistol,ranged,1,3+,4,-1,1,"Assault, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
7fe3-e0ce-74fa-d501:triskele,7fe3-e0ce-74fa-d501,Triskele,melee,6,2+,3,-1,1,Anti-Infantry 3+,,,,,,,,Aeldari - Aeldari Library.cat
7fe3-e0ce-74fa-d501:executioner,7fe3-e0ce-74fa-d501,Executioner,melee,3,2+,6,-3,3,Anti-Infantry 3+,,,,,,,,Aeldari - Aeldari Library.cat
7fe3-e0ce-74fa-d501:banshee-blade,7fe3-e0ce-74fa-d501,Banshee Blade,melee,2,2+,4,-2,2,Anti-Infantry 3+,,,,,,,,Aeldari - Aeldari Library.cat
