faction,unit_name,selection_type,unit_id,source_file,points,models_min,models_max,total_weapons,ranged_weapons,melee_weapons,coverage
Aeldari - Aeldari Library,Starfangs,unit,a074-87f8-810d-492a,Aeldari - Aeldari Library.cat,15,1,2,3,2,1,both
Aeldari - Aeldari Library,Starweaver,model,854b-f8e-28fa-8c24,Aeldari - Aeldari Library.cat,0,1,1,2,1,1,both
Aeldari - Aeldari Library,Storm Guardians,unit,5452-c4a7-59fb-f05c,Aeldari - Aeldari Library.cat,110,11,11,5,3,2,both
Aeldari - Aeldari Library,Striking Scorpion,model,7951-147c-d415-80e6,Aeldari - Aeldari Library.cat,,1,1,2,1,1,both
Aeldari - Aeldari Library,Striking Scorpion Exarch,model,5da0-f588-d644-cffa,Aeldari - Aeldari Library.cat,,1,1,5,1,4,both
Aeldari - Aeldari Library,Striking Scorpions,unit,c90f-a8e5-6afa-eb91,Aeldari - Aeldari Library.cat,85,5,10,5,1,4,both
Aeldari - Aeldari Library,Swooping Hawk,model,cab-941f-26cf-85bf,Aeldari - Aeldari Library.cat,,1,1,2,1,1,both
Aeldari - Aeldari Library,Swooping Hawk Exarch,model,68d0-cc03-e07d-b83e,Aeldari - Aeldari Library.cat,,1,1,6,4,2,both
Aeldari - Aeldari Library,Swooping Hawks,unit,240f-70a4-7ba7-a538,Aeldari - Aeldari Library.cat,95,5,10,7,5,2,both
Aeldari - Aeldari Library,Talos,unit,5c5f-b70b-f6ee-a81e,Aeldari - Aeldari Library.cat,80,1,2,9,5,4,both
Aeldari - Aeldari Library,Talos,model,6065-abbb-b1a0-4800,Aeldari - Aeldari Library.cat,,1,1,9,5,4,both
Aeldari - Aeldari Library,Tantalus [Legends],model,dfe4-d4db-9d04-9e7a,Aeldari - Aeldari Library.cat,230,1,1,2,1,1,both
Aeldari - Aeldari Library,The Yncarne,model,68fb-4b6f-2bf8-7105,Aeldari - Aeldari Library.cat,0,1,1,3,1,2,both
Aeldari - Aeldari Library,Troupe Master,model,dada-b81b-37bd-1f3b,Aeldari - Aeldari Library.cat,15,1,1,5,3,2,both
Aeldari - Aeldari Library,Urien Rakarth [Legends],model,76c4-e2ba-e247-560e,Aeldari - Aeldari Library.cat,0,1,1,2,1,1,both
Aeldari - Aeldari Library,Vampire Hunter [Legends],model,22ea-9a4-cda3-a24,Aeldari - Aeldari Library.cat,460,1,1,4,3,1,both
Aeldari - Aeldari Library,Vampire Raider [Legends],model,4016-44d3-c64b-cc1a,Aeldari - Aeldari Library.cat,430,1,1,3,2,1,both
Aeldari - Aeldari Library,Venom,model,ee2c-6ca0-5e29-37a6,Aeldari - Aeldari Library.cat,70,1,1,3,2,1,both
Aeldari - Aeldari Library,Vibro Cannon Platform,model,5df4-e13a-f6f4-b672,Aeldari - Aeldari Library.cat,60,1,1,3,2,1,both
Aeldari - Aeldari Library,Voidraven Bomber,model,71e1-7d54-4856-4ce1,Aeldari - Aeldari Library.cat,0,1,1,5,4,1,both
Aeldari - Aeldari Library,Voidweaver,model,e011-d99d-f0de-5289,Aeldari - Aeldari Library.cat,0,1,1,5,4,1,both
Aeldari - Aeldari Library,Vyper,model,d5e3-30bd-71e8-314b,Aeldari - Aeldari Library.cat,75,1,1,7,6,1,both
Aeldari - Aeldari Library,Vypers,unit,814d-56c9-78fe-2123,Aeldari - Aeldari Library.cat,75,1,2,7,6,1,both
Aeldari - Aeldari Library,War Walker,model,309a-28be-6cc6-a37c,Aeldari - Aeldari Library.cat,0,1,1,7,6,1,both
Aeldari - Aeldari Library,War Walkers,unit,bcec-dc54-9242-4e13,Aeldari - Aeldari Library.cat,0,1,2,7,6,1,both
Aeldari - Aeldari Library,Warlock,model,291f-2885-4512-f0cd,Aeldari - Aeldari Library.cat,15,1,1,4,3,1,both
Aeldari - Aeldari Library,Warlock Conclave,unit,d61-c058-6bd1-112f,Aeldari - Aeldari Library.cat,55,2,4,4,3,1,both
Aeldari - Aeldari Library,Warlock Skyrunner with Witchblade,model,b98a-4fbb-a3d8-1ada,Aeldari - Aeldari Library.cat,0,1,1,4,3,1,both
Aeldari - Aeldari Library,Warlock Skyrunners,unit,f52d-1814-7d66-1f7b,Aeldari - Aeldari Library.cat,45,1,2,5,4,1,both
Aeldari - Aeldari Library,Warlock with Witchblade,model,ab89-7505-ff1e-4ed,Aeldari - Aeldari Library.cat,,1,1,3,2,1,both
Aeldari - Aeldari Library,Warp Hunter [Legends],model,ef18-ff32-2be6-7372,Aeldari - Aeldari Library.cat,145,1,1,5,4,1,both
Aeldari - Aeldari Library,Warp Spider,model,88c0-fecd-682-e508,Aeldari - Aeldari Library.cat,,1,1,2,1,1,both
Aeldari - Aeldari Library,Warp Spider Exarch,model,f846-9526-462e-c472,Aeldari - Aeldari Library.cat,,1,1,6,3,3,both
Aeldari - Aeldari Library,Warp Spiders,unit,57ec-47a8-a59a-6a46,Aeldari - Aeldari Library.cat,105,5,10,7,4,3,both
Aeldari - Aeldari Library,Wasp Assault Walker [Legends],model,6c50-7486-7c0d-52d0,Aeldari - Aeldari Library.cat,0,1,1,7,6,1,both
Aeldari - Aeldari Library,Wave Serpent,model,ad88-f706-318c-e70e,Aeldari - Aeldari Library.cat,0,1,1,9,8,1,both
Aeldari - Aeldari Library,Wracks,unit,2659-7a1b-3ce6-8e4b,Aeldari - Aeldari Library.cat,60,4,9,6,4,2,both
Aeldari - Aeldari Library,Wraithguard,model,5049-c34-3679-6ab9,Aeldari - Aeldari Library.cat,0,1,1,3,2,1,both
Aeldari - Aeldari Library,Wraithguard,unit,5aa4-107-d7ee-f0f3,Aeldari - Aeldari Library.cat,160,5,5,3,2,1,both
Aeldari - Aeldari Library,Wraithknight,model,bfd-df5a-b358-4cf9,Aeldari - Aeldari Library.cat,0,1,1,6,5,1,both
Aeldari - Aeldari Library,Wraithknight with Ghostglaive,model,d756-653a-872b-5c1b,Aeldari - Aeldari Library.cat,0,1,1,6,4,2,both
Aeldari - Aeldari Library,Wraithlord,model,b9e9-397e-d83a-f77a,Aeldari - Aeldari Library.cat,0,1,1,11,8,3,both
Aeldari - Aeldari Library,Wraithseer [Legends],model,b369-a813-75ac-2dc6,Aeldari - Aeldari Library.cat,0,1,1,10,8,2,both
Aeldari - Aeldari Library,Wych,model,b88f-2f26-c0fc-8e88,Aeldari - Aeldari Library.cat,,1,1,2,1,1,both
Aeldari - Aeldari Library,Wyches,unit,edca-1a1b-902d-421a,Aeldari - Aeldari Library.cat,90,9,9,5,2,3,both
Aeldari - Aeldari Library,Ynnari Archon,model,5f10-27fc-f1e4-af90,Aeldari - Aeldari Library.cat,15,1,1,3,2,1,both
Aeldari - Aeldari Library,Ynnari Raider,model,8e15-3c74-d36f-7669,Aeldari - Aeldari Library.cat,80,1,1,3,2,1,both
Aeldari - Aeldari Library,Ynnari Reavers,unit,915d-ad53-9518-7a85,Aeldari - Aeldari Library.cat,65,3,6,6,4,2,both
Aeldari - Aeldari Library,Ynnari Succubus,model,c2e0-ca3e-e8c1-e019,Aeldari - Aeldari Library.cat,15,1,1,3,2,1,both
Aeldari - Aeldari Library,Ynnari Venom,model,5443-6671-baeb-77a3,Aeldari - Aeldari Library.cat,70,1,1,3,2,1,both
Aeldari - Aeldari Library,Ynnari Wyches,unit,36fd-7c3f-b728-c5d4,Aeldari - Aeldari Library.cat,90,9,9,3,2,1,both
Aeldari - Aeldari Library,Yvraine,model,ada5-25ce-d5d5-4ccb,Aeldari - Aeldari Library.cat,0,1,1,2,1,1,both
Chaos - Chaos Knights Library,Chaos Acastus Knight Asterius,model,e289-ad32-c78a-e055,Chaos - Chaos Knights Library.cat,0,1,1,4,3,1,both
Chaos - Chaos Knights Library,Chaos Acastus Knight Porphyrion,model,fe77-6f85-5ddb-65bf,Chaos - Chaos Knights Library.cat,0,1,1,6,5,1,both
Chaos - Chaos Knights Library,Chaos Cerastus Knight Acheron,model,ec6e-d1d6-f7c6-d008,Chaos - Chaos Knights Library.cat,0,1,1,4,2,2,both
Chaos - Chaos Knights Library,Chaos Cerastus Knight Atrapos,model,8b1d-9029-f9e1-42d9,Chaos - Chaos Knights Library.cat,0,1,1,4,3,1,both
Chaos - Chaos Knights Library,Chaos Cerastus Knight Castigator,model,b6e5-911b-93f-476,Chaos - Chaos Knights Library.cat,0,1,1,3,1,2,both
Chaos - Chaos Knights Library,Chaos Cerastus Knight Lancer,model,4175-82c6-8e96-bef8,Chaos - Chaos Knights Library.cat,0,1,1,3,1,2,both
Chaos - Chaos Knights Library,Chaos Questoris Knight Magaera,model,2d0e-5b83-b678-56dc,Chaos - Chaos Knights Library.cat,0,1,1,7,3,4,both
Chaos - Chaos Knights Library,Chaos Questoris Knight Styrix,model,106c-4bdf-79a4-1c70,Chaos - Chaos Knights Library.cat,0,1,1,7,3,4,both
Chaos - Chaos Knights Library,Knight Abominant,model,a78d-828b-302b-1bec,Chaos - Chaos Knights Library.cat,30,1,1,4,2,2,both
Chaos - Chaos Knights Library,Knight Desecrator,model,7a51-8f1f-7290-d9d2,Chaos - Chaos Knights Library.cat,30,1,1,6,2,4,both
Chaos - Chaos Knights Library,Knight Despoiler,model,0119-8c04-435e-c782,Chaos - Chaos Knights Library.cat,30,1,1,14,9,5,both
Chaos - Chaos Knights Library,Knight Rampager,model,61e0-e55b-1926-44df,Chaos - Chaos Knights Library.cat,30,1,1,5,1,4,both
Chaos - Chaos Knights Library,Knight Ruinator,model,c0a2-eb65-6d34-5bc6,Chaos - Chaos Knights Library.cat,30,1,1,4,2,2,both
Chaos - Chaos Knights Library,Knight Tyrant,model,87ea-c7bd-6df0-f056,Chaos - Chaos Knights Library.cat,30,1,1,9,8,1,both
Chaos - Chaos Knights Library,War Dog Brigand,model,753d-4e02-eda3-4809,Chaos - Chaos Knights Library.cat,0,1,1,5,4,1,both
Chaos - Chaos Knights Library,War Dog Executioner,model,8df0-fc3c-8ced-ffce,Chaos - Chaos Knights Library.cat,0,1,1,4,3,1,both
Chaos - Chaos Knights Library,War Dog Huntsman,model,6e6d-7950-ce6d-4cd4,Chaos - Chaos Knights Library.cat,0,1,1,5,3,2,both
Chaos - Chaos Knights Library,War Dog Karnivore,model,e96b-ac98-7fd2-a155,Chaos - Chaos Knights Library.cat,0,1,1,4,2,2,both
Chaos - Chaos Knights Library,War Dog Moirax,model,ae7c-3679-a88-6895,Chaos - Chaos Knights Library.cat,0,1,1,7,5,2,both
Chaos - Chaos Knights Library,War Dog Stalker,model,bbc6-c0ed-24e8-86b7,Chaos - Chaos Knights Library.cat,30,1,1,7,4,3,both
Chaos - Chaos Space Marines,Abaddon the Despoiler,model,76b4-a2c4-208e-ceb9,Chaos - Chaos Space Marines.cat,0,1,1,2,1,1,both
Chaos - Chaos Space Marines,Aspiring Sorcerer,model,26a6-2c1a-4fe3-dce4,Chaos - Chaos Space Marines.cat,0,1,1,4,3,1,both
Chaos - Chaos Space Marines,Captain Sargotta,model,d1a9-8972-ff03-729e,Chaos - Chaos Space Marines.cat,,1,1,2,1,1,both
Chaos - Chaos Space Marines,Chaos Bikers,unit,7373-47b7-11a3-2b48,Chaos - Chaos Space Marines.cat,70,3,6,5,3,2,both
Chaos - Chaos Space Marines,Chaos Deimos Predator [Legends],model,6add-621e-381e-4acf,Chaos - Chaos Space Marines.cat,0,1,1,10,9,1,both
Chaos - Chaos Space Marines,Chaos Land Raider,model,6de7-36d5-6015-7a51,Chaos - Chaos Space Marines.cat,0,1,1,5,4,1,both
Chaos - Chaos Space Marines,Chaos Lord,model,e496-5a54-4cb2-4fc1,Chaos - Chaos Space Marines.cat,0,1,1,6,2,4,both
Chaos - Chaos Space Marines,Chaos Lord in Terminator Armour,model,b206-250d-84aa-fc42,Chaos - Chaos Space Marines.cat,0,1,1,6,2,4,both
Chaos - Chaos Space Marines,Chaos Lord on Bike [Legends],model,2dfd-2e5f-53f2-b695,Chaos - Chaos Space Marines.cat,0,1,1,10,5,5,both
Chaos - Chaos Space Marines,Chaos Lord on Disc of Tzeentch [Legends],model,7456-b122-14c3-eca9,Chaos - Chaos Space Marines.cat,0,1,1,10,5,5,both
Chaos - Chaos Space Marines,Chaos Lord on Juggernaut [Legends],model,dceb-1d2c-40be-e591,Chaos - Chaos Space Marines.cat,0,1,1,11,5,6,both
Chaos - Chaos Space Marines,Chaos Lord on Palanquin of Nurgle [Legends],model,2af2-8812-7aa9-3db7,Chaos - Chaos Space Marines.cat,0,1,1,11,5,6,both
Chaos - Chaos Space Marines,Chaos Lord on Steed of Slaanesh [Legends],model,349b-6e2d-e554-f2c6,Chaos - Chaos Space Marines.cat,0,1,1,11,5,6,both
Chaos - Chaos Space Marines,Chaos Lord with Jump Pack,model,d880-9968-2ed9-5a21,Chaos - Chaos Space Marines.cat,0,1,1,6,3,3,both
Chaos - Chaos Space Marines,Chaos Predator Annihilator,model,279e-62d4-bff1-141,Chaos - Chaos Space Marines.cat,0,1,1,6,5,1,both
Chaos - Chaos Space Marines,Chaos Predator Destructor,model,3dfb-3b2a-94b-2fbe,Chaos - Chaos Space Marines.cat,0,1,1,6,5,1,both
Chaos - Chaos Space Marines,Chaos Rhino,model,e981-27ae-112f-aa9a,Chaos - Chaos Space Marines.cat,0,1,1,3,2,1,both
Chaos - Chaos Space Marines,Chaos Terminator Squad,unit,203d-c50f-a438-4982,Chaos - Chaos Space Marines.cat,180,5,10,5,3,2,both
Chaos - Chaos Space Marines,Chaos Vindicator,model,e687-6d7a-bb28-dcaa,Chaos - Chaos Space Marines.cat,0,1,1,4,3,1,both
Chaos - Chaos Space Marines,Chosen,unit,4e85-615b-5d49-dfa4,Chaos - Chaos Space Marines.cat,125,5,10,3,1,2,both
Chaos - Chaos Space Marines,Chosen Champion,model,30a3-5810-5084-939a,Chaos - Chaos Space Marines.cat,0,1,1,3,1,2,both
