faction,unit_name,selection_type,unit_id,source_file,source_type,source_id,ability_id,ability_name,text
Aeldari - Aeldari Library,Asurmen,model,828d-840a-9a67-9074,Aeldari - Aeldari Library.cat,unit,828d-840a-9a67-9074,828d-840a-9a67-9074:hand-of-asuryan:cac4-9ec2-1044-a28a,Hand of Asuryan,"Once per battle, when this model is selected to shoot, it can use this ability. If it does, until the end of the phase, its Bloody Twins weapon has a Damage characteristic of 3 and the [Anti-Infantry 5+] and [Devastating Wounds] abilities."
Aeldari - Aeldari Library,Asurmen,model,828d-840a-9a67-9074,Aeldari - Aeldari Library.cat,unit,828d-840a-9a67-9074,828d-840a-9a67-9074:invulnerable-save-(asurmen):d953-7284-3e17-61a,Invulnerable Save (Asurmen),Asurmen has a 4+ Invulnerable save
Aeldari - Aeldari Library,Asurmen,model,828d-840a-9a67-9074,Aeldari - Aeldari Library.cat,unit,828d-840a-9a67-9074,828d-840a-9a67-9074:leader:718f-8b96-eb96-a5be,Leader,"This model can be attached to the following unit:
■ Dire Avengers"
Aeldari - Aeldari Library,Asurmen,model,828d-840a-9a67-9074,Aeldari - Aeldari Library.cat,unit,828d-840a-9a67-9074,828d-840a-9a67-9074:tactical-acumen:e574-c4c7-b1dc-e9e7,Tactical Acumen,"While this model is leading a unit, in your Shooting phase, after that unit has shot, it can make a Normal move of up to 6"". If it does, until the end of the turn, that unit is not eligible to declare a charge."
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,unit,df57-7a59-75eb-ce63,df57-7a59-75eb-ce63:aspect-training:ed49-065d-5a54-6aae,Aspect Training,"While this model is leading a Howling Banshees unit, it has the Fights First ability.
While this model is leading a Striking Scorpions unit, it has the Infiltrators, Scouts 7"" and Stealth abilities."
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,unit,df57-7a59-75eb-ce63,df57-7a59-75eb-ce63:invulnerable-save-(autarch):4e60-b725-47dd-7a85,Invulnerable Save (Autarch),An Autarch has a 4+ Invulnerable save
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,unit,df57-7a59-75eb-ce63,df57-7a59-75eb-ce63:leader:2e28-2c16-b363-684a,Leader,"This model can be attached to the following units:
■ Dark Reapers
■ Dire Avengers
■ Fire Dragons
■ Guardian Defenders
■ Howling Banshees
■ Storm Guardians
■ Striking Scorpions"
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,unit,df57-7a59-75eb-ce63,df57-7a59-75eb-ce63:path-of-command:ef73-7885-790f-2bea,Path of Command,"Once per battle round, one model from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that usage of that stratagem by 1CP."
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,unit,df57-7a59-75eb-ce63,df57-7a59-75eb-ce63:superlative-strategist:3cab-f2a6-9680-b9ad,Superlative Strategist,"While this model is leading a unit, you can re-roll Advance rolls made for that unit, and you can re-roll any rolls made for that unit while it is performing an Agile Manoeuvre."
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,unit,69f4-c990-93b4-20fc,69f4-c990-93b4-20fc:invulnerable-save-(autarch):fee0-e369-19be-2164,Invulnerable Save (Autarch),An Autarch Skyrunner has a 4+ Invulnerable save
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,unit,69f4-c990-93b4-20fc,69f4-c990-93b4-20fc:leader:9d25-456f-edfb-bf27,Leader,"This model can be attached to the following unit:
■ Windriders
■ Corsair Cloud Dancer Band"
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,unit,69f4-c990-93b4-20fc,69f4-c990-93b4-20fc:path-of-command:5237-b26c-1dbb-fc81,Path of Command,"Once per battle round, one model from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that usage of that Stratagem by 1CP."
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,unit,69f4-c990-93b4-20fc,69f4-c990-93b4-20fc:ride-the-wind:655e-c205-6e0f-7abf,Ride the WInd,"While this model is leading a unit, each time that unit Advances, do not make an Advance roll for it. Instead, until the end of the phase, add 6"" to the Move characteristic of models in that unit"
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,unit,497a-263e-966a-5a15,497a-263e-966a-5a15:indomitable-strength-of-will:4e02-1f2d-97be-dac4,Indomitable Strength of Will,"While this model is leading a unit, each time you spend a Battle Focus token to enable that unit to perform an Agile Manoeuvre, roll one D6: on a 3+ you gain 1 Battle Focus token."
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,unit,497a-263e-966a-5a15,497a-263e-966a-5a15:invulnerable-save-(autarch):654a-5947-a783-1e20,Invulnerable Save (Autarch),An Autarch Wayleaper has a 4+ Invulnerable save
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,unit,497a-263e-966a-5a15,497a-263e-966a-5a15:leader:5ad1-258f-9f2d-0504,Leader,"This model can be attached to the following units:
■ Swooping Hawks
■ Warp Spiders"
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,unit,497a-263e-966a-5a15,497a-263e-966a-5a15:path-of-command:e4c4-6600-236a-29c7,Path of Command,"Once per battle round, one model from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that usage of that stratagem by 1CP."
Aeldari - Aeldari Library,Avatar of Khaine,model,554c-8b4f-1059-28a7,Aeldari - Aeldari Library.cat,unit,554c-8b4f-1059-28a7,554c-8b4f-1059-28a7:damaged:-1-5-wounds-remaining:bf22-b7a6-e939-3f3,Damaged: 1-5 Wounds Remaining,"While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the Hit roll."
Aeldari - Aeldari Library,Avatar of Khaine,model,554c-8b4f-1059-28a7,Aeldari - Aeldari Library.cat,unit,554c-8b4f-1059-28a7,554c-8b4f-1059-28a7:invulnerable-save-(avatar):c5e4-23b2-5b94-729,Invulnerable Save (Avatar),The Avatar of Khaine has a 4+ Invulnerable save
Aeldari - Aeldari Library,Avatar of Khaine,model,554c-8b4f-1059-28a7,Aeldari - Aeldari Library.cat,unit,554c-8b4f-1059-28a7,554c-8b4f-1059-28a7:molten-form:7376-d1ad-1ed5-8c11,Molten Form,"Each time an attack is allocated to this model, halve the Damage characteristic of that attack."
Aeldari - Aeldari Library,Avatar of Khaine,model,554c-8b4f-1059-28a7,Aeldari - Aeldari Library.cat,unit,554c-8b4f-1059-28a7,554c-8b4f-1059-28a7:the-bloody-handed-(aura):380b-10c4-cb34-501f,The Bloody Handed (Aura),"While a friendly ^^Aeldari^^ unit is within 6"" of this model, add 1 to Advance and Charge rolls made for that unit."
Aeldari - Aeldari Library,Baharroth,model,8732-df2f-a542-805f,Aeldari - Aeldari Library.cat,unit,8732-df2f-a542-805f,8732-df2f-a542-805f:cloudstrider:b0c4-6b2b-96e1-d492,Cloudstrider,"While this model is leading a unit, at the end of your opponent's turn, if that unit is not within Engagement Range of one or more enemy units, you can remove it from the battlefield and place it into Strategic Reserves. In addition, while this model is leading a unit, when that unit is set-up on the battlefield using the Deep Strike ability, in your Movement phase, it can use this ability. if it does, that unit can be set-up anywhere on the battlefield that is more than 6"" horizontally away from all enemy models, but until the end of the turn, it is not eligible to declare a charge."
Aeldari - Aeldari Library,Baharroth,model,8732-df2f-a542-805f,Aeldari - Aeldari Library.cat,unit,8732-df2f-a542-805f,8732-df2f-a542-805f:cry-of-the-wind:8d0d-e90d-b26b-1a8d,Cry of the Wind,"Each time this model is set-up on the battlefield, until the end of the turn, each time this model makes a ranged attack, a successful unmodified Hit roll scores a Critical Hit."
Aeldari - Aeldari Library,Baharroth,model,8732-df2f-a542-805f,Aeldari - Aeldari Library.cat,unit,8732-df2f-a542-805f,8732-df2f-a542-805f:invulnerable-save-(baharroth):dc6f-b8cd-e6a1-2b8d,Invulnerable Save (Baharroth),Baharroth has a 4+ Invulnerable save
Aeldari - Aeldari Library,Baharroth,model,8732-df2f-a542-805f,Aeldari - Aeldari Library.cat,unit,8732-df2f-a542-805f,8732-df2f-a542-805f:leader:8722-32a2-d608-7083,Leader,"This model can be attached to the following unit:
■ Swooping Hawks"
Aeldari - Aeldari Library,Beastmaster [Legends],unit,f99a-af49-64c0-9bed,Aeldari - Aeldari Library.cat,unit,f99a-af49-64c0-9bed,f99a-af49-64c0-9bed:beastmaster:6632-4cde-bb04-3560,Beastmaster,"While this unit contains a Beastmaster model, you can re-roll Charge rolls made for this unit."
Aeldari - Aeldari Library,Beastmaster [Legends],unit,f99a-af49-64c0-9bed,Aeldari - Aeldari Library.cat,unit,f99a-af49-64c0-9bed,f99a-af49-64c0-9bed:goaded-savagery-(pain):edb8-3cc0-1871-cd7d,Goaded Savagery (Pain),"In the Fight phase, when you select this unit to fight, you can spend 1 of your Pain tokens to Empower this unit. While this unit is Empowered, if it contains a ^^**Beastmaster**^^ model, each time a ^^**Beast**^^ model in this unit makes a melee attack, you can re-roll the Hit roll and you can re-roll the Wound roll."
Aeldari - Aeldari Library,Beastmaster [Legends],unit,f99a-af49-64c0-9bed,Aeldari - Aeldari Library.cat,unit,f99a-af49-64c0-9bed,f99a-af49-64c0-9bed:invulnerable-save:16e4-3a42-6d4b-5f2e,Invulnerable Save,This unit has a 6+ Invulnerable save
Aeldari - Aeldari Library,Bonesinger [Legends],model,2384-4154-b67a-3827,Aeldari - Aeldari Library.cat,unit,2384-4154-b67a-3827,2384-4154-b67a-3827:bonesinger:3a1a-27ae-c3bf-54d1,Bonesinger,"While this model is within 3"" of one or more friendly ^^Wraith Construct^^ or ^^Asuryani Vehicle^^ units, unless it is leading a unit, this model has the Lone Operative ability."
Aeldari - Aeldari Library,Bonesinger [Legends],model,2384-4154-b67a-3827,Aeldari - Aeldari Library.cat,unit,2384-4154-b67a-3827,2384-4154-b67a-3827:invulnerable-save-(bonesinger):6c96-2c12-607e-da01,Invulnerable Save (Bonesinger),A Bonesinger has a 4+ Invulnerable save
Aeldari - Aeldari Library,Bonesinger [Legends],model,2384-4154-b67a-3827,Aeldari - Aeldari Library.cat,unit,2384-4154-b67a-3827,2384-4154-b67a-3827:leader:4ca7-2eba-8559-ebf6,Leader,"This model can be attached to the following units:
■ Wraithblades
■ Wraithguard
■ Wraithlord"
Aeldari - Aeldari Library,Bonesinger [Legends],model,2384-4154-b67a-3827,Aeldari - Aeldari Library.cat,unit,2384-4154-b67a-3827,2384-4154-b67a-3827:way-of-the-shaper-(psychic):e913-d2c-461a-5b86,Way of the Shaper (Psychic),"While this model is leading a unit, ^^Wraith Construct^^ models in that unit have the Feel No Pain 6+ ability."
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,unit,e2ad-60b4-9678-88aa,e2ad-60b4-9678-88aa:d-rift:4a53-173d-aebf-6d63,D-Rift,"In your Shooting phase, just after selecting a target for this model’s D-impaler, roll one D6 for the target unit and every other unit within 3"" of that unit: on a 5+, the unit being rolled for is struck by a D-rift. After this model has finished making its attacks against that target unit this phase, each unit struck by a D-rift this phase suffers D3 mortal wounds."
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,unit,e2ad-60b4-9678-88aa,e2ad-60b4-9678-88aa:damaged:-1-8-wounds-remaining:1eb1-ef74-14b4-e544,Damaged: 1-8 Wounds Remaining,"While this model has 1-8 wounds remaining, subtract 4 from
its Objective Control characteristic and each time this model
makes an attack, subtract 1 from the Hit roll"
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,unit,e2ad-60b4-9678-88aa,e2ad-60b4-9678-88aa:invulnerable-save:e77d-de25-7961-8851,Invulnerable Save,This unit has a 5+ Invulnerable save
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,unit,790d-9fdf-b359-62ba,790d-9fdf-b359-62ba:reckless-abandon:2f74-f6be-6247-da08,Reckless Abandon,"You can target this unit with the Heroic Intervention Stratagem for 0CP, and can do so even if you have already used that Stratagem on a different unit this phase."
Aeldari - Aeldari Library,Court of the Archon [Legends],unit,b221-43a3-8bee-117c,Aeldari - Aeldari Library.cat,unit,b221-43a3-8bee-117c,b221-43a3-8bee-117c:court-of-the-archon:9415-e594-9a27-1f93,Court of the Archon,"While a ^^**Character**^^ model is leading a unit that contains one or more Lhamaean, Medusae, Sslyth and/or Ur-ghul models, that ^^**Character**^^ model has the Feel No Pain 4+ ability."
Aeldari - Aeldari Library,Court of the Archon [Legends],unit,b221-43a3-8bee-117c,Aeldari - Aeldari Library.cat,unit,b221-43a3-8bee-117c,b221-43a3-8bee-117c:court-of-the-archon-[legends]:f0db-25c8-a248-f16c,Court of the Archon [Legends],"This unit can be led by an ^^**Archon**^^. Alternatively, in the Declare Battle Formations step, this unit can join one ^^**Kabalite Warriors**^^ or ^^**Hand of the Archon**^^ unit from your army that is being led by an ^^**Archon**^^ (a unit cannot have more than one ^^**Court of the Archon**^^ unit joined to it). If it does, until the end of the battle, every model in this unit counts as part of that ^^**Kabalite Warriors**^^ or ^^**Hand of the Archon **^^unit, and its Starting Strength is increased accordingly."
Aeldari - Aeldari Library,Court of the Archon [Legends],unit,b221-43a3-8bee-117c,Aeldari - Aeldari Library.cat,unit,b221-43a3-8bee-117c,b221-43a3-8bee-117c:deadly-retinue-(pain):2cad-f0ef-b5b3-6b5f,Deadly Retinue (Pain),"At the start of your Shooting phase or at the start of the Fight phase, you can spend 1 Pain token to Empower this unit. While this unit is Empowered:
■ If it contains one or more Lhamaean models, melee weapons equipped by models in this unit have the ^^**[LETHAL HITS]**^^ ability.
■ If it contains one or more Medusae models, ranged weapons equipped by models in this unit have the ^^**[IGNORES COVER]**^^ ability.
■ If it contains one or more Sslyth models, each time a melee attack targets this unit, subtract 1 from the Wound roll.
■ If this unit contains one or more Ur-ghul models, this unit has the Fights First ability."
Aeldari - Aeldari Library,Court of the Archon [Legends],unit,b221-43a3-8bee-117c,Aeldari - Aeldari Library.cat,unit,b221-43a3-8bee-117c,b221-43a3-8bee-117c:invulnerable-save:127d-6f92-c7d7-3dcf,Invulnerable Save,This unit has a 5+ Invulnerable save
Aeldari - Aeldari Library,Craftworld Warleader [Crucible],model,8e2c-2234-8595-f191,Aeldari - Aeldari Library.cat,unit,8e2c-2234-8595-f191,8e2c-2234-8595-f191:guided-by-fate:475e-d58f-5d60-f349,Guided by Fate,"Each time this model makes an attack, you can re-roll the Hit roll and you can re-roll the Wound roll."
Aeldari - Aeldari Library,Craftworld Warleader [Crucible],model,8e2c-2234-8595-f191,Aeldari - Aeldari Library.cat,unit,8e2c-2234-8595-f191,8e2c-2234-8595-f191:invulnerable-save-(craftworld-warleader):5763-e75e-e6c6-e0eb,Invulnerable Save (Craftworld Warleader),A Craftworld Warleader has a 4+ Invulnerable save.
Aeldari - Aeldari Library,Craftworld Warleader [Crucible],model,8e2c-2234-8595-f191,Aeldari - Aeldari Library.cat,unit,8e2c-2234-8595-f191,8e2c-2234-8595-f191:leader:55da-3324-be21-6bb5,Leader,"This model can be attached to the following units:
■ Guardian Defenders
■ Storm Guardian
■ Warlock Conclave"
Aeldari - Aeldari Library,Crimson Hunter,model,90c9-aaac-5ef8-f043,Aeldari - Aeldari Library.cat,unit,90c9-aaac-5ef8-f043,90c9-aaac-5ef8-f043:damaged:-1-4-wounds-remaining:75c5-5a9-b3a-c568,Damaged: 1-4 Wounds Remaining,"While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the Hit roll."
Aeldari - Aeldari Library,Crimson Hunter,model,90c9-aaac-5ef8-f043,Aeldari - Aeldari Library.cat,unit,90c9-aaac-5ef8-f043,90c9-aaac-5ef8-f043:invulnerable-save:b63e-6275-5079-3b9c,Invulnerable Save,This unit has a 5+ Invulnerable save
Aeldari - Aeldari Library,Crimson Hunter,model,90c9-aaac-5ef8-f043,Aeldari - Aeldari Library.cat,unit,90c9-aaac-5ef8-f043,90c9-aaac-5ef8-f043:skyhunter:8c70-416b-87ca-936e,Skyhunter,"Each time this model makes a ranged attack that targets a unit that can Fly, add 1 to the Hit roll and add 1 to the Wound roll."
Aeldari - Aeldari Library,Cronos,unit,a5d3-e21b-bf13-a952,Aeldari - Aeldari Library.cat,unit,a5d3-e21b-bf13-a952,a5d3-e21b-bf13-a952:invulnerable-save:dce8-d658-1024-1959,Invulnerable Save,This unit has a 6+ Invulnerable save
Aeldari - Aeldari Library,Cronos,unit,a5d3-e21b-bf13-a952,Aeldari - Aeldari Library.cat,unit,a5d3-e21b-bf13-a952,a5d3-e21b-bf13-a952:pain-engine-(aura):b936-8fdd-80cc-46e0,Pain Engine (Aura),"Each time you spend 1 Pain token to Empower a friendly unit within 9"" of this unit, roll one D6, adding 1 to the result if one or more models in this unit are not equipped with a spirit vortex: on a 5+, you gain 1 Pain token.


**Designer's Note:** Pain tokens you spend for reasons other than Empowering a unit do not trigger this ability."
Aeldari - Aeldari Library,Cronos,unit,a5d3-e21b-bf13-a952,Aeldari - Aeldari Library.cat,unit,a5d3-e21b-bf13-a952,a5d3-e21b-bf13-a952:pain-parasite-(pain):5ffb-8c76-26c4-9740,Pain Parasite (Pain),"In your Shooting phase or the Fight phase, when you select this unit to shoot or fight, you can spend 1 Pain token to Empower this unit. While Empowered, each time this unit shoots or fights, after it has resolved its attacks, if one or more enemy models were destroyed as a result of those attacks, one model in this unit regains up to 3 lost wounds (if all models in this unit have their starting number of wounds and this unit is below its Starting Strength, 1 model is returned to this unit with 3 wounds remaining)."
Aeldari - Aeldari Library,D-Cannon Platform,model,82ac-7d93-df55-5504,Aeldari - Aeldari Library.cat,unit,82ac-7d93-df55-5504,82ac-7d93-df55-5504:structural-collapse:b5b4-847e-1a87-c778,Structural Collapse,"Each time this model makes an attack with its D-Cannon, re-roll a Damage roll of 1. If that attack targets a Titanic unit, you can re-roll the Damage roll instead."
Aeldari - Aeldari Library,Dark Reapers,unit,6863-bf42-238a-fd0b,Aeldari - Aeldari Library.cat,unit,6863-bf42-238a-fd0b,6863-bf42-238a-fd0b:inescapable-accuracy:3a61-eed0-8af5-c4ac,Inescapable Accuracy,"Each time a model in this unit makes a ranged attack, you can ignore any or all modifiers to that attack’s Ballistic Skill characteristic and any or all modifiers to the Hit roll."
Aeldari - Aeldari Library,Dark Reapers,unit,6863-bf42-238a-fd0b,Aeldari - Aeldari Library.cat,unit,6863-bf42-238a-fd0b,6863-bf42-238a-fd0b:invulnerable-save:48b5-ca9e-816c-8c5,Invulnerable Save,This unit has a 5+ Invulnerable save
Aeldari - Aeldari Library,Death Jester,model,5768-1f87-3a16-d901,Aeldari - Aeldari Library.cat,unit,5768-1f87-3a16-d901,5768-1f87-3a16-d901:cruel-amusement:409-e43f-2c32-248a,Cruel Amusement,"In your Shooting phase, each time this model is selected to shoot, select one of the abilities below. Until the end of the phase, this model’s Shrieker Cannon has that ability:
■ [IGNORES COVER]
■ [PRECISION]
■ [SUSTAINED HITS 3]"
Aeldari - Aeldari Library,Death Jester,model,5768-1f87-3a16-d901,Aeldari - Aeldari Library.cat,unit,5768-1f87-3a16-d901,5768-1f87-3a16-d901:death-is-not-enough:cd7a-5c89-a4d7-770b,Death is Not Enough,"In your Shooting phase, after this model has shot, select one enemy unit (excluding Monsters and Vehicles) hit by one or more of those attacks. That enemy unit must take a Battle-shock test. If one or more of those attacks destroyed a model in that enemy unit, subtract 1 from that test."
Aeldari - Aeldari Library,Death Jester,model,5768-1f87-3a16-d901,Aeldari - Aeldari Library.cat,unit,5768-1f87-3a16-d901,5768-1f87-3a16-d901:invulnerable-save:e825-aa02-e35f-d8fc,Invulnerable Save,This unit has a 4+ Invulnerable save
Aeldari - Aeldari Library,Dire Avengers,unit,e6c2-f3b2-6d3e-c3d3,Aeldari - Aeldari Library.cat,unit,e6c2-f3b2-6d3e-c3d3,e6c2-f3b2-6d3e-c3d3:bladestorm:735b-f532-a22f-da46,Bladestorm,Ranged weapons equipped by models in this unit have the [Sustained Hits 1] ability while targeting an enemy unit within half range.
Aeldari - Aeldari Library,Dire Avengers,unit,e6c2-f3b2-6d3e-c3d3,Aeldari - Aeldari Library.cat,unit,e6c2-f3b2-6d3e-c3d3,e6c2-f3b2-6d3e-c3d3:invulnerable-save:642f-fcab-5d51-f13b,Invulnerable Save,This unit has a 5+ Invulnerable save
Aeldari - Aeldari Library,Drazhar,model,a30b-b966-d264-e935,Aeldari - Aeldari Library.cat,unit,a30b-b966-d264-e935,a30b-b966-d264-e935:invulnerable-save:380-107f-e818-e212,Invulnerable Save,This unit has a 4+ invulnerable save.
Aeldari - Aeldari Library,Drazhar,model,a30b-b966-d264-e935,Aeldari - Aeldari Library.cat,unit,a30b-b966-d264-e935,a30b-b966-d264-e935:leader:fde8-a97e-44d9-3edf,Leader,"This model can be attached to the following unit:
■ Incubi"
Aeldari - Aeldari Library,Drazhar,model,a30b-b966-d264-e935,Aeldari - Aeldari Library.cat,unit,a30b-b966-d264-e935,a30b-b966-d264-e935:master-of-blades-(pain):61a8-eb62-856-ad73,Master of Blades (Pain),"In the Fight phase, when you select this model's unit to fight, you can spend 1 Pain token to Empower that unit. While that unit is Empowered, each time a model in that unit makes a melee attack, add 1 to the Wound roll."
Aeldari - Aeldari Library,Drazhar,model,a30b-b966-d264-e935,Aeldari - Aeldari Library.cat,unit,a30b-b966-d264-e935,a30b-b966-d264-e935:onslaught:1ec9-e80b-2220-1d38,Onslaught,"While this model is leading a unit, each time a model in that unit makes a Pile-In or Consolidation move, it can move up to 6"" instead of up to 3""."
Aeldari - Aeldari Library,Drazhar,model,a30b-b966-d264-e935,Aeldari - Aeldari Library.cat,unit,a30b-b966-d264-e935,a30b-b966-d264-e935:silent-executioner:eddc-286e-4a78-6f8d,Silent Executioner,"Each time this model make an attack that targets a unit that is below its Starting Strength, you can re-roll the Hit roll. If that target is Below Half-Strength, you can re-roll the Wound roll as well."
Aeldari - Aeldari Library,Eldrad Ulthran,model,f48e-276e-a997-c90e,Aeldari - Aeldari Library.cat,unit,f48e-276e-a997-c90e,f48e-276e-a997-c90e:diviner-of-the-futures:c1d3-7a60-1ab-7cce,Diviner of the Futures,"At the start of your Command phase, if this model is on the battlefield, you gain 1CP."
