unit_id,faction,unit_name,selection_type,models_min,models_max,footprint_status,base_type,base_shape,base_width_mm,base_depth_mm,guide_faction,guide_unit_name,guide_model_name,source,source_url,source_updated,match_method,match_confidence,review_reason
f48e-276e-a997-c90e,Aeldari - Aeldari Library,Eldrad Ulthran,model,1,1,matched,round,round,32,32,AELDARI,Eldrad Ulthran,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
1d83-167-486c-bac4,Aeldari - Aeldari Library,Falcon,model,1,1,matched,large_flying_base,flying,,,AELDARI,Falcon,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
b2f5-8219-f875-917e,Aeldari - Aeldari Library,Farseer,model,1,1,matched,round,round,25,25,AELDARI,Farseer,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
833b-55bc-73be-8862,Aeldari - Aeldari Library,Farseer Skyrunner,model,1,1,matched,small_flying_base,flying,,,AELDARI,Farseer Skyrunner,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
5374-9e93-8af2-819e,Aeldari - Aeldari Library,Fire Dragons,unit,5,10,matched,round,round,28.5,28.5,AELDARI,Fire Dragons,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
9940-a69b-682e-ccf4,Aeldari - Aeldari Library,Fire Prism,model,1,1,matched,large_flying_base,flying,,,AELDARI,Fire Prism,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
9262-3993-1368-be5a,Aeldari - Aeldari Library,Fuegan,model,1,1,matched,round,round,40,40,AELDARI,Fuegan,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
e78a-4442-4ed2-66bf,Aeldari - Aeldari Library,Guardian Defenders,unit,11,11,review,round,round,40,40,AELDARI,Guardian Defenders,Heavy Weapon Platform,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,0.70,Multiple official base rows matched; largest numeric base was selected for blob sizing.
551b-900c-3681-8f11,Aeldari - Aeldari Library,Hemlock Wraithfighter,model,1,1,matched,oval,oval,120,92,AELDARI,Hemlock Wraithfighter,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
7fcb-9262-474a-7cec,Aeldari - Aeldari Library,Howling Banshees,unit,5,10,matched,round,round,28.5,28.5,AELDARI,Howling Banshees,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
2713-f82d-5189-d5de,Aeldari - Aeldari Library,Illic Nightspear [Legends],model,1,1,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
77f9-e8de-225f-9e68,Aeldari - Aeldari Library,Jain Zar,model,1,1,matched,round,round,40,40,AELDARI,Jain Zar,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
c9ed-d190-419c-78d3,Aeldari - Aeldari Library,Karandras [Legends],model,1,1,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
6f18-95b7-2662-8925,Aeldari - Aeldari Library,Maugan Ra,model,1,1,matched,round,round,40,40,AELDARI,Maugan Ra,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
908a-fc2b-5a53-599f,Aeldari - Aeldari Library,Night Spinner,model,1,1,matched,large_flying_base,flying,,,AELDARI,Night Spinner,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
1fbf-55d9-5ca8-4e9e,Aeldari - Aeldari Library,Prince Yriel [Legends],model,1,1,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
b98b-701f-9c0c-5437,Aeldari - Aeldari Library,Rangers,unit,5,10,matched,round,round,28.5,28.5,AELDARI,Rangers,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
8c34-52ba-cbd0-9ca4,Aeldari - Aeldari Library,Shadowseer,model,1,1,matched,round,round,25,25,AELDARI,Shadowseer,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
433-faed-ea62-c531,Aeldari - Aeldari Library,Shining Spears,unit,3,6,matched,large_flying_base,flying,,,AELDARI,Shining Spears,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
c1ff-dc11-9853-e3e3,Aeldari - Aeldari Library,Shroud Runners,unit,3,6,matched,large_flying_base,flying,,,AELDARI,Shroud Runners,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
9270-4b93-ca59-f3ed,Aeldari - Aeldari Library,Skyweavers,unit,2,4,matched,large_flying_base,flying,,,AELDARI,Skyweavers,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
f88f-60c5-3daf-3d2f,Aeldari - Aeldari Library,Solitaire,model,1,1,matched,round,round,25,25,AELDARI,Solitaire,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
e53b-7d09-eb7c-c6c7,Aeldari - Aeldari Library,Spiritseer,model,1,1,matched,round,round,25,25,AELDARI,Spiritseer,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
854b-f8e-28fa-8c24,Aeldari - Aeldari Library,Starweaver,model,1,1,matched,large_flying_base,flying,,,AELDARI,Starweaver,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
5452-c4a7-59fb-f05c,Aeldari - Aeldari Library,Storm Guardians,unit,11,11,review,round,round,40,40,AELDARI,Storm Guardians,Serpent’s Scale Platform,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,0.70,Multiple official base rows matched; largest numeric base was selected for blob sizing.
c90f-a8e5-6afa-eb91,Aeldari - Aeldari Library,Striking Scorpions,unit,5,10,matched,round,round,28.5,28.5,AELDARI,Striking Scorpions,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
82ac-7d93-df55-5504,Aeldari - Aeldari Library,D-Cannon Platform,model,1,1,matched,round,round,40,40,AELDARI,D-cannon Platform,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
240f-70a4-7ba7-a538,Aeldari - Aeldari Library,Swooping Hawks,unit,5,10,matched,round,round,32,32,AELDARI,Swooping Hawks,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
dd79-c2fe-59d6-d2,Aeldari - Aeldari Library,The Visarch,model,1,1,matched,round,round,32,32,AELDARI,The Visarch,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
68fb-4b6f-2bf8-7105,Aeldari - Aeldari Library,The Yncarne,model,1,1,matched,round,round,80,80,AELDARI,The Yncarne,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
dada-b81b-37bd-1f3b,Aeldari - Aeldari Library,Troupe Master,model,1,1,matched,round,round,25,25,AELDARI,Troupe Master,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
e011-d99d-f0de-5289,Aeldari - Aeldari Library,Voidweaver,model,1,1,matched,large_flying_base,flying,,,AELDARI,Voidweaver,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
291f-2885-4512-f0cd,Aeldari - Aeldari Library,Warlock,model,1,1,matched,round,round,32,32,AELDARI,Warlock,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
d61-c058-6bd1-112f,Aeldari - Aeldari Library,Warlock Conclave,unit,2,4,matched,round,round,32,32,AELDARI,Warlock Conclave,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
57ec-47a8-a59a-6a46,Aeldari - Aeldari Library,Warp Spiders,unit,5,10,matched,round,round,28.5,28.5,AELDARI,Warp Spiders,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
ad88-f706-318c-e70e,Aeldari - Aeldari Library,Wave Serpent,model,1,1,matched,large_flying_base,flying,,,AELDARI,Wave Serpent,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
2f21-23a3-48e0-5788,Aeldari - Aeldari Library,Webway Gate [Legends],model,1,1,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
bfd-df5a-b358-4cf9,Aeldari - Aeldari Library,Wraithknight,model,1,1,matched,oval,oval,120,92,AELDARI,Wraithknight,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
b9e9-397e-d83a-f77a,Aeldari - Aeldari Library,Wraithlord,model,1,1,matched,round,round,60,60,AELDARI,Wraithlord,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
5aa4-107-d7ee-f0f3,Aeldari - Aeldari Library,Wraithguard,unit,5,5,matched,round,round,40,40,AELDARI,Wraithguard,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
ada5-25ce-d5d5-4ccb,Aeldari - Aeldari Library,Yvraine,model,1,1,matched,oval,oval,75,42,AELDARI,Yvraine,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
bb4f-4359-cc16-e6d5,Aeldari - Aeldari Library,Wraithblades,unit,5,5,matched,round,round,40,40,AELDARI,Wraithblades,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
5c1c-fa4a-3234-c711,Aeldari - Aeldari Library,Archon,model,1,1,matched,round,round,32,32,DRUKHARI,Archon,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
f99a-af49-64c0-9bed,Aeldari - Aeldari Library,Beastmaster [Legends],unit,7,7,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
b221-43a3-8bee-117c,Aeldari - Aeldari Library,Court of the Archon [Legends],unit,4,4,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
a5d3-e21b-bf13-a952,Aeldari - Aeldari Library,Cronos,unit,1,2,matched,large_flying_base,flying,,,DRUKHARI,Cronos,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
a30b-b966-d264-e935,Aeldari - Aeldari Library,Drazhar,model,1,1,matched,round,round,40,40,DRUKHARI,Drazhar,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
d729-7e1f-93a9-b1c5,Aeldari - Aeldari Library,Grotesques [Legends],unit,3,6,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
32ff-aec4-9669-c8a2,Aeldari - Aeldari Library,Haemonculus,model,1,1,matched,round,round,25,25,DRUKHARI,Haemonculus,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
2311-9feb-9d0a-8154,Aeldari - Aeldari Library,Hellions,unit,4,9,matched,small_flying_base,flying,,,DRUKHARI,Hellions,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
1529-793d-481b-82bf,Aeldari - Aeldari Library,Incubi,unit,4,9,matched,round,round,28.5,28.5,DRUKHARI,Incubi,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
d20b-783-ccf6-b29d,Aeldari - Aeldari Library,Kabalite Warriors,unit,9,9,matched,round,round,25,25,DRUKHARI,Kabalite Warriors,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
ae1b-1a96-5b4c-cecc,Aeldari - Aeldari Library,Lelith Hesperax,model,1,1,matched,round,round,32,32,DRUKHARI,Lelith Hesperax,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
6a3a-7973-b509-532e,Aeldari - Aeldari Library,Mandrakes,unit,4,9,matched,round,round,28.5,28.5,DRUKHARI,Mandrakes,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
635b-21f4-f801-453,Aeldari - Aeldari Library,Raider,model,1,1,matched,large_flying_base,flying,,,DRUKHARI,Raider,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
3376-d337-6a33-4bca,Aeldari - Aeldari Library,Ravager,model,1,1,matched,large_flying_base,flying,,,DRUKHARI,Ravager,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
fbc4-c7d0-db5b-91c,Aeldari - Aeldari Library,Razorwing Jetfighter,model,1,1,matched,oval,oval,120,92,DRUKHARI,Razorwing Jetfighter,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
2c3a-9752-2516-69ab,Aeldari - Aeldari Library,Reavers,unit,3,6,matched,small_flying_base,flying,,,DRUKHARI,Reavers,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
7c93-baac-e65f-58bd,Aeldari - Aeldari Library,Scourges with Heavy Weapons,unit,4,4,matched,round,round,32,32,DRUKHARI,Scourges with Heavy Weapons,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
b5a9-c802-10f0-6768,Aeldari - Aeldari Library,Succubus,model,1,1,matched,round,round,25,25,DRUKHARI,Succubus,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
5c5f-b70b-f6ee-a81e,Aeldari - Aeldari Library,Talos,unit,1,2,matched,large_flying_base,flying,,,DRUKHARI,Talos,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
