faction,unit_name,selection_type,unit_id,source_file,unit_points,models_min,models_max,weapon_id,weapon_name,weapon_type,range_inches,attacks,skill,strength,ap,damage,attacks_average,strength_average,damage_average,attacks_parse_status,strength_parse_status,damage_parse_status,raw_damage_throughput,keywords,hit_modifier,wound_modifier,reroll_hits,reroll_wounds,lethal_hits,sustained_hits,devastating_wounds
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,85,1,1,df57-7a59-75eb-ce63:ranged:➤-reaper-launcher---starswarm,➤ Reaper Launcher - Starswarm,ranged,48,2,3+,4,-2,1,2.00,4.00,1.00,ok,ok,ok,2.00,"Heavy, Ignores Cover",,,,,,,
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,90,1,1,69f4-c990-93b4-20fc:melee:banshee-blade,Banshee Blade,melee,,5,2+,4,-3,1,5.00,4.00,1.00,ok,ok,ok,5.00,-,,,,,,,
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,90,1,1,69f4-c990-93b4-20fc:melee:close-combat-weapon,Close Combat Weapon,melee,,3,2+,3,0,1,3.00,3.00,1.00,ok,ok,ok,3.00,-,,,,,,,
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,90,1,1,69f4-c990-93b4-20fc:ranged:dragon-fusion-gun,Dragon Fusion Gun,ranged,12,1,2+,9,-4,D6,1.00,9.00,3.50,ok,ok,ok,3.50,"Assault, Melta 3",,,,,,,
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,90,1,1,69f4-c990-93b4-20fc:ranged:laser-lance,Laser Lance,ranged,6,1,2+,6,-3,2,1.00,6.00,2.00,ok,ok,ok,2.00,Assault,,,,,,,
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,90,1,1,69f4-c990-93b4-20fc:melee:laser-lance,Laser Lance,melee,,4,2+,4,-3,2,4.00,4.00,2.00,ok,ok,ok,8.00,Lance,,,,,,,
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,90,1,1,69f4-c990-93b4-20fc:ranged:twin-shuriken-catapult,Twin Shuriken Catapult,ranged,18,2,2+,4,-1,1,2.00,4.00,1.00,ok,ok,ok,2.00,"Assault, Twin Linked",,,,,,,
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,80,1,1,497a-263e-966a-5a15:melee:banshee-blade,Banshee Blade,melee,,5,2+,4,-2,2,5.00,4.00,2.00,ok,ok,ok,10.00,Anti-Infantry 3+,,,,,,,
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,80,1,1,497a-263e-966a-5a15:ranged:death-spinner,Death Spinner,ranged,12,D6,N/A,4,-1,1,3.50,4.00,1.00,ok,ok,ok,3.50,"Ignores Cover, Torrent",,,,,,,
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,80,1,1,497a-263e-966a-5a15:ranged:dragon-fusion-gun,Dragon Fusion Gun,ranged,12,1,2+,9,-4,D6,1.00,9.00,3.50,ok,ok,ok,3.50,"Assault, Melta 3",,,,,,,
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,80,1,1,497a-263e-966a-5a15:ranged:dragon-fusion-pistol,Dragon Fusion Pistol,ranged,6,1,2+,9,-4,D6,1.00,9.00,3.50,ok,ok,ok,3.50,"Assault, Melta 3, Pistol",,,,,,,
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,80,1,1,497a-263e-966a-5a15:melee:scorpion-chainsword,Scorpion Chainsword,melee,,7,2+,4,-1,1,7.00,4.00,1.00,ok,ok,ok,7.00,Sustained Hits 1,,,,,,,
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,80,1,1,497a-263e-966a-5a15:ranged:shuriken-pistol,Shuriken Pistol,ranged,12,1,2+,4,-1,1,1.00,4.00,1.00,ok,ok,ok,1.00,"Assault, Pistol",,,,,,,
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,80,1,1,497a-263e-966a-5a15:melee:star-glaive,Star Glaive,melee,,4,2+,6,-3,3,4.00,6.00,3.00,ok,ok,ok,12.00,-,,,,,,,
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,80,1,1,497a-263e-966a-5a15:ranged:➤-reaper-launcher---starshot,➤ Reaper Launcher - Starshot,ranged,48,1,3+,10,-2,3,1.00,10.00,3.00,ok,ok,ok,3.00,"Heavy, Ignores Cover",,,,,,,
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,80,1,1,497a-263e-966a-5a15:ranged:➤-reaper-launcher---starswarm,➤ Reaper Launcher - Starswarm,ranged,48,2,3+,4,-2,1,2.00,4.00,1.00,ok,ok,ok,2.00,"Heavy, Ignores Cover",,,,,,,
Aeldari - Aeldari Library,Avatar of Khaine,model,554c-8b4f-1059-28a7,Aeldari - Aeldari Library.cat,280,1,1,554c-8b4f-1059-28a7:ranged:the-wailing-doom,The Wailing Doom,ranged,12,1,2+,16,-4,D6+2,1.00,16.00,5.50,ok,ok,ok,5.50,Sustained Hits D3,,,,,,,
Aeldari - Aeldari Library,Avatar of Khaine,model,554c-8b4f-1059-28a7,Aeldari - Aeldari Library.cat,280,1,1,554c-8b4f-1059-28a7:melee:➤-the-wailing-doom---strike,➤ The Wailing Doom - Strike,melee,,6,2+,16,-4,D6+2,6.00,16.00,5.50,ok,ok,ok,33.00,-,,,,,,,
Aeldari - Aeldari Library,Avatar of Khaine,model,554c-8b4f-1059-28a7,Aeldari - Aeldari Library.cat,280,1,1,554c-8b4f-1059-28a7:melee:➤-the-wailing-doom---sweep,➤ The Wailing Doom - Sweep,melee,,12,2+,8,-2,2,12.00,8.00,2.00,ok,ok,ok,24.00,-,,,,,,,
Aeldari - Aeldari Library,Baharroth,model,8732-df2f-a542-805f,Aeldari - Aeldari Library.cat,115,1,1,8732-df2f-a542-805f:ranged:fury-of-the-tempest,Fury of the Tempest,ranged,24,4,2+,6,-1,2,4.00,6.00,2.00,ok,ok,ok,8.00,"Assault, Lethal Hits",,,,,,,
Aeldari - Aeldari Library,Baharroth,model,8732-df2f-a542-805f,Aeldari - Aeldari Library.cat,115,1,1,8732-df2f-a542-805f:melee:the-shining-blade,The Shining Blade,melee,,6,2+,5,-2,2,6.00,5.00,2.00,ok,ok,ok,12.00,Sustained Hits 1,,,,,,,
Aeldari - Aeldari Library,Beastmaster [Legends],unit,f99a-af49-64c0-9bed,Aeldari - Aeldari Library.cat,135,7,7,f99a-af49-64c0-9bed:melee:agonizer,Agonizer,melee,,3,3+,3,-2,1,3.00,3.00,1.00,ok,ok,ok,3.00,Anti-Infantry 3+,,,,,,,
Aeldari - Aeldari Library,Beastmaster [Legends],unit,f99a-af49-64c0-9bed,Aeldari - Aeldari Library.cat,135,7,7,f99a-af49-64c0-9bed:melee:clawed-fiend-fists,Clawed Fiend fists,melee,,5,4+,5,-2,2,5.00,5.00,2.00,ok,ok,ok,10.00,Devastating Wounds,,,,,,,
Aeldari - Aeldari Library,Beastmaster [Legends],unit,f99a-af49-64c0-9bed,Aeldari - Aeldari Library.cat,135,7,7,f99a-af49-64c0-9bed:melee:khymerae-talons,Khymerae talons,melee,,4,4+,5,-1,1,4.00,5.00,1.00,ok,ok,ok,4.00,Lethal Hits,,,,,,,
Aeldari - Aeldari Library,Beastmaster [Legends],unit,f99a-af49-64c0-9bed,Aeldari - Aeldari Library.cat,135,7,7,f99a-af49-64c0-9bed:melee:razorwing-feathers,Razorwing Feathers,melee,,6,4+,3,0,1,6.00,3.00,1.00,ok,ok,ok,6.00,Sustained Hits 1,,,,,,,
Aeldari - Aeldari Library,Beastmaster [Legends],unit,f99a-af49-64c0-9bed,Aeldari - Aeldari Library.cat,135,7,7,f99a-af49-64c0-9bed:ranged:splinter-pods,Splinter pods,ranged,18,2,3+,2,0,1,2.00,2.00,1.00,ok,ok,ok,2.00,"Anti-Infantry 3+, Assault, Twin-Linked",,,,,,,
Aeldari - Aeldari Library,Bonesinger [Legends],model,2384-4154-b67a-3827,Aeldari - Aeldari Library.cat,45,1,1,2384-4154-b67a-3827:melee:psytronome-shaper,Psytronome Shaper,melee,,2,2+,3,0,D3,2.00,3.00,2.00,ok,ok,ok,4.00,Psychic,,,,,,,
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,415,1,1,e2ad-60b4-9678-88aa:ranged:bright-lance,Bright Lance,ranged,36,1,3+,12,-3,D6+2,1.00,12.00,5.50,ok,ok,ok,5.50,-,,,,,,,
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,415,1,1,e2ad-60b4-9678-88aa:ranged:d-impaler,D-Impaler,ranged,36,D6+3,3+,16,-4,4,6.50,16.00,4.00,ok,ok,ok,26.00,"Blast, Devastating Wounds",,,,,,,
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,415,1,1,e2ad-60b4-9678-88aa:ranged:scatter-laser,Scatter Laser,ranged,36,6,3+,5,0,1,6.00,5.00,1.00,ok,ok,ok,6.00,-,,,,,,,
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,415,1,1,e2ad-60b4-9678-88aa:ranged:shuriken-cannon,Shuriken Cannon,ranged,24,3,3+,6,-1,2,3.00,6.00,2.00,ok,ok,ok,6.00,Sustained Hits 1,,,,,,,
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,415,1,1,e2ad-60b4-9678-88aa:ranged:starcannon,Starcannon,ranged,36,2,3+,8,-3,2,2.00,8.00,2.00,ok,ok,ok,4.00,-,,,,,,,
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,415,1,1,e2ad-60b4-9678-88aa:melee:wraithbone-hull,Wraithbone Hull,melee,,6,4+,6,0,1,6.00,6.00,1.00,ok,ok,ok,6.00,-,,,,,,,
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,415,1,1,e2ad-60b4-9678-88aa:ranged:➤-aeldari-missile-launcher---starshot,➤ Aeldari missile launcher - starshot,ranged,48,1,3+,10,-2,D6,1.00,10.00,3.50,ok,ok,ok,3.50,-,,,,,,,
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,415,1,1,e2ad-60b4-9678-88aa:ranged:➤-aeldari-missile-launcher---sunburst,➤ Aeldari missile launcher - sunburst,ranged,48,D6,3+,4,-1,1,3.50,4.00,1.00,ok,ok,ok,3.50,Blast,,,,,,,
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,105,3,7,790d-9fdf-b359-62ba:ranged:brace-of-pistols,Brace of pistols,ranged,12,2,3+,3,0,1,2.00,3.00,1.00,ok,ok,ok,2.00,"Assault, Pistol",,,,,,,
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,105,3,7,790d-9fdf-b359-62ba:melee:close-combat-weapon,Close combat weapon,melee,,2,3+,3,0,1,2.00,3.00,1.00,ok,ok,ok,2.00,-,,,,,,,
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,105,3,7,790d-9fdf-b359-62ba:ranged:dark-lance,Dark lance,ranged,36,1,3+,12,-3,D6+2,1.00,12.00,5.50,ok,ok,ok,5.50,-,,,,,,,
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,105,3,7,790d-9fdf-b359-62ba:ranged:dissonance-cannon,Dissonance cannon,ranged,24,3,3+,6,-1,2,3.00,6.00,2.00,ok,ok,ok,6.00,Devastating Wounds,,,,,,,
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,105,3,7,790d-9fdf-b359-62ba:ranged:dissonance-pistol,Dissonance pistol,ranged,12,1,3+,6,-1,1,1.00,6.00,1.00,ok,ok,ok,1.00,"Devastating Wounds, Pistol",,,,,,,
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,105,3,7,790d-9fdf-b359-62ba:ranged:shuriken-cannon,Shuriken cannon,ranged,24,3,3+,6,-1,2,3.00,6.00,2.00,ok,ok,ok,6.00,Sustained Hits 1,,,,,,,
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,105,3,7,790d-9fdf-b359-62ba:ranged:splinter-cannon,Splinter cannon,ranged,36,3,3+,3,-1,2,3.00,3.00,2.00,ok,ok,ok,6.00,"Anti-Infantry 3+, Sustained Hits 1",,,,,,,
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,105,3,7,790d-9fdf-b359-62ba:ranged:twin-shuriken-catapult,Twin shuriken catapult,ranged,18,2,3+,4,-1,1,2.00,4.00,1.00,ok,ok,ok,2.00,"Assault, Twin-linked",,,,,,,
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,105,3,7,790d-9fdf-b359-62ba:melee:void-sabre,Void sabre,melee,,3,3+,4,-2,1,3.00,4.00,1.00,ok,ok,ok,3.00,-,,,,,,,
Aeldari - Aeldari Library,Court of the Archon [Legends],unit,b221-43a3-8bee-117c,Aeldari - Aeldari Library.cat,95,4,4,b221-43a3-8bee-117c:melee:close-combat-weapon,Close combat weapon,melee,,2,3+,3,0,1,2.00,3.00,1.00,ok,ok,ok,2.00,-,,,,,,,
Aeldari - Aeldari Library,Court of the Archon [Legends],unit,b221-43a3-8bee-117c,Aeldari - Aeldari Library.cat,95,4,4,b221-43a3-8bee-117c:ranged:eyeburst,Eyeburst,ranged,12,D6,N/A,6,-2,1,3.50,6.00,1.00,ok,ok,ok,3.50,"Pistol, Torrent",,,,,,,
Aeldari - Aeldari Library,Court of the Archon [Legends],unit,b221-43a3-8bee-117c,Aeldari - Aeldari Library.cat,95,4,4,b221-43a3-8bee-117c:melee:shaimeshi-blade,Shaimeshi Blade,melee,,4,3+,4,-2,1,4.00,4.00,1.00,ok,ok,ok,4.00,Anti-Infantry 2+,,,,,,,
Aeldari - Aeldari Library,Court of the Archon [Legends],unit,b221-43a3-8bee-117c,Aeldari - Aeldari Library.cat,95,4,4,b221-43a3-8bee-117c:ranged:shardcarbine,Shardcarbine,ranged,18,3,3+,2,0,1,3.00,2.00,1.00,ok,ok,ok,3.00,"Anti-Infantry 3+, Assault",,,,,,,
Aeldari - Aeldari Library,Court of the Archon [Legends],unit,b221-43a3-8bee-117c,Aeldari - Aeldari Library.cat,95,4,4,b221-43a3-8bee-117c:ranged:splinter-pistol,Splinter pistol,ranged,12,1,3+,2,0,1,1.00,2.00,1.00,ok,ok,ok,1.00,"Anti-Infantry 3+, Assault, Pistol",,,,,,,
