unit_id,faction,unit_name,selection_type,models_min,models_max,suggestion_rank,suggestion_score,suggestion_reason,guide_faction,guide_unit_name,guide_model_name,base_size_text,base_type,base_shape,base_width_mm,base_depth_mm,source_page,source,source_url,source_updated
a228-7269-9961-daf4,Aeldari - Aeldari Library,Reaper [Legends],model,1,1,3,0.58,name similarity 0.67; token overlap 0.00; faction compatible,DRUKHARI,Raider,,Large Flying Base,large_flying_base,flying,,,33,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
915f-4ee6-3358-31ca,Aeldari - Aeldari Library,Skyrunner [Crucible],model,1,1,1,0.72,name similarity 0.69; token overlap 0.50; faction compatible,AELDARI,Farseer Skyrunner,,Small Flying Base,small_flying_base,flying,,,19,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
915f-4ee6-3358-31ca,Aeldari - Aeldari Library,Skyrunner [Crucible],model,1,1,2,0.58,name similarity 0.67; token overlap 0.00; faction compatible,AELDARI,Warlock Skyrunners,,Small Flying Base,small_flying_base,flying,,,20,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
5fe1-5a7a-9f8e-21e0,Chaos - Daemons Library,Seeker Chariot [Legends],unit,1,2,1,0.63,name similarity 0.62; token overlap 0.33; faction compatible,CHAOS DAEMONS,Burning Chariot,,120x92mm Oval Base,oval,oval,120,92,25,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
9843-75d5-f031-6ff7,Chaos - Daemons Library,Seeker Chariot,model,1,1,1,0.63,name similarity 0.62; token overlap 0.33; faction compatible,CHAOS DAEMONS,Burning Chariot,,120x92mm Oval Base,oval,oval,120,92,25,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
fd5b-9e27-797d-6a3a,Chaos - Daemons Library,Pox Riders [Legends],unit,3,3,1,0.60,name similarity 0.70; token overlap 0.00; faction compatible,CHAOS DAEMONS,Poxbringer,,32mm,round,round,32,32,25,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
a5c9-6285-af1e-3cc3,Chaos - Daemons Library,Plague Toads [Legends],unit,3,3,1,0.70,name similarity 0.72; token overlap 0.33; faction compatible,CHAOS DAEMONS,Plague Drones,,Large Flying Base,large_flying_base,flying,,,25,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
a5c9-6285-af1e-3cc3,Chaos - Daemons Library,Plague Toads [Legends],unit,3,3,2,0.70,name similarity 0.72; token overlap 0.33; faction compatible,DAEMONS,Plague Drones,,Large Flying Base,large_flying_base,flying,,,31,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
1b9e-e164-7a5a-c8b7,Chaos - Daemons Library,Furies [Legends],unit,5,10,1,0.58,name similarity 0.67; token overlap 0.00; faction compatible,CHAOS DAEMONS,Fiends,,75x42mm Oval Base,oval,oval,75,42,25,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
1b9e-e164-7a5a-c8b7,Chaos - Daemons Library,Furies [Legends],unit,5,10,2,0.58,name similarity 0.67; token overlap 0.00; faction compatible,DAEMONS,Fiends,,75x42mm Oval Base,oval,oval,75,42,34,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
c0a2-eb65-6d34-5bc6,Chaos - Chaos Knights Library,Knight Ruinator,model,1,1,1,0.73,name similarity 0.75; token overlap 0.33; faction compatible,CHAOS KNIGHTS,Knight Desecrator,,170x109mm Oval Base,oval,oval,170,109,27,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
c0a2-eb65-6d34-5bc6,Chaos - Chaos Knights Library,Knight Ruinator,model,1,1,2,0.70,name similarity 0.71; token overlap 0.33; faction compatible,CHAOS KNIGHTS,Knight Tyrant,,170x109mm Oval Base,oval,oval,170,109,27,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
c0a2-eb65-6d34-5bc6,Chaos - Chaos Knights Library,Knight Ruinator,model,1,1,3,0.70,name similarity 0.71; token overlap 0.33; faction compatible,CHAOS KNIGHTS,Knight Abominant,,170x109mm Oval Base,oval,oval,170,109,27,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
f3d9-883e-6ca2-e3b,Chaos - Chaos Space Marines,Exalted Champion [Legends],model,1,1,1,0.65,name similarity 0.65; token overlap 0.33; faction compatible,WORLD EATERS,Exalted Eightbound,,40mm,round,round,40,40,53,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
f3d9-883e-6ca2-e3b,Chaos - Chaos Space Marines,Exalted Champion [Legends],model,1,1,2,0.59,name similarity 0.56; token overlap 0.33; faction compatible,THOUSAND SONS,Exalted Sorcerer,,32mm,round,round,32,32,50,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
c8b4-e13c-1a3a-7b55,Chaos - Chaos Space Marines,Sorcerer on Palanquin of Nurgle [Legends],model,1,1,1,0.62,name similarity 0.63; token overlap 0.29; faction compatible,DEATH GUARD,Daemon Prince of Nurgle,,60mm,round,round,60,60,31,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
c8b4-e13c-1a3a-7b55,Chaos - Chaos Space Marines,Sorcerer on Palanquin of Nurgle [Legends],model,1,1,2,0.58,name similarity 0.54; token overlap 0.38; faction compatible,THOUSAND SONS,Exalted Sorcerer on Disc of Tzeentch,,40mm,round,round,40,40,50,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
c8b4-e13c-1a3a-7b55,Chaos - Chaos Space Marines,Sorcerer on Palanquin of Nurgle [Legends],model,1,1,3,0.57,name similarity 0.57; token overlap 0.25; faction compatible,DEATH GUARD,Daemon Prince of Nurgle with Wings,,60mm,round,round,60,60,31,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
2af2-8812-7aa9-3db7,Chaos - Chaos Space Marines,Chaos Lord on Palanquin of Nurgle [Legends],model,1,1,1,0.60,name similarity 0.61; token overlap 0.25; faction compatible,DEATH GUARD,Daemon Prince of Nurgle,,60mm,round,round,60,60,31,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
7456-b122-14c3-eca9,Chaos - Chaos Space Marines,Chaos Lord on Disc of Tzeentch [Legends],model,1,1,1,0.75,name similarity 0.73; token overlap 0.50; faction compatible,THOUSAND SONS,Exalted Sorcerer on Disc of Tzeentch,,40mm,round,round,40,40,50,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
7456-b122-14c3-eca9,Chaos - Chaos Space Marines,Chaos Lord on Disc of Tzeentch [Legends],model,1,1,2,0.63,name similarity 0.65; token overlap 0.25; faction compatible,THOUSAND SONS,Daemon Prince of Tzeentch,,60mm,round,round,60,60,50,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
7456-b122-14c3-eca9,Chaos - Chaos Space Marines,Chaos Lord on Disc of Tzeentch [Legends],model,1,1,3,0.58,name similarity 0.59; token overlap 0.22; faction compatible,THOUSAND SONS,Daemon Prince of Tzeentch with Wings,,60mm,round,round,60,60,50,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
349b-6e2d-e554-f2c6,Chaos - Chaos Space Marines,Chaos Lord on Steed of Slaanesh [Legends],model,1,1,1,0.60,name similarity 0.61; token overlap 0.25; faction compatible,EMPEROR’S CHILDREN,Daemon Prince of Slaanesh,,60mm,round,round,60,60,34,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
13b0-de3a-650c-d352,Chaos - Chaos Space Marines,Sorcerer on Steed of Slaanesh [Legends],model,1,1,1,0.62,name similarity 0.63; token overlap 0.29; faction compatible,EMPEROR’S CHILDREN,Daemon Prince of Slaanesh,,60mm,round,round,60,60,34,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
13b0-de3a-650c-d352,Chaos - Chaos Space Marines,Sorcerer on Steed of Slaanesh [Legends],model,1,1,2,0.61,name similarity 0.58; token overlap 0.38; faction compatible,THOUSAND SONS,Exalted Sorcerer on Disc of Tzeentch,,40mm,round,round,40,40,50,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
13b0-de3a-650c-d352,Chaos - Chaos Space Marines,Sorcerer on Steed of Slaanesh [Legends],model,1,1,3,0.57,name similarity 0.57; token overlap 0.25; faction compatible,EMPEROR’S CHILDREN,Daemon Prince of Slaanesh with Wings,,60mm,round,round,60,60,34,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
5b66-39e6-aeb5-8011,Chaos - Chaos Space Marines,Renegade Enforcer [Legends],model,1,1,1,0.66,name similarity 0.67; token overlap 0.33; faction compatible,CHAOS SPACE MARINES,Traitor Enforcer,,32mm,round,round,32,32,29,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
5b66-39e6-aeb5-8011,Chaos - Chaos Space Marines,Renegade Enforcer [Legends],model,1,1,2,0.66,name similarity 0.67; token overlap 0.33; faction compatible,CHAOS SPACE MARINES,Traitor Enforcer,Traitor Ogryn,40mm,round,round,40,40,29,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
9238-473a-54ee-6b0e,Chaos - Chaos Space Marines,Negavolt Cultists [Legends],unit,4,4,1,0.60,name similarity 0.59; token overlap 0.33; faction compatible,CHAOS SPACE MARINES,Accursed Cultists,Mutant,25mm,round,round,25,25,28,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
9238-473a-54ee-6b0e,Chaos - Chaos Space Marines,Negavolt Cultists [Legends],unit,4,4,2,0.60,name similarity 0.59; token overlap 0.33; faction compatible,CHAOS SPACE MARINES,Accursed Cultists,Torment,40mm,round,round,40,40,28,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
af6f-7c4e-ec78-858e,Chaos - Chaos Space Marines,Sorcerer on Bike [Legends],model,1,1,1,0.66,name similarity 0.67; token overlap 0.33; faction compatible,CHAOS SPACE MARINES,Sorcerer,,40mm,round,round,40,40,29,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
af6f-7c4e-ec78-858e,Chaos - Chaos Space Marines,Sorcerer on Bike [Legends],model,1,1,2,0.66,name similarity 0.67; token overlap 0.33; faction compatible,EMPEROR’S CHILDREN,Sorcerer,,40mm,round,round,40,40,34,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
af6f-7c4e-ec78-858e,Chaos - Chaos Space Marines,Sorcerer on Bike [Legends],model,1,1,3,0.66,name similarity 0.67; token overlap 0.33; faction compatible,THOUSAND SONS,Sorcerer,,32mm,round,round,32,32,50,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
2dfd-2e5f-53f2-b695,Chaos - Chaos Space Marines,Chaos Lord on Bike [Legends],model,1,1,1,0.74,name similarity 0.71; token overlap 0.50; faction compatible,CHAOS SPACE MARINES,Chaos Lord,,40mm,round,round,40,40,28,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
2dfd-2e5f-53f2-b695,Chaos - Chaos Space Marines,Chaos Lord on Bike [Legends],model,1,1,2,0.68,name similarity 0.68; token overlap 0.33; faction compatible,CHAOS SPACE MARINES,Chaos Lord with Jump Pack,,40mm,round,round,40,40,28,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
2dfd-2e5f-53f2-b695,Chaos - Chaos Space Marines,Chaos Lord on Bike [Legends],model,1,1,3,0.63,name similarity 0.67; token overlap 0.20; faction compatible,CHAOS SPACE MARINES,Chaos Bikers,,75x42mm Oval Base,oval,oval,75,42,28,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
6add-621e-381e-4acf,Chaos - Chaos Space Marines,Chaos Deimos Predator [Legends],model,1,1,1,0.66,name similarity 0.61; token overlap 0.50; faction compatible,CHAOS SPACE MARINES,Chaos Predator Destructor,,Hull,hull,hull,,,28,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
6add-621e-381e-4acf,Chaos - Chaos Space Marines,Chaos Deimos Predator [Legends],model,1,1,2,0.66,name similarity 0.61; token overlap 0.50; faction compatible,DEATH GUARD,Chaos Predator Destructor,,Hull,hull,hull,,,31,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
