faction,unit_name,selection_type,unit_id,source_file,points,models_min,models_max,total_weapons,ranged_weapons,ranged_weapons_with_range,ranged_weapons_missing_range,melee_weapons,coverage
Aeldari - Aeldari Library,Howling Banshees,unit,7fcb-9262-474a-7cec,Aeldari - Aeldari Library.cat,95,5,10,5,1,1,0,4,both
Aeldari - Aeldari Library,Illic Nightspear [Legends],model,2713-f82d-5189-d5de,Aeldari - Aeldari Library.cat,70,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Jain Zar,model,77f9-e8de-225f-9e68,Aeldari - Aeldari Library.cat,120,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Kabalite Warriors,unit,d20b-783-ccf6-b29d,Aeldari - Aeldari Library.cat,115,9,9,9,7,7,0,2,both
Aeldari - Aeldari Library,Karandras [Legends],model,c9ed-d190-419c-78d3,Aeldari - Aeldari Library.cat,90,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Kharseth,model,4273-173c-e850-4071,Aeldari - Aeldari Library.cat,95,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Lhykhis,model,8bbc-7ae0-5d5c-a105,Aeldari - Aeldari Library.cat,135,1,1,3,1,1,0,2,both
Aeldari - Aeldari Library,Lynx [Legends],model,e3c5-54ef-44a5-9366,Aeldari - Aeldari Library.cat,180,1,1,8,7,7,0,1,both
Aeldari - Aeldari Library,Mandrakes,unit,6a3a-7973-b509-532e,Aeldari - Aeldari Library.cat,75,4,9,2,1,1,0,1,both
Aeldari - Aeldari Library,Night Spinner,model,908a-fc2b-5a53-599f,Aeldari - Aeldari Library.cat,190,1,1,4,3,3,0,1,both
Aeldari - Aeldari Library,Nightwing [Legends],model,af2e-2bff-9813-a5a3,Aeldari - Aeldari Library.cat,150,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Phantom Titan,model,79b3-2cd1-d7b4-d7b1,Aeldari - Aeldari Library.cat,2100,1,1,8,5,5,0,3,both
Aeldari - Aeldari Library,Phoenix [Legends],model,6083-affa-5163-a94c,Aeldari - Aeldari Library.cat,175,1,1,4,3,3,0,1,both
Aeldari - Aeldari Library,Prince Yriel,model,54dc-aa1f-817a-a5c5,Aeldari - Aeldari Library.cat,95,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Prince Yriel [Legends],model,1fbf-55d9-5ca8-4e9e,Aeldari - Aeldari Library.cat,100,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Raider,model,635b-21f4-f801-453,Aeldari - Aeldari Library.cat,85,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Rangers,unit,b98b-701f-9c0c-5437,Aeldari - Aeldari Library.cat,55,5,10,3,2,2,0,1,both
Aeldari - Aeldari Library,Ravager,model,3376-d337-6a33-4bca,Aeldari - Aeldari Library.cat,110,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Raven Strike Fighter [Legends],model,28c1-2c51-ab58-2d91,Aeldari - Aeldari Library.cat,170,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Razorwing Jetfighter,model,fbc4-c7d0-db5b-91c,Aeldari - Aeldari Library.cat,170,1,1,8,7,7,0,1,both
Aeldari - Aeldari Library,Reaper [Legends],model,a228-7269-9961-daf4,Aeldari - Aeldari Library.cat,115,1,1,4,2,2,0,2,both
Aeldari - Aeldari Library,Reavers,unit,2c3a-9752-2516-69ab,Aeldari - Aeldari Library.cat,70,3,6,5,4,4,0,1,both
Aeldari - Aeldari Library,Revenant Titan,model,ca40-4a0d-567-852,Aeldari - Aeldari Library.cat,1100,1,1,4,3,3,0,1,both
Aeldari - Aeldari Library,Scorpion [Legends],model,1420-c80d-66fc-6a,Aeldari - Aeldari Library.cat,410,1,1,8,7,7,0,1,both
Aeldari - Aeldari Library,Scourges with Heavy Weapons,unit,7c93-baac-e65f-58bd,Aeldari - Aeldari Library.cat,130,4,4,11,9,9,0,2,both
Aeldari - Aeldari Library,Scourges with Shardcarbines,unit,f2d1-4574-223f-998f,Aeldari - Aeldari Library.cat,75,4,4,7,5,5,0,2,both
Aeldari - Aeldari Library,Shadow Spectre Exarch,model,b7d6-2303-bd6a-5291,Aeldari - Aeldari Library.cat,30,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Shadow Spectres [Legends],unit,9c94-b663-fd31-6001,Aeldari - Aeldari Library.cat,115,5,11,3,2,2,0,1,both
Aeldari - Aeldari Library,Shadow Weaver Platform,model,2c93-f32d-64ea-b829,Aeldari - Aeldari Library.cat,75,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Shadowseer,model,8c34-52ba-cbd0-9ca4,Aeldari - Aeldari Library.cat,60,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Shining Spears,unit,433-faed-ea62-c531,Aeldari - Aeldari Library.cat,110,3,6,5,4,4,0,1,both
Aeldari - Aeldari Library,Shroud Runners,unit,c1ff-dc11-9853-e3e3,Aeldari - Aeldari Library.cat,80,3,6,4,3,3,0,1,both
Aeldari - Aeldari Library,Skathach Wraithknight [Legends],model,5f15-8ad-1f3b-d6d1,Aeldari - Aeldari Library.cat,490,1,1,7,6,6,0,1,both
Aeldari - Aeldari Library,Skyrunner [Crucible],model,915f-4ee6-3358-31ca,Aeldari - Aeldari Library.cat,80,1,1,30,20,20,0,10,both
Aeldari - Aeldari Library,Skyweavers,unit,9270-4b93-ca59-f3ed,Aeldari - Aeldari Library.cat,95,2,4,5,3,3,0,2,both
Aeldari - Aeldari Library,Spiritseer,model,e53b-7d09-eb7c-c6c7,Aeldari - Aeldari Library.cat,65,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Starfang,model,f972-78f9-204e-d55c,Aeldari - Aeldari Library.cat,75,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Starfangs,unit,a074-87f8-810d-492a,Aeldari - Aeldari Library.cat,75,1,2,3,2,2,0,1,both
Aeldari - Aeldari Library,Starweaver,model,854b-f8e-28fa-8c24,Aeldari - Aeldari Library.cat,80,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Storm Guardians,unit,5452-c4a7-59fb-f05c,Aeldari - Aeldari Library.cat,110,11,11,5,3,3,0,2,both
Aeldari - Aeldari Library,Striking Scorpions,unit,c90f-a8e5-6afa-eb91,Aeldari - Aeldari Library.cat,85,5,10,5,1,1,0,4,both
Aeldari - Aeldari Library,Swooping Hawks,unit,240f-70a4-7ba7-a538,Aeldari - Aeldari Library.cat,95,5,10,7,5,5,0,2,both
Aeldari - Aeldari Library,Talos,unit,5c5f-b70b-f6ee-a81e,Aeldari - Aeldari Library.cat,80,1,2,9,5,5,0,4,both
Aeldari - Aeldari Library,Tantalus [Legends],model,dfe4-d4db-9d04-9e7a,Aeldari - Aeldari Library.cat,230,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,The Yncarne,model,68fb-4b6f-2bf8-7105,Aeldari - Aeldari Library.cat,260,1,1,3,1,1,0,2,both
Aeldari - Aeldari Library,Troupe Master,model,dada-b81b-37bd-1f3b,Aeldari - Aeldari Library.cat,75,1,1,5,3,3,0,2,both
Aeldari - Aeldari Library,Urien Rakarth [Legends],model,76c4-e2ba-e247-560e,Aeldari - Aeldari Library.cat,80,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Vampire Hunter [Legends],model,22ea-9a4-cda3-a24,Aeldari - Aeldari Library.cat,460,1,1,4,3,3,0,1,both
Aeldari - Aeldari Library,Vampire Raider [Legends],model,4016-44d3-c64b-cc1a,Aeldari - Aeldari Library.cat,430,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Venom,model,ee2c-6ca0-5e29-37a6,Aeldari - Aeldari Library.cat,70,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Vibro Cannon Platform,model,5df4-e13a-f6f4-b672,Aeldari - Aeldari Library.cat,60,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Voidraven Bomber,model,71e1-7d54-4856-4ce1,Aeldari - Aeldari Library.cat,245,1,1,5,4,4,0,1,both
Aeldari - Aeldari Library,Voidweaver,model,e011-d99d-f0de-5289,Aeldari - Aeldari Library.cat,125,1,1,5,4,4,0,1,both
Aeldari - Aeldari Library,Vyper,model,d5e3-30bd-71e8-314b,Aeldari - Aeldari Library.cat,75,1,1,7,6,6,0,1,both
Aeldari - Aeldari Library,Vypers,unit,814d-56c9-78fe-2123,Aeldari - Aeldari Library.cat,75,1,2,7,6,6,0,1,both
Aeldari - Aeldari Library,War Walker,model,309a-28be-6cc6-a37c,Aeldari - Aeldari Library.cat,85,1,1,7,6,6,0,1,both
Aeldari - Aeldari Library,War Walkers,unit,bcec-dc54-9242-4e13,Aeldari - Aeldari Library.cat,85,1,2,7,6,6,0,1,both
Aeldari - Aeldari Library,Warlock,model,291f-2885-4512-f0cd,Aeldari - Aeldari Library.cat,45,1,1,4,3,3,0,1,both
Aeldari - Aeldari Library,Warlock Conclave,unit,d61-c058-6bd1-112f,Aeldari - Aeldari Library.cat,55,2,4,4,3,3,0,1,both
Aeldari - Aeldari Library,Warlock Skyrunners,unit,f52d-1814-7d66-1f7b,Aeldari - Aeldari Library.cat,45,1,2,5,4,4,0,1,both
Aeldari - Aeldari Library,Warp Hunter [Legends],model,ef18-ff32-2be6-7372,Aeldari - Aeldari Library.cat,145,1,1,5,4,4,0,1,both
Aeldari - Aeldari Library,Warp Spiders,unit,57ec-47a8-a59a-6a46,Aeldari - Aeldari Library.cat,105,5,10,7,4,4,0,3,both
Aeldari - Aeldari Library,Wasp Assault Walker [Legends],model,6c50-7486-7c0d-52d0,Aeldari - Aeldari Library.cat,95,1,1,7,6,6,0,1,both
Aeldari - Aeldari Library,Wave Serpent,model,ad88-f706-318c-e70e,Aeldari - Aeldari Library.cat,125,1,1,9,8,8,0,1,both
Aeldari - Aeldari Library,Wracks,unit,2659-7a1b-3ce6-8e4b,Aeldari - Aeldari Library.cat,60,4,9,6,4,4,0,2,both
Aeldari - Aeldari Library,Wraithguard,unit,5aa4-107-d7ee-f0f3,Aeldari - Aeldari Library.cat,160,5,5,3,2,2,0,1,both
Aeldari - Aeldari Library,Wraithknight,model,bfd-df5a-b358-4cf9,Aeldari - Aeldari Library.cat,435,1,1,6,5,5,0,1,both
Aeldari - Aeldari Library,Wraithknight with Ghostglaive,model,d756-653a-872b-5c1b,Aeldari - Aeldari Library.cat,420,1,1,6,4,4,0,2,both
Aeldari - Aeldari Library,Wraithlord,model,b9e9-397e-d83a-f77a,Aeldari - Aeldari Library.cat,130,1,1,11,8,8,0,3,both
Aeldari - Aeldari Library,Wraithseer [Legends],model,b369-a813-75ac-2dc6,Aeldari - Aeldari Library.cat,160,1,1,10,8,8,0,2,both
Aeldari - Aeldari Library,Wyches,unit,edca-1a1b-902d-421a,Aeldari - Aeldari Library.cat,90,9,9,5,2,2,0,3,both
Aeldari - Aeldari Library,Ynnari Archon,model,5f10-27fc-f1e4-af90,Aeldari - Aeldari Library.cat,85,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Ynnari Raider,model,8e15-3c74-d36f-7669,Aeldari - Aeldari Library.cat,80,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Ynnari Reavers,unit,915d-ad53-9518-7a85,Aeldari - Aeldari Library.cat,65,3,6,6,4,4,0,2,both
Aeldari - Aeldari Library,Ynnari Succubus,model,c2e0-ca3e-e8c1-e019,Aeldari - Aeldari Library.cat,45,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Ynnari Venom,model,5443-6671-baeb-77a3,Aeldari - Aeldari Library.cat,70,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Ynnari Wyches,unit,36fd-7c3f-b728-c5d4,Aeldari - Aeldari Library.cat,90,9,9,3,2,2,0,1,both
Aeldari - Aeldari Library,Yvraine,model,ada5-25ce-d5d5-4ccb,Aeldari - Aeldari Library.cat,100,1,1,2,1,1,0,1,both
Chaos - Chaos Knights Library,Chaos Acastus Knight Asterius,model,e289-ad32-c78a-e055,Chaos - Chaos Knights Library.cat,765,1,1,4,3,3,0,1,both
Chaos - Chaos Knights Library,Chaos Acastus Knight Porphyrion,model,fe77-6f85-5ddb-65bf,Chaos - Chaos Knights Library.cat,700,1,1,6,5,5,0,1,both
Chaos - Chaos Knights Library,Chaos Cerastus Knight Acheron,model,ec6e-d1d6-f7c6-d008,Chaos - Chaos Knights Library.cat,385,1,1,4,2,2,0,2,both
Chaos - Chaos Knights Library,Chaos Cerastus Knight Atrapos,model,8b1d-9029-f9e1-42d9,Chaos - Chaos Knights Library.cat,395,1,1,4,3,3,0,1,both
Chaos - Chaos Knights Library,Chaos Cerastus Knight Castigator,model,b6e5-911b-93f-476,Chaos - Chaos Knights Library.cat,385,1,1,3,1,1,0,2,both
Chaos - Chaos Knights Library,Chaos Cerastus Knight Lancer,model,4175-82c6-8e96-bef8,Chaos - Chaos Knights Library.cat,385,1,1,3,1,1,0,2,both
Chaos - Chaos Knights Library,Chaos Questoris Knight Magaera,model,2d0e-5b83-b678-56dc,Chaos - Chaos Knights Library.cat,375,1,1,7,3,3,0,4,both
Chaos - Chaos Knights Library,Chaos Questoris Knight Styrix,model,106c-4bdf-79a4-1c70,Chaos - Chaos Knights Library.cat,375,1,1,7,3,3,0,4,both
Chaos - Chaos Knights Library,Knight Abominant,model,a78d-828b-302b-1bec,Chaos - Chaos Knights Library.cat,355,1,1,4,2,2,0,2,both
Chaos - Chaos Knights Library,Knight Desecrator,model,7a51-8f1f-7290-d9d2,Chaos - Chaos Knights Library.cat,355,1,1,6,2,2,0,4,both
Chaos - Chaos Knights Library,Knight Despoiler,model,0119-8c04-435e-c782,Chaos - Chaos Knights Library.cat,390,1,1,14,9,9,0,5,both
Chaos - Chaos Knights Library,Knight Rampager,model,61e0-e55b-1926-44df,Chaos - Chaos Knights Library.cat,365,1,1,5,1,1,0,4,both
Chaos - Chaos Knights Library,Knight Ruinator,model,c0a2-eb65-6d34-5bc6,Chaos - Chaos Knights Library.cat,355,1,1,4,2,2,0,2,both
Chaos - Chaos Knights Library,Knight Tyrant,model,87ea-c7bd-6df0-f056,Chaos - Chaos Knights Library.cat,410,1,1,9,8,8,0,1,both
Chaos - Chaos Knights Library,War Dog Brigand,model,753d-4e02-eda3-4809,Chaos - Chaos Knights Library.cat,140,1,1,5,4,4,0,1,both
Chaos - Chaos Knights Library,War Dog Executioner,model,8df0-fc3c-8ced-ffce,Chaos - Chaos Knights Library.cat,130,1,1,4,3,3,0,1,both
Chaos - Chaos Knights Library,War Dog Huntsman,model,6e6d-7950-ce6d-4cd4,Chaos - Chaos Knights Library.cat,140,1,1,5,3,3,0,2,both
Chaos - Chaos Knights Library,War Dog Karnivore,model,e96b-ac98-7fd2-a155,Chaos - Chaos Knights Library.cat,150,1,1,4,2,2,0,2,both
Chaos - Chaos Knights Library,War Dog Moirax,model,ae7c-3679-a88-6895,Chaos - Chaos Knights Library.cat,150,1,1,7,5,5,0,2,both
Chaos - Chaos Knights Library,War Dog Stalker,model,bbc6-c0ed-24e8-86b7,Chaos - Chaos Knights Library.cat,140,1,1,7,4,4,0,3,both
Chaos - Chaos Space Marines,Abaddon the Despoiler,model,76b4-a2c4-208e-ceb9,Chaos - Chaos Space Marines.cat,270,1,1,2,1,1,0,1,both
Chaos - Chaos Space Marines,Chaos Bikers,unit,7373-47b7-11a3-2b48,Chaos - Chaos Space Marines.cat,70,3,6,5,3,3,0,2,both
Chaos - Chaos Space Marines,Chaos Deimos Predator [Legends],model,6add-621e-381e-4acf,Chaos - Chaos Space Marines.cat,115,1,1,10,9,9,0,1,both
Chaos - Chaos Space Marines,Chaos Land Raider,model,6de7-36d5-6015-7a51,Chaos - Chaos Space Marines.cat,220,1,1,5,4,4,0,1,both
Chaos - Chaos Space Marines,Chaos Lord,model,e496-5a54-4cb2-4fc1,Chaos - Chaos Space Marines.cat,90,1,1,6,2,2,0,4,both
Chaos - Chaos Space Marines,Chaos Lord in Terminator Armour,model,b206-250d-84aa-fc42,Chaos - Chaos Space Marines.cat,85,1,1,6,2,2,0,4,both
Chaos - Chaos Space Marines,Chaos Lord on Bike [Legends],model,2dfd-2e5f-53f2-b695,Chaos - Chaos Space Marines.cat,95,1,1,10,5,5,0,5,both
Chaos - Chaos Space Marines,Chaos Lord on Disc of Tzeentch [Legends],model,7456-b122-14c3-eca9,Chaos - Chaos Space Marines.cat,100,1,1,10,5,5,0,5,both
Chaos - Chaos Space Marines,Chaos Lord on Juggernaut [Legends],model,dceb-1d2c-40be-e591,Chaos - Chaos Space Marines.cat,115,1,1,11,5,5,0,6,both
Chaos - Chaos Space Marines,Chaos Lord on Palanquin of Nurgle [Legends],model,2af2-8812-7aa9-3db7,Chaos - Chaos Space Marines.cat,90,1,1,11,5,5,0,6,both
Chaos - Chaos Space Marines,Chaos Lord on Steed of Slaanesh [Legends],model,349b-6e2d-e554-f2c6,Chaos - Chaos Space Marines.cat,100,1,1,11,5,5,0,6,both
Chaos - Chaos Space Marines,Chaos Lord with Jump Pack,model,d880-9968-2ed9-5a21,Chaos - Chaos Space Marines.cat,80,1,1,6,3,3,0,3,both
Chaos - Chaos Space Marines,Chaos Predator Annihilator,model,279e-62d4-bff1-141,Chaos - Chaos Space Marines.cat,135,1,1,6,5,5,0,1,both
Chaos - Chaos Space Marines,Chaos Predator Destructor,model,3dfb-3b2a-94b-2fbe,Chaos - Chaos Space Marines.cat,140,1,1,6,5,5,0,1,both
Chaos - Chaos Space Marines,Chaos Rhino,model,e981-27ae-112f-aa9a,Chaos - Chaos Space Marines.cat,75,1,1,3,2,2,0,1,both
Chaos - Chaos Space Marines,Chaos Terminator Squad,unit,203d-c50f-a438-4982,Chaos - Chaos Space Marines.cat,180,5,10,5,3,3,0,2,both
Chaos - Chaos Space Marines,Chaos Vindicator,model,e687-6d7a-bb28-dcaa,Chaos - Chaos Space Marines.cat,185,1,1,4,3,3,0,1,both
Chaos - Chaos Space Marines,Chosen,unit,4e85-615b-5d49-dfa4,Chaos - Chaos Space Marines.cat,125,5,10,3,1,1,0,2,both
Chaos - Chaos Space Marines,Cultist Firebrand,model,cb66-af7-2cca-1c85,Chaos - Chaos Space Marines.cat,45,1,1,2,1,1,0,1,both
Chaos - Chaos Space Marines,Dark Commune,unit,1780-25b8-ce0b-898d,Chaos - Chaos Space Marines.cat,90,5,5,6,3,3,0,3,both
Chaos - Chaos Space Marines,Defiler,model,29f9-fc47-787e-d9d3,Chaos - Chaos Space Marines.cat,250,1,1,12,9,9,0,3,both
Chaos - Chaos Space Marines,Exalted Champion [Crucible],model,b9a4-a9c4-5f8d-ed3a,Chaos - Chaos Space Marines.cat,90,1,1,36,22,22,0,14,both
Chaos - Chaos Space Marines,Exalted Champion [Legends],model,f3d9-883e-6ca2-e3b,Chaos - Chaos Space Marines.cat,70,1,1,2,1,1,0,1,both
Chaos - Chaos Space Marines,Fabius Bile,unit,cd9c-96e7-6dcb-bedf,Chaos - Chaos Space Marines.cat,100,2,2,4,1,1,0,3,both
Chaos - Chaos Space Marines,Fellgor Beastmen,unit,6bf7-888c-7aa6-6831,Chaos - Chaos Space Marines.cat,70,10,10,8,4,4,0,4,both
Chaos - Chaos Space Marines,Forgefiend,model,45b-19f6-38d2-703f,Chaos - Chaos Space Marines.cat,170,1,1,4,2,2,0,2,both
Chaos - Chaos Space Marines,Gellerpox Infected [Legends],unit,e1c2-8417-403a-68,Chaos - Chaos Space Marines.cat,125,7,7,3,1,1,0,2,both
Chaos - Chaos Space Marines,Haarken Worldclaimer,model,d93f-6d73-1792-cb18,Chaos - Chaos Space Marines.cat,90,1,1,2,1,1,0,1,both
Chaos - Chaos Space Marines,Havocs,unit,946c-d784-c8be-f21,Chaos - Chaos Space Marines.cat,125,5,5,9,7,7,0,2,both
Chaos - Chaos Space Marines,Helbrute,model,9ff2-45e0-fe97-65f8,Chaos - Chaos Space Marines.cat,130,1,1,12,8,8,0,4,both
Chaos - Chaos Space Marines,Heldrake,model,79e5-a673-cca5-91a4,Chaos - Chaos Space Marines.cat,205,1,1,3,2,2,0,1,both
Chaos - Chaos Space Marines,Hell Talon [Legends],model,4893-c42f-4ca8-2b3d,Chaos - Chaos Space Marines.cat,140,1,1,4,3,3,0,1,both
Chaos - Chaos Space Marines,Hellblade [Legends],model,8373-f06d-7680-9de,Chaos - Chaos Space Marines.cat,115,1,1,3,2,2,0,1,both
Chaos - Chaos Space Marines,Heretic Astartes Daemon Prince,model,9bbd-a535-a4ef-9680,Chaos - Chaos Space Marines.cat,165,1,1,3,1,1,0,2,both
Chaos - Chaos Space Marines,Heretic Astartes Daemon Prince with wings,model,2a1d-2757-347c-58f2,Chaos - Chaos Space Marines.cat,180,1,1,3,1,1,0,2,both
Chaos - Chaos Space Marines,Huron Blackheart,model,d9e3-8baf-128f-6389,Chaos - Chaos Space Marines.cat,120,1,1,2,1,1,0,1,both
Chaos - Chaos Space Marines,Khorne Lord of Skulls,model,b27f-1c85-5e7f-4e7d,Chaos - Chaos Space Marines.cat,450,1,1,7,5,5,0,2,both
Chaos - Chaos Space Marines,Kravek Morne,model,eec8-c21f-c284-a682,Chaos - Chaos Space Marines.cat,0,1,1,4,2,2,0,2,both
Chaos - Chaos Space Marines,Legionaries,unit,615-e6bf-cfd2-9384,Chaos - Chaos Space Marines.cat,90,5,10,11,9,9,0,2,both
Chaos - Chaos Space Marines,Lord Discordant on Helstalker,model,46e1-2159-7c26-9105,Chaos - Chaos Space Marines.cat,160,1,1,7,4,4,0,3,both
Chaos - Chaos Space Marines,Master of Possession,model,287f-7d48-59cf-dc1e,Chaos - Chaos Space Marines.cat,60,1,1,3,2,2,0,1,both
Chaos - Chaos Space Marines,Masters of the Maelstrom,unit,a998-9dce-fbab-8d32,Chaos - Chaos Space Marines.cat,115,5,5,10,5,5,0,5,both
Chaos - Chaos Space Marines,Maulerfiend,model,d37d-7e8f-341b-c67c,Chaos - Chaos Space Marines.cat,130,1,1,3,1,1,0,2,both
Chaos - Chaos Space Marines,Nemesis Claw,unit,f666-1f5d-0c20-06c1,Chaos - Chaos Space Marines.cat,110,5,10,10,5,5,0,5,both
