weapon_id,unit_id,name,weapon_type,attacks,skill,strength,ap,damage,keywords,range_inches,hit_modifier,wound_modifier,reroll_hits,reroll_wounds,lethal_hits,sustained_hits,devastating_wounds,source_file
df57-7a59-75eb-ce63:melee:banshee-blade,df57-7a59-75eb-ce63,Banshee Blade,melee,5,2+,4,-2,2,Anti-Infantry 3+,,,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:melee:scorpion-chainsword,df57-7a59-75eb-ce63,Scorpion Chainsword,melee,7,2+,4,-1,1,Sustained Hits 1,,,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:ranged:dragon-fusion-pistol,497a-263e-966a-5a15,Dragon Fusion Pistol,ranged,1,2+,9,-4,D6,"Assault, Melta 3, Pistol",6,,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:ranged:dragon-fusion-gun,497a-263e-966a-5a15,Dragon Fusion Gun,ranged,1,2+,9,-4,D6,"Assault, Melta 3",12,,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:ranged:death-spinner,497a-263e-966a-5a15,Death Spinner,ranged,D6,N/A,4,-1,1,"Ignores Cover, Torrent",12,,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:ranged:➤-reaper-launcher---starshot,497a-263e-966a-5a15,➤ Reaper Launcher - Starshot,ranged,1,3+,10,-2,3,"Heavy, Ignores Cover",48,,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:ranged:➤-reaper-launcher---starswarm,497a-263e-966a-5a15,➤ Reaper Launcher - Starswarm,ranged,2,3+,4,-2,1,"Heavy, Ignores Cover",48,,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:ranged:shuriken-pistol,497a-263e-966a-5a15,Shuriken Pistol,ranged,1,2+,4,-1,1,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:melee:star-glaive,497a-263e-966a-5a15,Star Glaive,melee,4,2+,6,-3,3,-,,,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:melee:banshee-blade,497a-263e-966a-5a15,Banshee Blade,melee,5,2+,4,-2,2,Anti-Infantry 3+,,,,,,,,,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15:melee:scorpion-chainsword,497a-263e-966a-5a15,Scorpion Chainsword,melee,7,2+,4,-1,1,Sustained Hits 1,,,,,,,,,Aeldari - Aeldari Library.cat
554c-8b4f-1059-28a7:ranged:the-wailing-doom,554c-8b4f-1059-28a7,The Wailing Doom,ranged,1,2+,16,-4,D6+2,Sustained Hits D3,12,,,,,,,,Aeldari - Aeldari Library.cat
554c-8b4f-1059-28a7:melee:➤-the-wailing-doom---strike,554c-8b4f-1059-28a7,➤ The Wailing Doom - Strike,melee,6,2+,16,-4,D6+2,-,,,,,,,,,Aeldari - Aeldari Library.cat
554c-8b4f-1059-28a7:melee:➤-the-wailing-doom---sweep,554c-8b4f-1059-28a7,➤ The Wailing Doom - Sweep,melee,12,2+,8,-2,2,-,,,,,,,,,Aeldari - Aeldari Library.cat
8732-df2f-a542-805f:melee:the-shining-blade,8732-df2f-a542-805f,The Shining Blade,melee,6,2+,5,-2,2,Sustained Hits 1,,,,,,,,,Aeldari - Aeldari Library.cat
8732-df2f-a542-805f:ranged:fury-of-the-tempest,8732-df2f-a542-805f,Fury of the Tempest,ranged,4,2+,6,-1,2,"Assault, Lethal Hits",24,,,,,,,,Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043:ranged:bright-lance,90c9-aaac-5ef8-f043,Bright Lance,ranged,1,3+,12,-3,D6+2,-,36,,,,,,,,Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043:ranged:starcannon,90c9-aaac-5ef8-f043,Starcannon,ranged,2,3+,8,-3,2,-,36,,,,,,,,Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043:melee:wraithbone-hull,90c9-aaac-5ef8-f043,Wraithbone Hull,melee,3,4+,6,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043:ranged:pulse-laser,90c9-aaac-5ef8-f043,Pulse Laser,ranged,3,3+,9,-2,D6,-,48,,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:ranged:➤-reaper-launcher---starshot,6863-bf42-238a-fd0b,➤ Reaper Launcher - Starshot,ranged,1,3+,10,-2,3,Ignores Cover,48,,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:ranged:➤-reaper-launcher---starswarm,6863-bf42-238a-fd0b,➤ Reaper Launcher - Starswarm,ranged,2,3+,5,-2,1,Ignores Cover,48,,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:ranged:➤-missile-launcher---starshot,6863-bf42-238a-fd0b,➤ Missile Launcher - Starshot,ranged,1,2+,10,-2,D6,Ignores Cover,48,,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:ranged:➤-missile-launcher---sunburst,6863-bf42-238a-fd0b,➤ Missile Launcher - Sunburst,ranged,D6,2+,4,-1,1,"Blast, Ignores Cover",48,,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:ranged:tempest-launcher,6863-bf42-238a-fd0b,Tempest Launcher,ranged,2D6,3+,4,-1,1,"Blast, Indirect Fire",36,,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:ranged:shuriken-cannon,6863-bf42-238a-fd0b,Shuriken Cannon,ranged,3,3+,6,-1,2,"Ignores Cover, Lethal Hits",24,,,,,,,,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b:melee:close-combat-weapon,6863-bf42-238a-fd0b,Close combat weapon,melee,2,3+,3,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
5768-1f87-3a16-d901:ranged:shrieker-cannon,5768-1f87-3a16-d901,Shrieker Cannon,ranged,3,2+,6,-2,2,-,24,,,,,,,,Aeldari - Aeldari Library.cat
5768-1f87-3a16-d901:melee:jester's-blade,5768-1f87-3a16-d901,Jester's Blade,melee,4,2+,4,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:melee:power-glaive,e6c2-f3b2-6d3e-c3d3,Power Glaive,melee,3,3+,5,-3,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:melee:diresword,e6c2-f3b2-6d3e-c3d3,Diresword,melee,4,3+,4,-2,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:ranged:avenger-shuriken-catapult,e6c2-f3b2-6d3e-c3d3,Avenger Shuriken Catapult,ranged,4,3+,4,-1,1,Assault,18,,,,,,,,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:ranged:shuriken-pistol,e6c2-f3b2-6d3e-c3d3,Shuriken Pistol,ranged,1,3+,4,-1,1,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3:melee:close-combat-weapon,e6c2-f3b2-6d3e-c3d3,Close Combat Weapon,melee,2,3+,3,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
f48e-276e-a997-c90e:ranged:mind-war,f48e-276e-a997-c90e,Mind War,ranged,1,2+,5,-2,D6,"Anti-character 4+, Precision, Psychic",18,,,,,,,,Aeldari - Aeldari Library.cat
f48e-276e-a997-c90e:melee:staff-of-ulthamar-and-witchblade,f48e-276e-a997-c90e,Staff of Ulthamar and witchblade,melee,3,2+,5,-1,2,"Anti-Infantry 2+, Psychic",,,,,,,,,Aeldari - Aeldari Library.cat
f48e-276e-a997-c90e:ranged:shuriken-pistol,f48e-276e-a997-c90e,Shuriken Pistol,ranged,1,2+,4,-1,1,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:ranged:shuriken-cannon,1d83-167-486c-bac4,Shuriken Cannon,ranged,3,3+,6,-1,2,Lethal Hits,24,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:ranged:starcannon,1d83-167-486c-bac4,Starcannon,ranged,2,3+,8,-3,2,-,36,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:ranged:scatter-laser,1d83-167-486c-bac4,Scatter Laser,ranged,6,3+,5,0,1,Sustained Hits 1,36,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:ranged:bright-lance,1d83-167-486c-bac4,Bright Lance,ranged,1,3+,12,-3,D6+2,-,36,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:ranged:➤-missile-launcher---starshot,1d83-167-486c-bac4,➤ Missile Launcher - Starshot,ranged,1,3+,10,-2,D6,-,48,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:ranged:➤-missile-launcher---sunburst,1d83-167-486c-bac4,➤ Missile Launcher - Sunburst,ranged,D6,3+,4,-1,1,Blast,48,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:ranged:twin-shuriken-catapult,1d83-167-486c-bac4,Twin Shuriken Catapult,ranged,2,3+,4,-1,1,"Assault, Twin Linked",18,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:melee:wraithbone-hull,1d83-167-486c-bac4,Wraithbone hull,melee,3,4+,6,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4:ranged:pulse-laser,1d83-167-486c-bac4,Pulse Laser,ranged,3,3+,9,-2,D6,-,48,,,,,,,,Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:ranged:singing-spear,b2f5-8219-f875-917e,Singing Spear,ranged,1,2+,9,0,3,"Assault, Psychic",12,,,,,,,,Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:melee:singing-spear,b2f5-8219-f875-917e,Singing Spear,melee,2,2+,3,0,3,Psychic,,,,,,,,,Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:melee:witchblade,b2f5-8219-f875-917e,Witchblade,melee,2,2+,3,0,2,"Anti-Infantry 2+, Psychic",,,,,,,,,Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:ranged:shuriken-pistol,b2f5-8219-f875-917e,Shuriken Pistol,ranged,1,3+,4,-1,1,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e:ranged:eldritch-storm,b2f5-8219-f875-917e,Eldritch Storm,ranged,D6,3+,6,-2,D3,"Blast, Psychic",24,,,,,,,,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:ranged:singing-spear,833b-55bc-73be-8862,Singing Spear,ranged,1,3+,9,0,3,"Assault, Psychic",12,,,,,,,,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:melee:singing-spear,833b-55bc-73be-8862,Singing Spear,melee,2,2+,3,0,3,Psychic,,,,,,,,,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:melee:witchblade,833b-55bc-73be-8862,Witchblade,melee,2,2+,3,0,2,"Anti-Infantry 2+, Psychic",,,,,,,,,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:ranged:twin-shuriken-catapult,833b-55bc-73be-8862,Twin Shuriken Catapult,ranged,2,3+,4,-1,1,"Assault, Twin Linked",18,,,,,,,,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:ranged:shuriken-pistol,833b-55bc-73be-8862,Shuriken Pistol,ranged,1,3+,4,-1,1,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862:ranged:eldritch-storm,833b-55bc-73be-8862,Eldritch Storm,ranged,D6,3+,6,-2,D3,"Blast, Psychic",24,,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:ranged:dragon-fusion-pistol,5374-9e93-8af2-819e,Dragon Fusion Pistol,ranged,1,3+,9,-4,D6,"Assault, Melta 3, Pistol",6,,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:melee:dragon-axe,5374-9e93-8af2-819e,Dragon Axe,melee,3,3+,6,-4,D6,-,,,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:ranged:firepike,5374-9e93-8af2-819e,Firepike,ranged,1,3+,12,-4,D6,"Assault, Melta 3",18,,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:ranged:dragon's-breath-flamer,5374-9e93-8af2-819e,Dragon's Breath Flamer,ranged,D6+2,N/A,6,-2,1,"Assault, Ignores cover, Torrent",12,,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:ranged:exarch's-dragon-fusion-gun,5374-9e93-8af2-819e,Exarch's Dragon Fusion Gun,ranged,1,3+,9,-4,D6,"Assault, Melta 6",12,,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:melee:close-combat-weapon,5374-9e93-8af2-819e,Close combat weapon,melee,2,3+,3,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e:ranged:dragon-fusion-gun,5374-9e93-8af2-819e,Dragon Fusion Gun,ranged,1,3+,9,-4,D6,"Assault, Melta 3",12,,,,,,,,Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:ranged:shuriken-cannon,9940-a69b-682e-ccf4,Shuriken Cannon,ranged,3,3+,6,-1,2,Lethal Hits,24,,,,,,,,Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:ranged:twin-shuriken-catapult,9940-a69b-682e-ccf4,Twin Shuriken Catapult,ranged,2,3+,4,-1,1,"Assault, Twin Linked",18,,,,,,,,Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:melee:wraithbone-hull,9940-a69b-682e-ccf4,Wraithbone Hull,melee,3,4+,6,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:ranged:➤-prism-cannon---dispersed-pulse,9940-a69b-682e-ccf4,➤ Prism Cannon - dispersed pulse,ranged,2D6,3+,6,-2,2,Blast,60,,,,,,,,Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4:ranged:➤-prism-cannon---focused-lances,9940-a69b-682e-ccf4,➤ Prism Cannon - focused lances,ranged,2,3+,18,-4,6,Linked Fire,60,,,,,,,,Aeldari - Aeldari Library.cat
9262-3993-1368-be5a:melee:the-fire-axe,9262-3993-1368-be5a,The Fire Axe,melee,6,2+,5,-4,3,-,,,,,,,,,Aeldari - Aeldari Library.cat
9262-3993-1368-be5a:ranged:➤-searsong---beam,9262-3993-1368-be5a,➤ Searsong - Beam,ranged,3,2+,8,-3,2,"Assault, Melta 1, Sustained hits 2",12,,,,,,,,Aeldari - Aeldari Library.cat
9262-3993-1368-be5a:ranged:➤-searsong---lance,9262-3993-1368-be5a,➤ Searsong - Lance,ranged,1,2+,14,-4,D6,"Assault, Melta 6",18,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:melee:close-combat-weapon,e78a-4442-4ed2-66bf,Close Combat Weapon,melee,1,3+,3,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:ranged:shuriken-cannon,e78a-4442-4ed2-66bf,Shuriken Cannon,ranged,3,3+,6,-1,2,Lethal Hits,24,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:ranged:starcannon,e78a-4442-4ed2-66bf,Starcannon,ranged,2,3+,8,-3,2,-,36,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:ranged:scatter-laser,e78a-4442-4ed2-66bf,Scatter Laser,ranged,6,3+,5,0,1,Sustained Hits 1,36,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:ranged:bright-lance,e78a-4442-4ed2-66bf,Bright Lance,ranged,1,3+,12,-3,D6+2,-,36,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:ranged:➤-missile-launcher---starshot,e78a-4442-4ed2-66bf,➤ Missile Launcher - Starshot,ranged,1,3+,10,-2,D6,-,48,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:ranged:➤-missile-launcher---sunburst,e78a-4442-4ed2-66bf,➤ Missile Launcher - Sunburst,ranged,D6,3+,4,-1,1,Blast,48,,,,,,,,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf:ranged:shuriken-catapult,e78a-4442-4ed2-66bf,Shuriken Catapult,ranged,2,3+,4,-1,1,Assault,18,,,,,,,,Aeldari - Aeldari Library.cat
551b-900c-3681-8f11:melee:wraithbone-hull,551b-900c-3681-8f11,Wraithbone Hull,melee,3,4+,6,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
551b-900c-3681-8f11:ranged:heavy-d-scythe,551b-900c-3681-8f11,Heavy D-Scythe,ranged,D6,4+,12,-4,2,Blast,18,,,,,,,,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:melee:mirrorswords,7fcb-9262-474a-7cec,Mirrorswords,melee,4,2+,4,-2,2,Anti-Infantry 3+,,,,,,,,,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:ranged:shuriken-pistol,7fcb-9262-474a-7cec,Shuriken Pistol,ranged,1,3+,4,-1,1,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:melee:triskele,7fcb-9262-474a-7cec,Triskele,melee,6,2+,3,-1,1,Anti-Infantry 3+,,,,,,,,,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:ranged:triskele,7fcb-9262-474a-7cec,Triskele,ranged,3,3+,3,-1,1,"Assault, Anti-Infantry 3+",12,,,,,,,,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:melee:executioner,7fcb-9262-474a-7cec,Executioner,melee,3,2+,6,-3,3,Anti-Infantry 3+,,,,,,,,,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec:melee:banshee-blade,7fcb-9262-474a-7cec,Banshee Blade,melee,2,2+,4,-2,2,Anti-Infantry 3+,,,,,,,,,Aeldari - Aeldari Library.cat
2713-f82d-5189-d5de:melee:aeldari-power-sword,2713-f82d-5189-d5de,Aeldari power sword,melee,4,2+,4,-2,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
2713-f82d-5189-d5de:ranged:voidbringer,2713-f82d-5189-d5de,Voidbringer,ranged,1,2+,6,-3,3,"Devastating Wounds, Heavy, Precision",48,,,,,,,,Aeldari - Aeldari Library.cat
2713-f82d-5189-d5de:ranged:shuriken-pistol,2713-f82d-5189-d5de,Shuriken Pistol,ranged,1,2+,4,-1,1,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
77f9-e8de-225f-9e68:melee:blade-of-destruction,77f9-e8de-225f-9e68,Blade of Destruction,melee,8,2+,6,-3,2,Anti-Infantry 3+,,,,,,,,,Aeldari - Aeldari Library.cat
77f9-e8de-225f-9e68:ranged:silent-death,77f9-e8de-225f-9e68,Silent Death,ranged,6,2+,6,-2,1,Assault,12,,,,,,,,Aeldari - Aeldari Library.cat
c9ed-d190-419c-78d3:melee:isirmathil,c9ed-d190-419c-78d3,Isirmathil,melee,8,2+,6,-1,1,Sustained Hits 1,,,,,,,,,Aeldari - Aeldari Library.cat
c9ed-d190-419c-78d3:ranged:arhra's-bane,c9ed-d190-419c-78d3,Arhra's Bane,ranged,2,2+,5,-1,2,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
c9ed-d190-419c-78d3:melee:arhra's-bane,c9ed-d190-419c-78d3,Arhra's Bane,melee,5,2+,8,-3,2,Sustained Hits 1,,,,,,,,,Aeldari - Aeldari Library.cat
6f18-95b7-2662-8925:ranged:maugetar,6f18-95b7-2662-8925,Maugetar,ranged,6,2+,7,-2,2,"Devastating wounds, Ignores cover",36,,,,,,,,Aeldari - Aeldari Library.cat
6f18-95b7-2662-8925:melee:maugetar,6f18-95b7-2662-8925,Maugetar,melee,5,2+,6,-2,2,-,,,,,,,,,Aeldari - Aeldari Library.cat
908a-fc2b-5a53-599f:ranged:shuriken-cannon,908a-fc2b-5a53-599f,Shuriken Cannon,ranged,3,3+,6,-1,2,Lethal Hits,24,,,,,,,,Aeldari - Aeldari Library.cat
908a-fc2b-5a53-599f:ranged:twin-shuriken-catapult,908a-fc2b-5a53-599f,Twin Shuriken Catapult,ranged,2,3+,4,-1,1,"Assault, Twin Linked",18,,,,,,,,Aeldari - Aeldari Library.cat
908a-fc2b-5a53-599f:melee:wraithbone-hull,908a-fc2b-5a53-599f,Wraithbone Hull,melee,3,4+,6,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
908a-fc2b-5a53-599f:ranged:doomweaver,908a-fc2b-5a53-599f,Doomweaver,ranged,D6+3,3+,7,-1,2,"Blast, Indirect Fire, Twin Linked",48,,,,,,,,Aeldari - Aeldari Library.cat
1fbf-55d9-5ca8-4e9e:melee:the-spear-of-twilight,1fbf-55d9-5ca8-4e9e,The Spear of Twilight,melee,5,2+,6,-3,3,-,,,,,,,,,Aeldari - Aeldari Library.cat
1fbf-55d9-5ca8-4e9e:ranged:the-eye-of-wrath,1fbf-55d9-5ca8-4e9e,The Eye of Wrath,ranged,1,2+,6,-3,2,Assault,6,,,,,,,,Aeldari - Aeldari Library.cat
b98b-701f-9c0c-5437:ranged:shuriken-pistol,b98b-701f-9c0c-5437,Shuriken Pistol,ranged,1,2+,4,-1,1,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
b98b-701f-9c0c-5437:melee:close-combat-weapon,b98b-701f-9c0c-5437,Close Combat Weapon,melee,1,3+,3,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
b98b-701f-9c0c-5437:ranged:long-rifle,b98b-701f-9c0c-5437,Long rifle,ranged,1,3+,4,-1,2,"Heavy, Precision",36,,,,,,,,Aeldari - Aeldari Library.cat
8c34-52ba-cbd0-9ca4:ranged:neuro-disruptor,8c34-52ba-cbd0-9ca4,Neuro Disruptor,ranged,1,2+,4,-2,1,"Anti-infantry 2+, Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
8c34-52ba-cbd0-9ca4:ranged:shuriken-pistol,8c34-52ba-cbd0-9ca4,Shuriken Pistol,ranged,1,2+,4,-1,1,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
8c34-52ba-cbd0-9ca4:melee:miststave,8c34-52ba-cbd0-9ca4,Miststave,melee,4,2+,5,-1,D3,Psychic,,,,,,,,,Aeldari - Aeldari Library.cat
433-faed-ea62-c531:ranged:shuriken-cannon,433-faed-ea62-c531,Shuriken Cannon,ranged,3,3+,6,-1,2,Lethal Hits,24,,,,,,,,Aeldari - Aeldari Library.cat
433-faed-ea62-c531:ranged:twin-shuriken-catapult,433-faed-ea62-c531,Twin Shuriken Catapult,ranged,2,3+,4,-1,1,"Assault, Twin Linked",18,,,,,,,,Aeldari - Aeldari Library.cat
433-faed-ea62-c531:ranged:star-lance,433-faed-ea62-c531,Star Lance,ranged,1,3+,9,-3,3,Assault,6,,,,,,,,Aeldari - Aeldari Library.cat
433-faed-ea62-c531:melee:star-lance,433-faed-ea62-c531,Star Lance,melee,4,3+,5,-3,3,"Anti-Monster 3+, Anti-Vehicle 3+, Lance",,,,,,,,,Aeldari - Aeldari Library.cat
433-faed-ea62-c531:melee:paragon-sabre,433-faed-ea62-c531,Paragon Sabre,melee,6,3+,5,-2,2,-,,,,,,,,,Aeldari - Aeldari Library.cat
433-faed-ea62-c531:ranged:laser-lance,433-faed-ea62-c531,Laser Lance,ranged,1,3+,6,-2,3,Assault,6,,,,,,,,Aeldari - Aeldari Library.cat
433-faed-ea62-c531:melee:laser-lance,433-faed-ea62-c531,Laser Lance,melee,3,3+,5,-2,3,"Anti-Monster 3+, Anti-Vehicle 3+, Lance",,,,,,,,,Aeldari - Aeldari Library.cat
c1ff-dc11-9853-e3e3:ranged:shuriken-pistol,c1ff-dc11-9853-e3e3,Shuriken Pistol,ranged,1,2+,4,-1,1,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
c1ff-dc11-9853-e3e3:melee:close-combat-weapon,c1ff-dc11-9853-e3e3,Close Combat Weapon,melee,1,3+,3,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
c1ff-dc11-9853-e3e3:ranged:scatter-laser,c1ff-dc11-9853-e3e3,Scatter Laser,ranged,6,3+,5,0,1,Sustained Hits 1,36,,,,,,,,Aeldari - Aeldari Library.cat
