unit_id,faction,name,toughness,save,invulnerable_save,wounds,move,leadership,objective_control,points,models_min,models_max,feel_no_pain,damage_cap,selection_type,source_file
68fb-4b6f-2bf8-7105,Aeldari - Aeldari Library,The Yncarne,10,2+,,12,"10""",6+,3,260,1,1,,,model,Aeldari - Aeldari Library.cat
dada-b81b-37bd-1f3b,Aeldari - Aeldari Library,Troupe Master,3,6+,,4,"8""",6+,1,75,1,1,,,model,Aeldari - Aeldari Library.cat
e011-d99d-f0de-5289,Aeldari - Aeldari Library,Voidweaver,6,4+,,6,"14""",6+,2,125,1,1,,,model,Aeldari - Aeldari Library.cat
291f-2885-4512-f0cd,Aeldari - Aeldari Library,Warlock,3,6+,,2,"7""",6+,1,45,1,1,,,model,Aeldari - Aeldari Library.cat
d61-c058-6bd1-112f,Aeldari - Aeldari Library,Warlock Conclave,3,6+,,2,"7""",6+,1,55,2,4,,,unit,Aeldari - Aeldari Library.cat
57ec-47a8-a59a-6a46,Aeldari - Aeldari Library,Warp Spiders,3,3+,,1,"12""",6+,1,105,5,10,,,unit,Aeldari - Aeldari Library.cat
ad88-f706-318c-e70e,Aeldari - Aeldari Library,Wave Serpent,9,3+,,13,"14""",7+,2,125,1,1,,,model,Aeldari - Aeldari Library.cat
2f21-23a3-48e0-5788,Aeldari - Aeldari Library,Webway Gate [Legends],12,3+,,14,-,6+,0,105,1,1,,,model,Aeldari - Aeldari Library.cat
bfd-df5a-b358-4cf9,Aeldari - Aeldari Library,Wraithknight,12,2+,,18,"12""",6+,10,435,1,1,,,model,Aeldari - Aeldari Library.cat
b9e9-397e-d83a-f77a,Aeldari - Aeldari Library,Wraithlord,10,2+,,10,"8""",8+,3,130,1,1,,,model,Aeldari - Aeldari Library.cat
5aa4-107-d7ee-f0f3,Aeldari - Aeldari Library,Wraithguard,6,2+,,3,"6""",8+,1,160,5,5,,,unit,Aeldari - Aeldari Library.cat
ada5-25ce-d5d5-4ccb,Aeldari - Aeldari Library,Yvraine,3,6+,,4,"8""",6+,1,100,1,1,,,model,Aeldari - Aeldari Library.cat
bb4f-4359-cc16-e6d5,Aeldari - Aeldari Library,Wraithblades,6,2+,,3,"6""",8+,1,150,5,5,,,unit,Aeldari - Aeldari Library.cat
5c1c-fa4a-3234-c711,Aeldari - Aeldari Library,Archon,3,4+,,4,"7""",6+,1,80,1,1,,,model,Aeldari - Aeldari Library.cat
f99a-af49-64c0-9bed,Aeldari - Aeldari Library,Beastmaster [Legends],4,6+,,3,"12""",7+,1,135,7,7,,,unit,Aeldari - Aeldari Library.cat
b221-43a3-8bee-117c,Aeldari - Aeldari Library,Court of the Archon [Legends],3,5+,,2,"7""",7+,1,95,4,4,,,unit,Aeldari - Aeldari Library.cat
a5d3-e21b-bf13-a952,Aeldari - Aeldari Library,Cronos,7,3+,,7,"7""",7+,2,55,1,2,,,unit,Aeldari - Aeldari Library.cat
a30b-b966-d264-e935,Aeldari - Aeldari Library,Drazhar,3,2+,,5,"7""",6+,1,85,1,1,,,model,Aeldari - Aeldari Library.cat
d729-7e1f-93a9-b1c5,Aeldari - Aeldari Library,Grotesques [Legends],5,6+,,4,"7""",7+,1,80,3,6,,,unit,Aeldari - Aeldari Library.cat
32ff-aec4-9669-c8a2,Aeldari - Aeldari Library,Haemonculus,4,5+,,5,"7""",7+,1,60,1,1,,,model,Aeldari - Aeldari Library.cat
2311-9feb-9d0a-8154,Aeldari - Aeldari Library,Hellions,4,4+,,2,"14""",7+,1,85,4,9,,,unit,Aeldari - Aeldari Library.cat
1529-793d-481b-82bf,Aeldari - Aeldari Library,Incubi,3,3+,,1,"7""",6+,1,90,4,9,,,unit,Aeldari - Aeldari Library.cat
d20b-783-ccf6-b29d,Aeldari - Aeldari Library,Kabalite Warriors,3,4+,,1,"7""",7+,2,115,9,9,,,unit,Aeldari - Aeldari Library.cat
ae1b-1a96-5b4c-cecc,Aeldari - Aeldari Library,Lelith Hesperax,3,6+,,4,"8""",6+,1,85,1,1,,,model,Aeldari - Aeldari Library.cat
6a3a-7973-b509-532e,Aeldari - Aeldari Library,Mandrakes,3,7+,,1,"8""",7+,1,75,4,9,,,unit,Aeldari - Aeldari Library.cat
635b-21f4-f801-453,Aeldari - Aeldari Library,Raider,8,4+,,10,"14""",7+,2,85,1,1,,,model,Aeldari - Aeldari Library.cat
3376-d337-6a33-4bca,Aeldari - Aeldari Library,Ravager,9,4+,,11,"14""",7+,3,110,1,1,,,model,Aeldari - Aeldari Library.cat
fbc4-c7d0-db5b-91c,Aeldari - Aeldari Library,Razorwing Jetfighter,8,4+,,10,"20+""",7+,0,170,1,1,,,model,Aeldari - Aeldari Library.cat
2c3a-9752-2516-69ab,Aeldari - Aeldari Library,Reavers,4,4+,,2,"16""",7+,2,70,3,6,,,unit,Aeldari - Aeldari Library.cat
7c93-baac-e65f-58bd,Aeldari - Aeldari Library,Scourges with Heavy Weapons,3,4+,,1,"14""",7+,1,130,4,4,,,unit,Aeldari - Aeldari Library.cat
b5a9-c802-10f0-6768,Aeldari - Aeldari Library,Succubus,3,6+,,4,"8""",7+,1,50,1,1,,,model,Aeldari - Aeldari Library.cat
5c5f-b70b-f6ee-a81e,Aeldari - Aeldari Library,Talos,7,3+,,7,"7""",7+,2,80,1,2,,,unit,Aeldari - Aeldari Library.cat
76c4-e2ba-e247-560e,Aeldari - Aeldari Library,Urien Rakarth [Legends],4,6+,,5,"7""",6+,1,80,1,1,,,model,Aeldari - Aeldari Library.cat
ee2c-6ca0-5e29-37a6,Aeldari - Aeldari Library,Venom,6,4+,,6,"14""",7+,1,70,1,1,,,model,Aeldari - Aeldari Library.cat
71e1-7d54-4856-4ce1,Aeldari - Aeldari Library,Voidraven Bomber,9,4+,,12,"20+""",7+,0,245,1,1,,,model,Aeldari - Aeldari Library.cat
2659-7a1b-3ce6-8e4b,Aeldari - Aeldari Library,Wracks,4,5+,,2,"7""",7+,2,60,4,9,,,unit,Aeldari - Aeldari Library.cat
edca-1a1b-902d-421a,Aeldari - Aeldari Library,Wyches,3,6+,,1,"8""",7+,2,90,9,9,,,unit,Aeldari - Aeldari Library.cat
e2ad-60b4-9678-88aa,Aeldari - Aeldari Library,Cobra [Legends],11,2+,,24,"14""",6+,8,415,1,1,,,model,Aeldari - Aeldari Library.cat
1420-c80d-66fc-6a,Aeldari - Aeldari Library,Scorpion [Legends],11,2+,,24,"14""",6+,8,410,1,1,,,model,Aeldari - Aeldari Library.cat
1224-8735-46d-1919,Aeldari - Aeldari Library,Hornet [Legends],7,3+,,8,"14""",6+,2,100,1,1,,,model,Aeldari - Aeldari Library.cat
3e8d-c6f3-493c-4a35,Aeldari - Aeldari Library,Irillyth [Legends],3,2+,,5,"12""",6+,1,105,1,1,,,model,Aeldari - Aeldari Library.cat
e3c5-54ef-44a5-9366,Aeldari - Aeldari Library,Lynx [Legends],9,3+,,16,"14""",6+,4,180,1,1,,,model,Aeldari - Aeldari Library.cat
af2e-2bff-9813-a5a3,Aeldari - Aeldari Library,Nightwing [Legends],8,3+,,12,"20+""",6+,0,150,1,1,,,model,Aeldari - Aeldari Library.cat
5f15-8ad-1f3b-d6d1,Aeldari - Aeldari Library,Skathach Wraithknight [Legends],12,2+,,18,"10""",6+,10,490,1,1,,,model,Aeldari - Aeldari Library.cat
9c94-b663-fd31-6001,Aeldari - Aeldari Library,Shadow Spectres [Legends],3,3+,,2,"12""",6+,1,115,5,11,,,unit,Aeldari - Aeldari Library.cat
b7d6-2303-bd6a-5291,Aeldari - Aeldari Library,Shadow Spectre Exarch,3,3+,,2,"12""",6+,1,30,1,1,,,model,Aeldari - Aeldari Library.cat
79b3-2cd1-d7b4-d7b1,Aeldari - Aeldari Library,Phantom Titan,14,2+,,55,"14""",6+,20,2100,1,1,,,model,Aeldari - Aeldari Library.cat
ca40-4a0d-567-852,Aeldari - Aeldari Library,Revenant Titan,13,2+,,30,"16""",6+,16,1100,1,1,,,model,Aeldari - Aeldari Library.cat
ef18-ff32-2be6-7372,Aeldari - Aeldari Library,Warp Hunter [Legends],9,3+,,12,"14""",6+,3,145,1,1,,,model,Aeldari - Aeldari Library.cat
b369-a813-75ac-2dc6,Aeldari - Aeldari Library,Wraithseer [Legends],11,2+,,10,"8""",6+,3,160,1,1,,,model,Aeldari - Aeldari Library.cat
dfe4-d4db-9d04-9e7a,Aeldari - Aeldari Library,Tantalus [Legends],10,4+,,18,"16""",7+,5,230,1,1,,,model,Aeldari - Aeldari Library.cat
965e-3df7-287a-6ac0,Aeldari - Aeldari Library,Amallyn Shadowguide [Legends],3,5+,,3,"7""",6+,1,75,1,1,,,model,Aeldari - Aeldari Library.cat
2384-4154-b67a-3827,Aeldari - Aeldari Library,Bonesinger [Legends],3,6+,,3,"7""",6+,1,45,1,1,,,model,Aeldari - Aeldari Library.cat
790d-9fdf-b359-62ba,Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],4,3+,,2,"14""",6+,2,105,3,7,,,unit,Aeldari - Aeldari Library.cat
d11f-239d-94b4-c194,Aeldari - Aeldari Library,Firestorm [Legends],9,3+,,12,"14""",6+,3,115,1,1,,,model,Aeldari - Aeldari Library.cat
6083-affa-5163-a94c,Aeldari - Aeldari Library,Phoenix [Legends],9,3+,,16,"20+""",6+,0,175,1,1,,,model,Aeldari - Aeldari Library.cat
22ea-9a4-cda3-a24,Aeldari - Aeldari Library,Vampire Hunter [Legends],12,3+,,30,"20+""",6+,0,460,1,1,,,model,Aeldari - Aeldari Library.cat
4016-44d3-c64b-cc1a,Aeldari - Aeldari Library,Vampire Raider [Legends],12,3+,,30,"20+""",6+,0,430,1,1,,,model,Aeldari - Aeldari Library.cat
6c50-7486-7c0d-52d0,Aeldari - Aeldari Library,Wasp Assault Walker [Legends],7,3+,,6,"10""",6+,2,95,1,1,,,model,Aeldari - Aeldari Library.cat
28c1-2c51-ab58-2d91,Aeldari - Aeldari Library,Raven Strike Fighter [Legends],8,4+,,10,"20+""",7+,0,170,1,1,,,model,Aeldari - Aeldari Library.cat
a228-7269-9961-daf4,Aeldari - Aeldari Library,Reaper [Legends],9,4+,,11,"14""",7+,3,115,1,1,,,model,Aeldari - Aeldari Library.cat
f52d-1814-7d66-1f7b,Aeldari - Aeldari Library,Warlock Skyrunners,4,6+,,3,"14""",6+,2,45,1,2,,,unit,Aeldari - Aeldari Library.cat
5f10-27fc-f1e4-af90,Aeldari - Aeldari Library,Ynnari Archon,3,4+,,4,"8""",6+,1,85,1,1,,,model,Aeldari - Aeldari Library.cat
8bbc-7ae0-5d5c-a105,Aeldari - Aeldari Library,Lhykhis,3,2+,,5,"12""",6+,1,135,1,1,,,model,Aeldari - Aeldari Library.cat
bcec-dc54-9242-4e13,Aeldari - Aeldari Library,War Walkers,7,3+,,6,"10""",7+,2,85,1,2,,,unit,Aeldari - Aeldari Library.cat
309a-28be-6cc6-a37c,Aeldari - Aeldari Library,War Walker,7,3+,,6,"10""",7+,2,85,1,1,,,model,Aeldari - Aeldari Library.cat
2c93-f32d-64ea-b829,Aeldari - Aeldari Library,Shadow Weaver Platform,6,4+,,5,"7""",7+,1,75,1,1,,,model,Aeldari - Aeldari Library.cat
5df4-e13a-f6f4-b672,Aeldari - Aeldari Library,Vibro Cannon Platform,6,4+,,5,"7""",7+,1,60,1,1,,,model,Aeldari - Aeldari Library.cat
814d-56c9-78fe-2123,Aeldari - Aeldari Library,Vypers,6,3+,,6,"14""",7+,2,75,1,2,,,unit,Aeldari - Aeldari Library.cat
d5e3-30bd-71e8-314b,Aeldari - Aeldari Library,Vyper,6,3+,,6,"14""",7+,2,75,1,1,,,model,Aeldari - Aeldari Library.cat
d756-653a-872b-5c1b,Aeldari - Aeldari Library,Wraithknight with Ghostglaive,12,2+,,18,"12""",6+,10,420,1,1,,,model,Aeldari - Aeldari Library.cat
c2e0-ca3e-e8c1-e019,Aeldari - Aeldari Library,Ynnari Succubus,3,6+,,4,"8""",6+,1,45,1,1,,,model,Aeldari - Aeldari Library.cat
36fd-7c3f-b728-c5d4,Aeldari - Aeldari Library,Ynnari Wyches,3,6+,,1,"8""",6+,2,90,9,9,,,unit,Aeldari - Aeldari Library.cat
5bf7-f905-8fab-43b4,Aeldari - Aeldari Library,Ynnari Incubi,3,3+,,1,"7""",6+,1,85,4,9,,,unit,Aeldari - Aeldari Library.cat
915d-ad53-9518-7a85,Aeldari - Aeldari Library,Ynnari Reavers,4,4+,,2,"16""",6+,2,65,3,6,,,unit,Aeldari - Aeldari Library.cat
8e15-3c74-d36f-7669,Aeldari - Aeldari Library,Ynnari Raider,8,4+,,10,"14""",6+,2,80,1,1,,,model,Aeldari - Aeldari Library.cat
5443-6671-baeb-77a3,Aeldari - Aeldari Library,Ynnari Venom,6,4+,,6,"14""",6+,1,70,1,1,,,model,Aeldari - Aeldari Library.cat
a223-234b-7886-fccc,Aeldari - Aeldari Library,Lady Malys,3,4+,,5,"7""",6+,2,100,1,1,,,model,Aeldari - Aeldari Library.cat
f2d1-4574-223f-998f,Aeldari - Aeldari Library,Scourges with Shardcarbines,3,4+,,1,"14""",6+,1,75,4,4,,,unit,Aeldari - Aeldari Library.cat
54dc-aa1f-817a-a5c5,Aeldari - Aeldari Library,Prince Yriel,3,3+,,5,"7""",6+,1,95,1,1,,,model,Aeldari - Aeldari Library.cat
4273-173c-e850-4071,Aeldari - Aeldari Library,Kharseth,3,6+,,4,"7""",6+,1,95,1,1,,,model,Aeldari - Aeldari Library.cat
a074-87f8-810d-492a,Aeldari - Aeldari Library,Starfangs,6,3+,,6,"14""",7+,2,75,1,2,,,unit,Aeldari - Aeldari Library.cat
f972-78f9-204e-d55c,Aeldari - Aeldari Library,Starfang,6,3+,,6,"14""",7+,2,75,1,1,,,model,Aeldari - Aeldari Library.cat
62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library,Archtormentor [Crucible],3,6+,,4,8,7+,1,60,1,1,,,model,Aeldari - Aeldari Library.cat
b5a1-7e2b-7a1d-bbda,Aeldari - Aeldari Library,Flesh Crafter [Crucible],4,5+,,5,"7""",7+,1,60,1,1,,,model,Aeldari - Aeldari Library.cat
8e2c-2234-8595-f191,Aeldari - Aeldari Library,Craftworld Warleader [Crucible],3,6+,,4,"7""",6+,1,75,1,1,,,model,Aeldari - Aeldari Library.cat
915f-4ee6-3358-31ca,Aeldari - Aeldari Library,Skyrunner [Crucible],4,6+,,5,"14""",6+,2,80,1,1,,,model,Aeldari - Aeldari Library.cat
5578-f918-6e88-3d0e,Aeldari - Aeldari Library,Ghost Warrior [Crucible],10,2+,,10,"8""",6+,3,160,1,1,,,model,Aeldari - Aeldari Library.cat
7998-d0a-baa4-e8b3,Chaos - Daemons Library,Skarbrand,11,3+,,20,"10""",6+,5,305,1,1,,,model,Chaos - Chaos Daemons Library.cat
a018-ca33-afd0-be83,Chaos - Daemons Library,Bloodthirster,11,3+,,18,"12""",6+,5,305,1,1,,,model,Chaos - Chaos Daemons Library.cat
8872-785a-1efa-7ca1,Chaos - Daemons Library,Skulltaker,4,4+,,5,"8""",7+,1,85,1,1,,,model,Chaos - Chaos Daemons Library.cat
ccae-b5f1-8787-4c7d,Chaos - Daemons Library,Bloodmaster,4,5+,,4,"8""",7+,1,65,1,1,,,model,Chaos - Chaos Daemons Library.cat
dd30-ba4c-34a4-e788,Chaos - Daemons Library,Skullmaster,7,3+,,6,"10""",7+,2,100,1,1,,,model,Chaos - Chaos Daemons Library.cat
d1cc-e17a-f1a1-4349,Chaos - Daemons Library,Rendmaster on Blood Throne,9,4+,,9,"8""",7+,3,165,1,1,,,model,Chaos - Chaos Daemons Library.cat
8436-cec1-e65a-d1a7,Chaos - Daemons Library,Karanak,4,7+,,5,"12""",7+,3,75,1,1,,,model,Chaos - Chaos Daemons Library.cat
4ecc-6aa5-da28-2c57,Chaos - Daemons Library,Bloodletters,4,7+,,1,"8""",7+,2,110,10,10,,,unit,Chaos - Chaos Daemons Library.cat
2f31-9132-b703-5fd8,Chaos - Daemons Library,Bloodcrushers,7,3+,,4,"10""",7+,2,110,3,6,,,unit,Chaos - Chaos Daemons Library.cat
fd31-64a2-b20f-f0bc,Chaos - Daemons Library,Flesh Hounds,4,7+,,2,"12""",7+,1,75,5,10,,,unit,Chaos - Chaos Daemons Library.cat
fd37-8a80-3da8-f262,Chaos - Daemons Library,Skull Cannon,9,4+,,9,"8""",7+,3,95,1,1,,,model,Chaos - Chaos Daemons Library.cat
464a-b548-355f-2058,Chaos - Daemons Library,Skull Altar,12,3+,,10,-,7+,0,105,1,1,,,model,Chaos - Chaos Daemons Library.cat
2c37-2898-8350-ef45,Chaos - Daemons Library,Be'lakor,11,3+,,20,"12""",6+,5,375,1,1,,,model,Chaos - Chaos Daemons Library.cat
497d-e065-f5a5-5e80,Chaos - Daemons Library,Daemon Prince of Chaos,10,2+,,10,"8""",6+,3,190,1,1,,,model,Chaos - Chaos Daemons Library.cat
5800-3978-370d-b573,Chaos - Daemons Library,Daemon Prince of Chaos with wings,9,2+,,10,"12""",6+,3,180,1,1,,,model,Chaos - Chaos Daemons Library.cat
6df5-f246-6bd-55b8,Chaos - Daemons Library,Kairos Fateweaver,10,6+,,20,"12""",6+,5,295,1,1,,,model,Chaos - Chaos Daemons Library.cat
3600-9f92-933-bf54,Chaos - Daemons Library,Lord of Change,10,6+,,18,"12""",6+,5,285,1,1,,,model,Chaos - Chaos Daemons Library.cat
ac75-c011-9a10-2c4a,Chaos - Daemons Library,The Changeling,3,7+,,5,"6""",7+,1,90,1,1,,,model,Chaos - Chaos Daemons Library.cat
c199-b27c-7cc2-7935,Chaos - Daemons Library,Fateskimmer,7,6+,,9,"12""",7+,3,95,1,1,,,model,Chaos - Chaos Daemons Library.cat
eba5-8a7a-fc5b-d7ec,Chaos - Daemons Library,Fluxmaster,4,6+,,4,"12""",7+,1,60,1,1,,,model,Chaos - Chaos Daemons Library.cat
caf1-8818-9e65-7154,Chaos - Daemons Library,The Blue Scribes,4,6+,,6,"12""",8+,2,75,1,1,,,model,Chaos - Chaos Daemons Library.cat
8b7c-d709-90d4-298e,Chaos - Daemons Library,Changecaster,3,6+,,3,"6""",7+,1,60,1,1,,,model,Chaos - Chaos Daemons Library.cat
b795-b936-ad61-e407,Chaos - Daemons Library,Blue Horrors,3,7+,,1,"6""",8+,1,125,10,10,,,unit,Chaos - Chaos Daemons Library.cat
e7b8-aa40-6da7-778e,Chaos - Daemons Library,Pink Horrors,3,7+,,1,"6""",8+,1,140,10,10,,,unit,Chaos - Chaos Daemons Library.cat
5f23-4d6-f2f9-5973,Chaos - Daemons Library,Flamers,4,7+,,3,"9""",7+,1,65,3,6,,,unit,Chaos - Chaos Daemons Library.cat
de54-5b38-8ca1-c39c,Chaos - Daemons Library,Exalted Flamer,4,7+,,6,"9""",7+,1,65,1,1,,,model,Chaos - Chaos Daemons Library.cat
550b-c5ab-5e27-f59b,Chaos - Daemons Library,Screamers,4,6+,,3,"14""",7+,1,80,3,6,,,unit,Chaos - Chaos Daemons Library.cat
f6eb-b62f-5baf-d96d,Chaos - Daemons Library,Burning Chariot,8,7+,,9,"12""",7+,3,115,1,1,,,model,Chaos - Chaos Daemons Library.cat
cff8-7388-a2c9-946c,Chaos - Daemons Library,Rotigus,12,5+,,22,"7""",6+,5,265,1,1,,,model,Chaos - Chaos Daemons Library.cat
d490-6c4d-e83b-b183,Chaos - Daemons Library,Great Unclean One,12,5+,,20,"7""",6+,5,250,1,1,,,model,Chaos - Chaos Daemons Library.cat
7b06-189d-b11e-c189,Chaos - Daemons Library,Poxbringer,5,7+,,5,"5""",7+,1,55,1,1,,,model,Chaos - Chaos Daemons Library.cat
e7cd-468b-37dd-d82f,Chaos - Daemons Library,Spoilpox Scrivener,5,7+,,5,"5""",6+,1,60,1,1,,,model,Chaos - Chaos Daemons Library.cat
5851-dc90-9afe-76a7,Chaos - Daemons Library,Epidemius,5,6+,,8,"5""",7+,2,80,1,1,,,model,Chaos - Chaos Daemons Library.cat
3da0-5db0-7531-33b6,Chaos - Daemons Library,Sloppity Bilepiper,5,7+,,5,"5""",7+,1,55,1,1,,,model,Chaos - Chaos Daemons Library.cat
7151-238f-a6eb-2f94,Chaos - Daemons Library,Horticulous Slimux,10,3+,,10,"6""",7+,2,120,1,1,,,model,Chaos - Chaos Daemons Library.cat
d1eb-b092-d944-e729,Chaos - Daemons Library,Plaguebearers,5,7+,,2,"5""",7+,2,110,10,10,,,unit,Chaos - Chaos Daemons Library.cat
e403-3a9-279e-41b7,Chaos - Daemons Library,Nurglings,3,7+,,4,"5""",8+,0,40,3,6,,,unit,Chaos - Chaos Daemons Library.cat
2de0-5897-f724-a592,Chaos - Daemons Library,Beasts of Nurgle,9,6+,,7,"6""",7+,3,65,1,2,,,unit,Chaos - Chaos Daemons Library.cat
d620-146a-41cd-f28f,Chaos - Daemons Library,Plague Drones,8,6+,,5,"10""",7+,2,110,3,6,,,unit,Chaos - Chaos Daemons Library.cat
13f0-d2b5-6201-ba84,Chaos - Daemons Library,Feculent Gnarlmaw,9,4+,,9,-,7+,0,100,1,1,,,model,Chaos - Chaos Daemons Library.cat
c49d-5ebc-4ee4-689e,Chaos - Daemons Library,Shalaxi Helbane,10,3+,,20,"14""",6+,5,340,1,1,,,model,Chaos - Chaos Daemons Library.cat
